date,holding,target
2005-05-24,1.H00852,1.H00852
2005-06-16,1.H00852,1.H00852
2005-07-27,1.H00016,1.H00016
2005-08-04,1.H00905,1.H00905
2005-11-18,1.H00016,1.H00016
2005-11-24,1.H00852,1.H00852
2005-12-06,1.H00016,1.H00016
2006-02-27,1.H00016,1.H00016
2006-03-29,1.H00905,1.H00905
2006-07-03,1.H00016,1.H00016
2006-08-28,1.H00016,1.H00016
2007-02-26,1.H00852,1.H00852
2007-07-26,1.H00852,1.H00852
2007-10-15,1.H00016,1.H00016
2007-12-14,1.H00852,1.H00852
2008-02-29,1.H00852,1.H00852
2008-04-09,1.H00016,1.H00016
2008-04-16,1.H00016,1.H00016
2008-05-08,1.H00016,1.H00016
2008-05-30,1.H00852,1.H00852
2008-07-11,1.H00905,1.H00905
2008-08-29,1.H00016,1.H00016
2008-09-22,1.H20955,1.H20955
2008-11-06,1.H00852,1.H00852
2008-11-19,1.H00852,1.H00852
2009-01-21,1.H00016,1.H00016
2009-03-23,1.H00016,1.H00016
2009-04-30,1.H11077,1.H11077
2009-08-13,1.H11077,1.H11077
2009-09-15,1.H00852,1.H00852
2009-09-30,1.H11077,1.H11077
2009-10-22,1.H00016,1.H00016
2009-12-30,1.H11077,1.H11077
2010-02-26,1.H00852,1.H00852
2010-03-31,1.H00016,1.H00016
2010-06-11,1.H00852,1.H00852
2010-07-08,1.H00016,1.H00016
2010-07-23,1.H00852,1.H00852
2010-10-14,1.H00016,1.H00016
2010-12-08,1.H11077,1.H11077
2010-12-10,1.H11077,1.H11077
2011-02-15,1.H20955,1.H20955
2011-02-17,1.H00905,1.H00905
2011-03-31,1.H11077,1.H11077
2011-04-07,1.H00016,1.H00016
2011-05-09,1.H11077,1.H11077
2011-06-13,0.399606,0.399606
2011-07-06,0.399606,0.399606
2011-08-15,1.H11077,1.H11077
2011-09-26,1.H11077,1.H11077
2011-10-28,1.H00016,1.H00016
2011-12-07,1.H11077,1.H11077
2012-01-13,1.H00016,1.H00016
2012-02-08,1.H00852,1.H00852
2012-03-28,1.H11077,1.H11077
2012-04-23,1.H00016,1.H00016
2012-05-16,1.H11077,1.H11077
2012-05-22,0.399606,0.399606
2012-05-28,1.H11077,1.H11077
2012-06-12,0.399606,0.399606
2012-07-06,1.H11077,1.H11077
2012-08-06,1.H00016,1.H00016
