cash_enabled,decay_threshold,recovery_threshold,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.45,0.7,last_1y,2025-05-06,2026-04-30,242,4,25,0.7383780991735537,0.21074380165289255,0.89286536835644,0.19888867156880946,3.2811710316109566,-0.07988840012607423,11.176408176248152,1.8723100679587465
True,0.45,0.7,last_3y,2023-05-04,2026-04-30,726,11,53,0.6234928474774921,0.201349789713977,0.42840970496477504,0.19423678437882866,1.9396571229694433,-0.11042852267079462,3.879520386611836,2.9038121114560473
True,0.45,0.7,last_5y,2021-05-06,2026-04-30,1210,17,73,0.7136101712964126,0.2283511961424358,0.3214231938124572,0.1857166670119499,1.59945102933698,-0.16881209978387612,1.9040293570423175,4.009944941906904
True,0.45,0.7,last_10y,2016-05-04,2026-04-30,2428,32,104,0.7077926544561564,0.24477992825761968,0.2858195560219565,0.18911518894046697,1.4284347735958598,-0.2526016292951285,1.131503216426279,12.315587461013779
True,0.45,0.7,full_common,2010-09-29,2026-04-30,3785,50,175,0.721408596687646,0.24876526403690433,0.2860131597553732,0.21248587654219875,1.2957557661481325,-0.3529147325591956,0.8104313404014645,50.403856061690064
True,0.45,0.75,last_1y,2025-05-06,2026-04-30,242,4,26,0.7321797520661157,0.21074380165289255,0.9087205400135006,0.19861190071771173,3.3271992556129755,-0.07242608477328971,12.546868201670774,1.8877236004530704
True,0.45,0.75,last_3y,2023-05-04,2026-04-30,726,11,54,0.6214267317750127,0.201349789713977,0.4323321680781671,0.1941587829932296,1.9545719060356377,-0.11042852267079462,3.9150407668408245,2.927717341205809
True,0.45,0.75,last_5y,2021-05-06,2026-04-30,1210,17,74,0.712370501874925,0.2283511961424358,0.3235992042486344,0.18567066913571398,1.6087163347825721,-0.16881209978387612,1.9169194901486712,4.042956256496436
True,0.45,0.75,last_10y,2016-05-04,2026-04-30,2428,32,105,0.70717486203441,0.24477992825761968,0.28687548950662123,0.18909317462252825,1.432940992209121,-0.2526016292951285,1.1356834487059015,12.41697382364974
True,0.45,0.75,full_common,2010-09-29,2026-04-30,3785,50,176,0.7210122954987425,0.24876526403690433,0.2866899091391999,0.21247325900046937,1.2983103412116166,-0.3529147325591956,0.8123489406640524,50.818798803568825
True,0.45,0.8,last_1y,2025-05-06,2026-04-30,242,4,32,0.6996384297520661,0.1890495867768595,0.983766970151787,0.19706849119329653,3.546176078841495,-0.062068609892664495,15.84966977435163,1.9606502250269229
True,0.45,0.8,last_3y,2023-05-04,2026-04-30,726,11,60,0.6105796243369962,0.1941183847552993,0.450607199464784,0.19371424817536106,2.0244769806849243,-0.11042852267079462,4.080532715339472,3.04082105159499
True,0.45,0.8,last_5y,2021-05-06,2026-04-30,1210,17,80,0.7058622374121151,0.22401235316722917,0.33370612954101997,0.18540603837025774,1.652023209431832,-0.16881209978387612,1.976790348371068,4.199143927729267
True,0.45,0.8,last_10y,2016-05-04,2026-04-30,2428,32,111,0.703931451820242,0.24261765478150765,0.2917686238027959,0.1889662207214772,1.4539564464926116,-0.2526016292951285,1.1550544017350988,12.896666924993253
True,0.45,0.8,full_common,2010-09-29,2026-04-30,3785,50,182,0.7189317142569988,0.24737820987574183,0.28982332726155136,0.21240060677438521,1.310198628078417,-0.3529147325591956,0.821227623907535,52.78203296600262
True,0.45,0.85,last_1y,2025-05-06,2026-04-30,242,4,32,0.6996384297520661,0.1890495867768595,0.983766970151787,0.19706849119329653,3.546176078841495,-0.062068609892664495,15.84966977435163,1.9606502250269229
True,0.45,0.85,last_3y,2023-05-04,2026-04-30,726,11,60,0.6105796243369962,0.1941183847552993,0.450607199464784,0.19371424817536106,2.0244769806849243,-0.11042852267079462,4.080532715339472,3.04082105159499
True,0.45,0.85,last_5y,2021-05-06,2026-04-30,1210,17,80,0.7058622374121151,0.22401235316722917,0.33370612954101997,0.18540603837025774,1.652023209431832,-0.16881209978387612,1.976790348371068,4.199143927729267
True,0.45,0.85,last_10y,2016-05-04,2026-04-30,2428,32,111,0.703931451820242,0.24261765478150765,0.2917686238027959,0.1889662207214772,1.4539564464926116,-0.2526016292951285,1.1550544017350988,12.896666924993253
True,0.45,0.85,full_common,2010-09-29,2026-04-30,3785,50,182,0.7189317142569988,0.24737820987574183,0.28982332726155136,0.21240060677438521,1.310198628078417,-0.3529147325591956,0.821227623907535,52.78203296600262
True,0.45,0.9,last_1y,2025-05-06,2026-04-30,242,4,32,0.6996384297520661,0.1890495867768595,0.983766970151787,0.19706849119329653,3.546176078841495,-0.062068609892664495,15.84966977435163,1.9606502250269229
True,0.45,0.9,last_3y,2023-05-04,2026-04-30,726,11,60,0.6105796243369962,0.1941183847552993,0.450607199464784,0.19371424817536106,2.0244769806849243,-0.11042852267079462,4.080532715339472,3.04082105159499
True,0.45,0.9,last_5y,2021-05-06,2026-04-30,1210,17,80,0.7058622374121151,0.22401235316722917,0.33370612954101997,0.18540603837025774,1.652023209431832,-0.16881209978387612,1.976790348371068,4.199143927729267
True,0.45,0.9,last_10y,2016-05-04,2026-04-30,2428,32,112,0.7033136593984957,0.24261765478150765,0.2911034386466109,0.18896189740594613,1.4512464243402659,-0.2526016292951283,1.1524210649746003,12.830491744227022
True,0.45,0.9,full_common,2010-09-29,2026-04-30,3785,50,183,0.7185354130680952,0.24737820987574183,0.2893976130538458,0.21239816312303403,1.3086481134431986,-0.3529147325591956,0.8200213432724976,52.51119860290278
True,0.45,0.95,last_1y,2025-05-06,2026-04-30,242,4,32,0.6996384297520661,0.1890495867768595,0.983766970151787,0.19706849119329653,3.546176078841495,-0.062068609892664495,15.84966977435163,1.9606502250269229
