version,window,start,end,rows,held_days,held_day_ratio,avg_weight_all_days,avg_weight_held_days,median_weight_held_days,max_weight,zero_weight_days
V7.5,1Y,2025-05-07,2026-05-06,242,151,0.6239669421487604,0.7346402145875112,1.177370410133627,1.4428484918871678,1.5,91
V7.5,3Y,2023-05-08,2026-05-06,725,396,0.5462068965517242,0.5918987612936015,1.083653035196619,1.0927910430915757,1.5,329
V7.5,5Y,2021-05-07,2026-05-06,1210,733,0.6057851239669422,0.6732783343818203,1.1114144401118724,1.349223439047113,1.5,477
V7.5,10Y,2016-05-09,2026-05-06,2426,1498,0.6174773289365211,0.6627129112743366,1.0732586934255945,1.0890345489932196,1.5,928
V7.6,1Y,2025-05-07,2026-05-06,242,145,0.5991735537190083,0.7383780991735537,1.2323275862068965,1.5,1.5,97
V7.6,3Y,2023-05-08,2026-05-06,725,411,0.5668965517241379,0.6165657846033188,1.087616043400015,1.5,1.5,314
V7.6,5Y,2021-05-07,2026-05-06,1210,763,0.6305785123966943,0.7171571849895919,1.1373003851080028,1.5,1.5,447
V7.6,10Y,2016-05-09,2026-05-06,2426,1578,0.6504534212695795,0.7203895529057261,1.1075190464824407,1.5,1.5,848
