,annualized_return,annualized_return,max_drawdown,max_drawdown,average_leverage_weight,average_leverage_weight
version,V7.5,V7.6,V7.5,V7.6,V7.5,V7.6
window,,,,,,
10Y,0.2624650771808126,0.33983256091328706,-0.1856098504977105,-0.17409490657398052,0.6627129112743366,0.7203895529057261
1Y,0.884528551237898,1.1403994024120179,-0.08351222586680696,-0.06206860989266427,0.7346402145875112,0.7383780991735537
3Y,0.3816777707457957,0.4977123950672242,-0.10221425507664483,-0.12648484870811072,0.5918987612936014,0.6165657846033188
5Y,0.2959919870591823,0.37291745785057695,-0.15175145240456978,-0.17409490657397952,0.67327833438182,0.7171571849895919
