version,window,held_days,scale_raw_non_na_held,scale_at_1p5_days,scale_at_1p5_ratio,scale_raw_median_held
V7.5,1Y,151,151,54,0.3576158940397351,1.4428484918871678
V7.5,3Y,396,396,100,0.25252525252525254,1.4504535568070829
V7.5,5Y,733,733,100,0.1364256480218281,1.4428484918871678
V7.5,10Y,1498,1498,520,0.3471295060080107,1.4504535568070829
V7.6,1Y,145,145,145,1.0,1.5
V7.6,3Y,411,411,358,0.8710462287104623,1.5
V7.6,5Y,763,763,710,0.9305373525557011,1.5
V7.6,10Y,1578,1578,1395,0.8840304182509505,1.5
