version,window,start,end,rows,transitions,pure_lev_opportunities,held_days,all_change_gt_1e-06,pure_change_gt_1e-06,all_change_gt_0.001,pure_change_gt_0.001,all_change_gt_0.005,pure_change_gt_0.005,all_change_gt_0.01,pure_change_gt_0.01,all_change_gt_0.02,pure_change_gt_0.02,all_change_gt_0.05,pure_change_gt_0.05,all_change_gt_0.1,pure_change_gt_0.1,all_change_gt_0.15,pure_change_gt_0.15,pure_change_gt_0.01_ratio_of_days,pure_change_gt_0.01_ratio_of_pure_ops,pure_change_mean,pure_change_median,pure_change_p90,pure_change_p95
V7.5,1Y,2025-05-07,2026-05-06,242,241,135,151,50,27,50,27,50,27,50,27,50,27,50,27,49,26,49,26,0.1115702479338843,0.2,0.11829941354398993,0.0,0.7214242459435839,0.7214242459435839
V7.5,3Y,2023-05-08,2026-05-06,725,724,348,396,136,60,136,60,136,60,136,60,136,60,136,60,135,59,135,59,0.08275862068965517,0.1724137931034483,0.1070015240990541,0.0,0.7214242459435839,0.7252267784035415
V7.5,5Y,2021-05-07,2026-05-06,1210,1209,652,733,234,113,234,113,234,113,234,113,234,113,234,113,232,111,232,111,0.09338842975206611,0.17331288343558282,0.11048191344758986,0.0,0.7153087397946342,0.7252267784035415
V7.5,10Y,2016-05-09,2026-05-06,2426,2425,1318,1498,512,246,512,246,512,246,512,246,512,246,512,246,509,243,508,242,0.10140148392415499,0.18664643399089528,0.1164952123963332,0.0,0.7153087397946342,0.75
V7.6,1Y,2025-05-07,2026-05-06,242,241,131,145,34,16,34,16,34,16,34,16,34,16,34,16,34,16,34,16,0.06611570247933884,0.12213740458015267,0.11164122137404581,0.0,0.75,1.125
V7.6,3Y,2023-05-08,2026-05-06,725,724,358,411,173,90,131,48,129,46,127,44,127,44,126,43,125,42,125,42,0.060689655172413794,0.12290502793296089,0.09410331499068629,0.0,0.18888613997363343,0.75
V7.6,5Y,2021-05-07,2026-05-06,1210,1209,670,763,264,133,222,91,220,89,218,87,218,87,217,86,216,85,216,85,0.07190082644628099,0.12985074626865672,0.11044998024875477,0.0,0.75,1.125
V7.6,10Y,2016-05-09,2026-05-06,2426,2425,1378,1578,630,350,531,253,507,230,500,223,497,220,485,208,480,203,477,200,0.09192085737840065,0.16182873730043543,0.1285693868772527,0.0,0.75,1.125
