version,window,rows,held_days,same_holding_held_pairs,stable_context_pairs,scale_raw_change_gt_1e-06,stable_weight_change_gt_1e-06,stable_scale_raw_change_gt_1e-06,scale_raw_change_gt_0.001,stable_weight_change_gt_0.001,stable_scale_raw_change_gt_0.001,scale_raw_change_gt_0.005,stable_weight_change_gt_0.005,stable_scale_raw_change_gt_0.005,scale_raw_change_gt_0.01,stable_weight_change_gt_0.01,stable_scale_raw_change_gt_0.01,scale_raw_change_gt_0.02,stable_weight_change_gt_0.02,stable_scale_raw_change_gt_0.02,scale_raw_change_gt_0.05,stable_weight_change_gt_0.05,stable_scale_raw_change_gt_0.05,scale_raw_change_gt_0.1,stable_weight_change_gt_0.1,stable_scale_raw_change_gt_0.1,scale_raw_change_gt_0.15,stable_weight_change_gt_0.15,stable_scale_raw_change_gt_0.15,scale_raw_median_abs_change,scale_raw_p90_abs_change,scale_raw_p95_abs_change,scale_raw_mean_abs_change,stable_weight_median_abs_change,stable_weight_p90_abs_change,stable_weight_p95_abs_change,stable_weight_mean_abs_change,stable_scale_raw_median_abs_change,stable_scale_raw_p90_abs_change,stable_scale_raw_p95_abs_change,stable_scale_raw_mean_abs_change
V7.5,1Y,242,151,135,113,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,0.0,0.0,0.0,0.006486592278970122,0.0,0.0,0.0,0.0070823157272966635,0.0,0.0,0.0,0.0077494686518669595
V7.5,3Y,725,396,348,283,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,0.0,0.0,0.0,0.004048008457880929,0.0,0.0,0.0,0.004711373367018092,0.0,0.0,0.0,0.004977763050680436
V7.5,5Y,1210,733,652,527,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,7,9,0.0,0.0,0.0,0.002701688266204411,0.0,0.0,0.0,0.003022685006126567,0.0,0.0,0.0,0.003342506166158019
V7.5,10Y,2426,1498,1318,1047,22,19,19,22,19,19,22,19,19,22,19,19,22,19,19,22,19,19,22,16,19,22,15,19,0.0,0.0,0.0,0.0032067341596917916,0.0,0.0,0.0,0.003137956077461307,0.0,0.0,0.0,0.003474690458792116
V7.6,1Y,242,145,131,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V7.6,3Y,725,411,358,304,49,46,46,7,7,7,5,5,5,3,3,3,3,3,3,2,2,2,2,1,2,1,1,1,0.0,9.495282298483957e-05,0.0002916697631354936,0.001064770604750238,0.0,0.00010148334106896413,0.0003155121992326584,0.0010299656404990515,0.0,0.00010148334106896413,0.0003155121992326584,0.0012510219228506663
V7.6,5Y,1210,763,670,566,49,46,46,7,7,7,5,5,5,3,3,3,3,3,3,2,2,2,2,1,2,1,1,1,0.0,0.0,0.0001009027386626447,0.000568937129105351,0.0,0.0,0.00010444879094778647,0.0005531970931302325,0.0,0.0,0.00010444879094778647,0.0006719269691636087
V7.6,10Y,2426,1578,1378,1134,166,143,143,62,55,59,39,32,37,27,25,26,24,22,23,11,10,10,7,5,6,3,2,2,0.0,9.174029156990823e-05,0.0006581225795401211,0.001425712133057277,0.0,8.976121108749694e-05,0.0008410541053298738,0.0014512799531587277,0.0,0.00010315529026252438,0.0010765629138449909,0.0015662067945380667
