window,held_days,avg_final_weight,median_final_weight,avg_scale_raw,median_scale_raw,scale_raw_eq_1p5_days,scale_raw_eq_1p5_ratio,final_weight_eq_1p5_days,final_weight_eq_1p5_ratio,final_weight_lt_1_days,final_weight_lt_1_ratio,volume_scale_0p25_days,volume_scale_0p25_ratio,base_weight_lt_1_days,base_weight_lt_1_ratio
1Y,145,1.2323275862068965,1.5,1.5,1.5,145,1.0,107,0.7379310344827587,38,0.2620689655172414,30,0.20689655172413793,38,0.2620689655172414
3Y,411,1.087616043400015,1.5,1.4535328346829757,1.5,358,0.8710462287104623,211,0.51338199513382,149,0.36253041362530414,161,0.39172749391727496,149,0.36253041362530414
5Y,763,1.1373003851080028,1.5,1.4749698493508558,1.5,710,0.9305373525557011,459,0.601572739187418,253,0.3315858453473132,259,0.3394495412844037,253,0.3315858453473132
10Y,1578,1.1075190464824407,1.5,1.4725487216656519,1.5,1395,0.8840304182509505,869,0.5506970849176173,571,0.36185044359949303,574,0.3637515842839037,571,0.36185044359949303
