version,window,start,end,rows,annualized_return,max_drawdown,average_leverage_weight,average_base_weight,average_scale_raw,total_return,elapsed_years
V7.5,1Y,2025-05-07,2026-05-06,242,0.884528551237898,-0.08351222586680696,0.7346402145875112,0.5144628099173554,1.3910818567803476,0.8804461085815332,0.9965776865160849
V7.5,3Y,2023-05-08,2026-05-06,725,0.3816777707457957,-0.10221425507664483,0.5918987612936014,0.4417241379310345,1.371197605116258,1.6335865102775298,2.9952087611225187
V7.5,5Y,2021-05-07,2026-05-06,1210,0.2959919870591823,-0.15175145240456978,0.67327833438182,0.48946280991735536,1.3914298584174416,2.652802752263526,4.996577686516085
V7.5,10Y,2016-05-09,2026-05-06,2426,0.2624650771808126,-0.1856098504977105,0.6627129112743366,0.4858821104699093,1.3803270763454427,9.26180601995055,9.990417522245037
V7.6,1Y,2025-05-07,2026-05-06,242,1.1403994024120179,-0.06206860989266427,0.7383780991735537,0.4922520661157025,1.5,1.1348322956394679,0.9965776865160849
V7.6,3Y,2023-05-08,2026-05-06,725,0.4977123950672242,-0.12648484870811072,0.6165657846033188,0.4282758620689655,1.460870433223907,2.3530864650220464,2.9952087611225187
V7.6,5Y,2021-05-07,2026-05-06,1210,0.37291745785057695,-0.17409490657397952,0.7171571849895919,0.4884297520661157,1.4765545984192832,3.8724913307879323,4.996577686516085
V7.6,10Y,2016-05-09,2026-05-06,2426,0.33983256091328706,-0.17409490657398052,0.7203895529057261,0.4905708985985161,1.4739016125445454,17.590360868502195,9.990417522245037
