date,window,variant,drawdown
2016-05-09,10Y,baseline_all_10_pairs,0.0
2016-05-10,10Y,baseline_all_10_pairs,-0.0001417918336807933
2016-05-11,10Y,baseline_all_10_pairs,0.0
2016-05-12,10Y,baseline_all_10_pairs,0.0
2016-05-13,10Y,baseline_all_10_pairs,-0.001062413527859296
2016-05-16,10Y,baseline_all_10_pairs,-0.009867489420603559
2016-05-17,10Y,baseline_all_10_pairs,-0.01174953039222748
2016-05-18,10Y,baseline_all_10_pairs,0.0
2016-05-19,10Y,baseline_all_10_pairs,-0.005609098265228041
2016-05-20,10Y,baseline_all_10_pairs,-0.00984175584181779
2016-05-23,10Y,baseline_all_10_pairs,-0.018687755678193252
2016-05-24,10Y,baseline_all_10_pairs,-0.017318450326306523
2016-05-25,10Y,baseline_all_10_pairs,-0.016423922754797426
2016-05-26,10Y,baseline_all_10_pairs,-0.018315895599861576
2016-05-27,10Y,baseline_all_10_pairs,-0.02303876560207374
2016-05-30,10Y,baseline_all_10_pairs,-0.022876052964853177
2016-05-31,10Y,baseline_all_10_pairs,-0.01772763634886565
2016-06-01,10Y,baseline_all_10_pairs,-0.021094504916665424
2016-06-02,10Y,baseline_all_10_pairs,-0.01813591937754777
2016-06-03,10Y,baseline_all_10_pairs,-0.01792865388527176
2016-06-06,10Y,baseline_all_10_pairs,-0.017480195106537644
2016-06-07,10Y,baseline_all_10_pairs,-0.019294422154223834
2016-06-08,10Y,baseline_all_10_pairs,-0.020164295122540365
2016-06-13,10Y,baseline_all_10_pairs,-0.03845374744908492
2016-06-14,10Y,baseline_all_10_pairs,-0.03912609033864245
2016-06-15,10Y,baseline_all_10_pairs,-0.024637242392679837
2016-06-16,10Y,baseline_all_10_pairs,-0.01976679878469967
2016-06-17,10Y,baseline_all_10_pairs,-0.01883859170543123
2016-06-20,10Y,baseline_all_10_pairs,-0.014787146413542063
2016-06-21,10Y,baseline_all_10_pairs,-0.01452704999533172
2016-06-22,10Y,baseline_all_10_pairs,-0.018641522269385646
2016-06-23,10Y,baseline_all_10_pairs,-0.017692788332092868
2016-06-24,10Y,baseline_all_10_pairs,-0.019935044207931685
2016-06-27,10Y,baseline_all_10_pairs,-0.023139338680166932
2016-06-28,10Y,baseline_all_10_pairs,-0.020704772555603768
2016-06-29,10Y,baseline_all_10_pairs,-0.024500660920758643
2016-06-30,10Y,baseline_all_10_pairs,-0.024676933291011394
2016-07-01,10Y,baseline_all_10_pairs,-0.02727095055594264
2016-07-04,10Y,baseline_all_10_pairs,-0.02641257890712334
2016-07-05,10Y,baseline_all_10_pairs,-0.02535515979428349
2016-07-06,10Y,baseline_all_10_pairs,-0.023035848234905565
2016-07-07,10Y,baseline_all_10_pairs,-0.022564727817470986
2016-07-08,10Y,baseline_all_10_pairs,-0.0181029596436304
