date,return,nav,top_pair,direction,holding,pair_a,pair_b,long_leg,short_leg,pair_changed,direction_changed,is_signal,target,weight,scale_raw,realized_vol,return_before_dk_execution_cost,dk_execution_turnover,dk_execution_cost,actual_position,actual_direction,scale_rebalanced,dk_overlay_execution_cost,same_side_overheat_tc,raw_return,return_before_dk_overlay,base_weight,active_score_overlay,overlay_scale,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_overheat_return,return_before_dk_overheat,pre_overheat_weight,same_side_overheat_abs_bias,same_side_overheat_signal,same_side_overheat_scale,same_side_overheat_on,same_side_overheat_triggered,same_side_overheat_recovered,dk_total_overlay_scale,raw_nav,risk_gate_scale,risk_gate_on,risk_gate_base_dd
2015-04-03,0.0,1.0,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,0.0,,1.0,False,False,False,1,,,False,0.0,0.0,0.0,,False,0.0,True,True,False,0.0,1.0,1.0,False,0.0
2015-04-07,0.0,1.0,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,0.0,,1.0,False,False,False,1,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,1.0,1.0,False,0.0
2015-04-08,0.0,1.0,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,0.0,,1.0,False,False,False,1,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,1.0,1.0,False,0.0
2015-04-09,-0.011382140985756739,0.9886178590142433,ZZ500/CYB,1,ZZ500/CYB_1,ZZ500,CYB,ZZ500,CYB,True,True,True,ZZ500/CYB_1,0.928559603921354,0.9374733634520747,0.21422752431866782,-0.010463297176917736,1.857119207842708,0.0009285596039213539,ZZ500/CYB_1,1,True,0.0,0.0,-0.011382140985756739,-0.010463297176917736,0.928559603921354,26.18088029075507,1.0,False,False,False,2,26.18088029075507,1.0,False,-0.010463297176917736,-0.010463297176917736,0.928559603921354,,False,1.0,False,False,False,1.0,0.9886178590142433,1.0,False,-0.011382140985756739
2015-04-10,0.003742322939512377,0.9923175863064438,ZZ500/CYB,1,ZZ500/CYB_1,ZZ500,CYB,ZZ500,CYB,False,False,False,,0.928559603921354,0.933586851811329,0.21380576444277075,0.003742322939512453,0.0,0.0,ZZ500/CYB_1,1,False,0.0,0.0,0.003742322939512377,0.003742322939512453,0.928559603921354,30.1613330520372,1.0,False,False,False,2,30.1613330520372,1.0,False,0.003742322939512453,0.003742322939512453,0.928559603921354,,False,1.0,False,False,False,1.0,0.9923175863064438,1.0,False,-0.007682413693556156
2015-04-13,0.010858571223830937,1.0030927374940124,ZZ500/CYB,1,ZZ500/CYB_1,ZZ500,CYB,ZZ500,CYB,False,False,False,,0.928559603921354,0.9354284741632113,0.21041313367560635,0.010858571223830996,0.0,0.0,ZZ500/CYB_1,1,False,0.0,0.0,0.010858571223830937,0.010858571223830996,0.928559603921354,33.318848604136036,1.0,False,False,False,2,33.318848604136036,1.0,False,0.010858571223830996,0.010858571223830996,0.928559603921354,,False,1.0,False,False,False,1.0,1.0030927374940124,1.0,False,0.0
2015-04-14,0.004306517853731817,1.007412574276979,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,True,False,True,SZ50/CYB_1,0.4740925121232068,0.4809947265518632,0.4089061439759521,0.0052399430571029295,1.857119207842708,0.0009285596039213539,SZ50/CYB_1,1,True,0.0,0.0,0.004306517853731817,0.0052399430571029295,0.4740925121232068,42.40672738817197,1.0,False,False,False,3,42.40672738817197,1.0,False,0.0052399430571029295,0.0052399430571029295,0.4740925121232068,,False,1.0,False,False,False,1.0,1.007412574276979,1.0,False,0.0
2015-04-15,0.02183677905210457,1.0294112200757772,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.4891097943780519,0.4255530148556437,0.021836779052104523,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,0.02183677905210457,0.021836779052104523,0.4740925121232068,59.592285237281374,1.0,False,False,False,3,59.592285237281374,1.0,False,0.021836779052104523,0.021836779052104523,0.4740925121232068,,False,1.0,False,False,False,1.0,1.0294112200757772,1.0,False,0.0
2015-04-16,0.01191549842605566,1.0416771678483543,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.4699766962474561,0.4260668030576579,0.011915498426055755,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,0.01191549842605566,0.011915498426055755,0.4740925121232068,80.88023659388043,1.0,False,False,False,3,80.88023659388043,1.0,False,0.011915498426055755,0.011915498426055755,0.4740925121232068,,False,1.0,False,False,False,1.0,1.0416771678483543,1.0,False,0.0
2015-04-17,0.011630428787481772,1.0537923199685604,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.46940995769842886,0.42938366704139874,0.011630428787481878,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,0.011630428787481772,0.011630428787481878,0.4740925121232068,102.44569780377847,1.0,False,False,False,3,102.44569780377847,1.0,False,0.011630428787481878,0.011630428787481878,0.4740925121232068,,False,1.0,False,False,False,1.0,1.0537923199685604,1.0,False,0.0
2015-04-20,-0.0028538989183675145,1.050784903206418,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.46578390225708594,0.41768309120397,-0.0028538989183675657,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,-0.0028538989183675145,-0.0028538989183675657,0.4740925121232068,124.59261857366782,1.0,False,False,False,3,124.59261857366782,1.0,False,-0.0028538989183675657,-0.0028538989183675657,0.4740925121232068,,False,1.0,False,False,False,1.0,1.050784903206418,1.0,False,-0.0028538989183676255
2015-04-21,-0.020138672829318027,1.0296234898267573,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.4788319283490762,0.43657148133464035,-0.020138672829318065,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,-0.020138672829318027,-0.020138672829318065,0.4740925121232068,137.5392960342493,1.0,False,False,False,3,137.5392960342493,1.0,False,-0.020138672829318065,-0.020138672829318065,0.4740925121232068,,False,1.0,False,False,False,1.0,1.0296234898267573,1.0,False,-0.022935098011080735
2015-04-22,-0.0002026667274827032,1.0294148194035349,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.45811512787913006,0.421520118975209,-0.00020266672748270494,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,-0.0002026667274827032,-0.00020266672748270494,0.4740925121232068,139.9063406903203,1.0,False,False,False,3,139.9063406903203,1.0,False,-0.00020266672748270494,-0.00020266672748270494,0.4740925121232068,,False,1.0,False,False,False,1.0,1.0294148194035349,1.0,False,-0.02313311655730499
2015-04-23,-0.016531166654748186,1.0123973914671076,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.4744732006771963,0.43206073276050505,-0.016531166654748238,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,-0.016531166654748186,-0.016531166654748238,0.4740925121232068,120.5133551926543,1.0,False,False,False,3,139.9063406903203,0.8613859428959553,False,-0.016531166654748238,-0.016531166654748238,0.4740925121232068,,False,1.0,False,False,False,1.0,1.0123973914671076,1.0,False,-0.03928186580700055
2015-04-24,-0.01216474977396409,1.0000818305280963,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.4628978864201985,0.4227308955528631,-0.012164749773964055,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,-0.01216474977396409,-0.012164749773964055,0.4740925121232068,112.80506394281637,1.0,False,False,False,3,139.9063406903203,0.8062898606754928,False,-0.012164749773964055,-0.012164749773964055,0.4740925121232068,,False,1.0,False,False,False,1.0,1.0000818305280963,1.0,False,-0.05096876151276797
2015-04-27,0.010215583024043573,1.0102982494986936,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.4731142249218208,0.4229027092102291,0.010215583024043478,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,0.010215583024043573,0.010215583024043478,0.4740925121232068,99.44802545873775,1.0,False,False,False,3,139.9063406903203,0.7108185731114491,False,0.010215583024043478,0.010215583024043478,0.4740925121232068,,False,1.0,False,False,False,1.0,1.0102982494986936,1.0,False,-0.041273854103590746
2015-04-28,0.006527452999746108,1.0168929238380222,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.47292201171635917,0.4230346043890335,0.00652745299974617,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,0.006527452999746108,0.00652745299974617,0.4740925121232068,103.19755157178493,1.0,False,False,False,3,139.9063406903203,0.7376188317312259,False,0.00652745299974617,0.00652745299974617,0.4740925121232068,,False,1.0,False,False,False,1.0,1.0168929238380222,1.0,False,-0.03501581424662403
2015-04-29,-0.0191844212123502,0.9973844216592552,SZ50/CYB,1,SZ50/CYB_1,SZ50,CYB,SZ50,CYB,False,False,False,,0.4740925121232068,0.47277456247072136,0.43621230140969025,-0.019184421212350207,0.0,0.0,SZ50/CYB_1,1,False,0.0,0.0,-0.0191844212123502,-0.019184421212350207,0.4740925121232068,93.62630192454515,1.0,False,False,False,3,139.9063406903203,0.6692069956413553,False,-0.019184421212350207,-0.019184421212350207,0.4740925121232068,,False,1.0,False,False,False,1.0,0.9973844216592552,1.0,False,-0.0535284773293736
2015-04-30,-0.011856764254206675,0.9855586697008232,SZ50/ZZ1000,1,SZ50/ZZ1000_1,SZ50,ZZ1000,SZ50,ZZ1000,True,False,True,SZ50/ZZ1000_1,0.6511954188663138,0.6126476335340276,0.3304730949383307,-0.011212870605310909,1.3023908377326276,0.0006511954188663138,SZ50/ZZ1000_1,1,True,0.0,0.0,-0.011856764254206675,-0.011212870605310909,0.6511954188663138,94.5406189442271,1.0,False,False,False,4,94.5406189442271,1.0,False,-0.011212870605310909,-0.011212870605310909,0.6511954188663138,,False,1.0,False,False,False,1.0,0.9855586697008232,1.0,False,-0.06475056704699933
2015-05-04,-0.0014235620931177806,0.9841556657380935,SZ50/ZZ1000,1,SZ50/ZZ1000_1,SZ50,ZZ1000,SZ50,ZZ1000,False,False,False,,0.6511954188663138,0.6051929886677214,0.3284337607754969,-0.0014235620931177422,0.0,0.0,SZ50/ZZ1000_1,1,False,0.0,0.0,-0.0014235620931177806,-0.0014235620931177422,0.6511954188663138,81.86404891602808,1.0,False,False,False,4,94.5406189442271,0.8659140360009978,False,-0.0014235620931177422,-0.0014235620931177422,0.6511954188663138,,False,1.0,False,False,False,1.0,0.9841556657380935,1.0,False,-0.06608195268736106
