date,window,variant,nav
2016-05-09,10Y,baseline_all_10_pairs,1.0078463577682004
2016-05-10,10Y,baseline_all_10_pairs,1.007703453385064
2016-05-11,10Y,baseline_all_10_pairs,1.0127939585599384
2016-05-12,10Y,baseline_all_10_pairs,1.0139262192297274
2016-05-13,10Y,baseline_all_10_pairs,1.0128490102981664
2016-05-16,10Y,baseline_all_10_pairs,1.0039213129882054
2016-05-17,10Y,baseline_all_10_pairs,1.0020130623014114
2016-05-18,10Y,baseline_all_10_pairs,1.0179772588024254
2016-05-19,10Y,baseline_all_10_pairs,1.0122673243260352
2016-05-20,10Y,baseline_all_10_pairs,1.007958575168769
2016-05-23,10Y,baseline_all_10_pairs,0.9989535485039688
2016-05-24,10Y,baseline_all_10_pairs,1.0003474702125459
2016-05-25,10Y,baseline_all_10_pairs,1.001258078937714
2016-05-26,10Y,baseline_all_10_pairs,0.9993320936071669
2016-05-27,10Y,baseline_all_10_pairs,0.9945243193486347
2016-05-30,10Y,baseline_all_10_pairs,0.9946899571130451
2016-05-31,10Y,baseline_all_10_pairs,0.9999309281469609
2016-06-01,10Y,baseline_all_10_pairs,0.9965035325115641
2016-06-02,10Y,baseline_all_10_pairs,0.9995153053086075
2016-06-03,10Y,baseline_all_10_pairs,0.999726296866279
2016-06-06,10Y,baseline_all_10_pairs,1.0001828177045406
2016-06-07,10Y,baseline_all_10_pairs,0.9983359758276918
2016-06-08,10Y,baseline_all_10_pairs,0.9974504649278987
2016-06-13,10Y,baseline_all_10_pairs,0.9788322183835252
2016-06-14,10Y,baseline_all_10_pairs,0.978147788611838
2016-06-15,10Y,baseline_all_10_pairs,0.9928971063270743
2016-06-16,10Y,baseline_all_10_pairs,0.9978551071602777
2016-06-17,10Y,baseline_all_10_pairs,0.9988000008584325
2016-06-20,10Y,baseline_all_10_pairs,1.0029242800308578
2016-06-21,10Y,baseline_all_10_pairs,1.0031890522696918
2016-06-22,10Y,baseline_all_10_pairs,0.9990006130627318
2016-06-23,10Y,baseline_all_10_pairs,0.9999664026355499
2016-06-24,10Y,baseline_all_10_pairs,0.9976838371455299
2016-06-27,10Y,baseline_all_10_pairs,0.9944219382422881
2016-06-28,10Y,baseline_all_10_pairs,0.9969002711921442
2016-06-29,10Y,baseline_all_10_pairs,0.9930361431594638
2016-06-30,10Y,baseline_all_10_pairs,0.9928567018951913
2016-07-01,10Y,baseline_all_10_pairs,0.9902160513105505
2016-07-04,10Y,baseline_all_10_pairs,0.9910898541286493
2016-07-05,10Y,baseline_all_10_pairs,0.9921662827385432
2016-07-06,10Y,baseline_all_10_pairs,0.9945272891620676
2016-07-07,10Y,baseline_all_10_pairs,0.9950068790331734
2016-07-08,10Y,baseline_all_10_pairs,0.9995488575681916
2016-07-11,10Y,baseline_all_10_pairs,0.9936236029581764
2016-07-12,10Y,baseline_all_10_pairs,0.9899342845673226
2016-07-13,10Y,baseline_all_10_pairs,0.995133280497321
2016-07-14,10Y,baseline_all_10_pairs,0.9967682021490102
2016-07-15,10Y,baseline_all_10_pairs,0.9960371396184018
2016-07-18,10Y,baseline_all_10_pairs,0.9943094972509893
2016-07-19,10Y,baseline_all_10_pairs,1.000460308484409
2016-07-20,10Y,baseline_all_10_pairs,0.9981245477716508
2016-07-21,10Y,baseline_all_10_pairs,1.0000963892092203
2016-07-22,10Y,baseline_all_10_pairs,1.0003472502611568
2016-07-25,10Y,baseline_all_10_pairs,1.0028535748784415
2016-07-26,10Y,baseline_all_10_pairs,1.0035799360284208
2016-07-27,10Y,baseline_all_10_pairs,1.0085925828504283
2016-07-28,10Y,baseline_all_10_pairs,1.0128032623855172
2016-07-29,10Y,baseline_all_10_pairs,1.0140602936617726
2016-08-01,10Y,baseline_all_10_pairs,1.0189166227326407
2016-08-02,10Y,baseline_all_10_pairs,1.0145693632610864
2016-08-03,10Y,baseline_all_10_pairs,1.0104418599189828
2016-08-04,10Y,baseline_all_10_pairs,1.0047911489736623
2016-08-05,10Y,baseline_all_10_pairs,1.0100244540247063
2016-08-08,10Y,baseline_all_10_pairs,1.0075141869015471
2016-08-09,10Y,baseline_all_10_pairs,1.0055657426231885
2016-08-10,10Y,baseline_all_10_pairs,1.0083678144584078
2016-08-11,10Y,baseline_all_10_pairs,1.0176771388666097
2016-08-12,10Y,baseline_all_10_pairs,1.0232076128565
2016-08-15,10Y,baseline_all_10_pairs,1.0215407227167619
2016-08-16,10Y,baseline_all_10_pairs,1.013227171865996
2016-08-17,10Y,baseline_all_10_pairs,1.0107664467636508
2016-08-18,10Y,baseline_all_10_pairs,1.0102680834719517
2016-08-19,10Y,baseline_all_10_pairs,1.0088557681462123
2016-08-22,10Y,baseline_all_10_pairs,1.0143187135699092
2016-08-23,10Y,baseline_all_10_pairs,1.013274774443292
2016-08-24,10Y,baseline_all_10_pairs,1.0092054622715492
2016-08-25,10Y,baseline_all_10_pairs,1.010576237824531
2016-08-26,10Y,baseline_all_10_pairs,1.0069447740518926
2016-08-29,10Y,baseline_all_10_pairs,1.005193546866508
2016-08-30,10Y,baseline_all_10_pairs,1.0054480061761968
2016-08-31,10Y,baseline_all_10_pairs,1.003159773370755
2016-09-01,10Y,baseline_all_10_pairs,1.0057454312287228
2016-09-02,10Y,baseline_all_10_pairs,1.0050237932010833
2016-09-05,10Y,baseline_all_10_pairs,1.005002630774904
2016-09-06,10Y,baseline_all_10_pairs,1.006933604479974
2016-09-07,10Y,baseline_all_10_pairs,1.0031134613450512
2016-09-08,10Y,baseline_all_10_pairs,1.0063083491456803
2016-09-09,10Y,baseline_all_10_pairs,1.0043209637182322
2016-09-12,10Y,baseline_all_10_pairs,0.9976415722024403
2016-09-13,10Y,baseline_all_10_pairs,0.9982364333575584
2016-09-14,10Y,baseline_all_10_pairs,1.0025080163015907
2016-09-19,10Y,baseline_all_10_pairs,1.0040051558698853
2016-09-20,10Y,baseline_all_10_pairs,1.0030205904602478
2016-09-21,10Y,baseline_all_10_pairs,1.0022212908963466
2016-09-22,10Y,baseline_all_10_pairs,0.9989519161686407
2016-09-23,10Y,baseline_all_10_pairs,0.9982413152343534
2016-09-26,10Y,baseline_all_10_pairs,0.9982413152343534
2016-09-27,10Y,baseline_all_10_pairs,0.9983608440402164
2016-09-28,10Y,baseline_all_10_pairs,0.9986201612442072
2016-09-29,10Y,baseline_all_10_pairs,0.9970805343268995
2016-09-30,10Y,baseline_all_10_pairs,0.9963636955115328
2016-10-10,10Y,baseline_all_10_pairs,1.0068302416493058
2016-10-11,10Y,baseline_all_10_pairs,1.0048474642307526
2016-10-12,10Y,baseline_all_10_pairs,1.0064986566958667
2016-10-13,10Y,baseline_all_10_pairs,1.0057325994176516
2016-10-14,10Y,baseline_all_10_pairs,0.998198185116099
2016-10-17,10Y,baseline_all_10_pairs,0.994938650966837
2016-10-18,10Y,baseline_all_10_pairs,0.9953895345651848
2016-10-19,10Y,baseline_all_10_pairs,0.9947693060227953
2016-10-20,10Y,baseline_all_10_pairs,0.9975679970530595
2016-10-21,10Y,baseline_all_10_pairs,0.9873796597317793
2016-10-24,10Y,baseline_all_10_pairs,0.9827469284037788
2016-10-25,10Y,baseline_all_10_pairs,0.9857981265636183
2016-10-26,10Y,baseline_all_10_pairs,0.9854280055939515
2016-10-27,10Y,baseline_all_10_pairs,0.9870462727155599
2016-10-28,10Y,baseline_all_10_pairs,0.9817604441252036
2016-10-31,10Y,baseline_all_10_pairs,0.9825847796954494
2016-11-01,10Y,baseline_all_10_pairs,0.9847797672269334
2016-11-02,10Y,baseline_all_10_pairs,0.988121685824863
2016-11-03,10Y,baseline_all_10_pairs,0.99531623290637
2016-11-04,10Y,baseline_all_10_pairs,0.9975140483397228
2016-11-07,10Y,baseline_all_10_pairs,1.004375796280174
2016-11-08,10Y,baseline_all_10_pairs,0.9991110213689647
2016-11-09,10Y,baseline_all_10_pairs,1.0022593510200632
2016-11-10,10Y,baseline_all_10_pairs,1.0038409432466633
2016-11-11,10Y,baseline_all_10_pairs,1.0087525763886052
2016-11-14,10Y,baseline_all_10_pairs,1.006677855542715
2016-11-15,10Y,baseline_all_10_pairs,0.9982873080015356
2016-11-16,10Y,baseline_all_10_pairs,0.9968888753127809
2016-11-17,10Y,baseline_all_10_pairs,1.0057373230951183
2016-11-18,10Y,baseline_all_10_pairs,1.004433678470881
2016-11-21,10Y,baseline_all_10_pairs,1.015251519683341
2016-11-22,10Y,baseline_all_10_pairs,1.012367194033663
2016-11-23,10Y,baseline_all_10_pairs,1.018897888226261
2016-11-24,10Y,baseline_all_10_pairs,1.0283499060036878
2016-11-25,10Y,baseline_all_10_pairs,1.0290490702823603
2016-11-28,10Y,baseline_all_10_pairs,1.0325395702499387
2016-11-29,10Y,baseline_all_10_pairs,1.0469659247558678
2016-11-30,10Y,baseline_all_10_pairs,1.0340036245377056
2016-12-01,10Y,baseline_all_10_pairs,1.0345606256823425
2016-12-02,10Y,baseline_all_10_pairs,1.051774378924522
2016-12-05,10Y,baseline_all_10_pairs,1.0335110775108303
2016-12-06,10Y,baseline_all_10_pairs,1.0256789678132785
2016-12-07,10Y,baseline_all_10_pairs,1.0141369686184647
2016-12-08,10Y,baseline_all_10_pairs,1.024733902660371
2016-12-09,10Y,baseline_all_10_pairs,1.0513309412678795
2016-12-12,10Y,baseline_all_10_pairs,1.1214489749175054
2016-12-13,10Y,baseline_all_10_pairs,1.107697375343058
2016-12-14,10Y,baseline_all_10_pairs,1.1093650883719228
2016-12-15,10Y,baseline_all_10_pairs,1.0679303506532902
2016-12-16,10Y,baseline_all_10_pairs,1.0528910684653963
2016-12-19,10Y,baseline_all_10_pairs,1.0490247293064228
2016-12-20,10Y,baseline_all_10_pairs,1.0419409939510542
2016-12-21,10Y,baseline_all_10_pairs,1.0449376913962196
2016-12-22,10Y,baseline_all_10_pairs,1.0461963633152587
2016-12-23,10Y,baseline_all_10_pairs,1.0485714811168103
2016-12-26,10Y,baseline_all_10_pairs,1.0441846682231928
2016-12-27,10Y,baseline_all_10_pairs,1.0469943025931132
2016-12-28,10Y,baseline_all_10_pairs,1.051491003106358
2016-12-29,10Y,baseline_all_10_pairs,1.047471144081857
2016-12-30,10Y,baseline_all_10_pairs,1.043090385365687
2017-01-03,10Y,baseline_all_10_pairs,1.0413722463296244
2017-01-04,10Y,baseline_all_10_pairs,1.0475501573022186
2017-01-05,10Y,baseline_all_10_pairs,1.0474346370302943
2017-01-06,10Y,baseline_all_10_pairs,1.0463018135400401
2017-01-09,10Y,baseline_all_10_pairs,1.0473640649985663
2017-01-10,10Y,baseline_all_10_pairs,1.0446425189961535
2017-01-11,10Y,baseline_all_10_pairs,1.0393262548774438
2017-01-12,10Y,baseline_all_10_pairs,1.0323950807629818
2017-01-13,10Y,baseline_all_10_pairs,1.0060142435603423
2017-01-16,10Y,baseline_all_10_pairs,0.9529922043509171
2017-01-17,10Y,baseline_all_10_pairs,0.9453357212869202
2017-01-18,10Y,baseline_all_10_pairs,0.9493879651769928
2017-01-19,10Y,baseline_all_10_pairs,0.9497293029859204
2017-01-20,10Y,baseline_all_10_pairs,0.9453405621049247
2017-01-23,10Y,baseline_all_10_pairs,0.9414755137422267
2017-01-24,10Y,baseline_all_10_pairs,0.9444659316154574
2017-01-25,10Y,baseline_all_10_pairs,0.9440639310929636
2017-01-26,10Y,baseline_all_10_pairs,0.9419243341337199
2017-02-03,10Y,baseline_all_10_pairs,0.9384828974452677
2017-02-06,10Y,baseline_all_10_pairs,0.9336659305958909
