start,end,months,avg_cpi_yoy,max_cpi_yoy,avg_gdp_yoy,min_gdp_qoq_ann,recession_month_share,avg_unrate_12m_change
1970-01-01,1971-08-01,20,0.05338283895992531,0.06424581005586605,0.011325351402616968,-0.042178874121014176,0.55,1.4300000000000002
1973-10-01,1975-12-01,27,0.09903606784129476,0.12200435729847503,0.003683710654210754,-0.047822992471830306,0.5925925925925926,1.5407407407407407
1980-01-01,1981-03-01,15,0.13075369601885495,0.14592274678111572,0.0005335516138764262,-0.07990496864847274,0.4,1.2866666666666666
1981-07-01,1982-11-01,17,0.07750901462910505,0.1096543504171632,0.0065098698578611724,-0.06071244125228514,0.9411764705882353,1.4411764705882353
1983-04-01,1983-04-01,1,0.040000000000000036,0.040000000000000036,0.014314731652409485,0.053762743250762135,0.0,0.8999999999999986
1990-08-01,1991-07-01,12,0.054493202215957715,0.06379585326953752,0.007022634918267591,-0.03592189184056305,0.6666666666666666,1.0916666666666668
2008-01-01,2008-02-01,2,0.042188274628889744,0.04294695655165981,0.02133364682457861,0.025367271478347497,1.0,0.40000000000000036
2008-05-01,2008-09-01,5,0.04956645808928202,0.054975120783418374,0.013825949418239869,-0.016961606735480972,1.0,1.1999999999999997
2022-04-01,2022-06-01,3,0.08583094356508363,0.08979361103105798,0.04034582077886428,-0.010153057807451127,0.0,-2.3000000000000003
2023-01-01,2023-03-01,3,0.057342395396623815,0.06327178517960097,0.013170742821654535,0.027896792303830242,0.0,-0.3333333333333333
