window,start,end,series,rows,total_return,annual,vol,sharpe,max_dd
macro_stagflation_2022-04-01_2022-06-01,2022-04-01,2022-06-30,Sub-B official,91,-0.05285638999905329,-0.19779088672348943,0.08175784261408696,-1.8468304283336114,-0.0703955909593087
macro_stagflation_2022-04-01_2022-06-01,2022-04-01,2022-06-30,Sub-B + DBMF,91,-0.010018800909961212,-0.040040981801069186,0.0881822186415876,-0.10466246803553488,-0.050976162995517216
macro_stagflation_2022-04-01_2022-06-01,2022-04-01,2022-06-30,V7.2 official,91,-0.013737810598791977,-0.05459239647286429,0.0667382404529029,-0.6980815653364267,-0.04049340581906702
macro_stagflation_2022-04-01_2022-06-01,2022-04-01,2022-06-30,V7.2 + DBMF in Sub-B,91,0.007262309652816823,0.02980181191745812,0.06557402666379758,0.32046643047886475,-0.03949349797253099
macro_stagflation_2022-04-01_2022-06-01,2022-04-01,2022-06-30,SPY,49,-0.1338104675434696,-0.44177089125686975,0.2884793454875774,-2.36493004959055,-0.1439508365128216
macro_stagflation_2022-04-01_2022-06-01,2022-04-01,2022-06-30,DBC,49,0.027216627489282663,0.11513757149343018,0.238318773500011,0.8370760074191974,-0.1134079919204104
macro_stagflation_2022-04-01_2022-06-01,2022-04-01,2022-06-30,TLT,49,0.0034683667698485188,0.01415062020221347,0.19491888039556352,0.2870406891977695,-0.10955342501330356
macro_stagflation_2022-04-01_2022-06-01,2022-04-01,2022-06-30,GLD,49,0.006958580223023425,0.028542174948293253,0.11781315145591069,0.08162062703283898,-0.046641253116446846
macro_stagflation_2022-04-01_2022-06-01,2022-04-01,2022-06-30,DBMF,49,0.046353021201392064,0.20187922246268242,0.15598622563177356,1.8663101511852112,-0.04922240345559881
macro_stagflation_2023-01-01_2023-03-01,2023-01-01,2023-03-31,Sub-B official,90,0.013988497555544877,0.058666430637718925,0.08136884611138033,0.5183836755889702,-0.053096956781031324
macro_stagflation_2023-01-01_2023-03-01,2023-01-01,2023-03-31,Sub-B + DBMF,90,0.0027023493255413644,0.011136859715715985,0.08073036176927599,0.13357950852772146,-0.05018760539110445
macro_stagflation_2023-01-01_2023-03-01,2023-01-01,2023-03-31,V7.2 official,90,0.04264537585532935,0.1869473954835721,0.050806076375273346,2.3271879156976647,-0.017309251009050786
macro_stagflation_2023-01-01_2023-03-01,2023-01-01,2023-03-31,V7.2 + DBMF in Sub-B,90,0.03707455880659016,0.1611360096047787,0.050075797761791836,2.0607099478204742,-0.01698758240803855
macro_stagflation_2023-01-01_2023-03-01,2023-01-01,2023-03-31,SPY,49,0.07484911380052117,0.3587381206710989,0.17476582043792332,2.437812103068012,-0.0663279135092304
macro_stagflation_2023-01-01_2023-03-01,2023-01-01,2023-03-31,DBC,49,-0.017441074700147108,-0.07200361447080306,0.17652518663084468,-0.9509548791118655,-0.08048438218759768
macro_stagflation_2023-01-01_2023-03-01,2023-01-01,2023-03-31,TLT,49,0.10768140081492028,0.5439529330712936,0.19603396713316265,3.1390797357033056,-0.06458108460158585
macro_stagflation_2023-01-01_2023-03-01,2023-01-01,2023-03-31,GLD,49,0.06017997762095462,0.2817092346945307,0.1741759575048437,2.0887521748788767,-0.06703427881618262
macro_stagflation_2023-01-01_2023-03-01,2023-01-01,2023-03-31,DBMF,49,-0.11342262851028306,-0.4002811262139665,0.15759851614980425,-4.093370042134116,-0.1149581262644892
all_detected_stagflation_days_in_v72_sample,2022-04-01,2023-03-31,Sub-B official,181,-0.0396072739258051,-0.039740548812917886,0.08156628282592074,-0.6735616798458501,-0.0979090964817213
all_detected_stagflation_days_in_v72_sample,2022-04-01,2023-03-31,Sub-B + DBMF,181,-0.0073435258843026485,-0.00736865089583405,0.08432638564985676,0.008561867857926406,-0.08148140012759897
all_detected_stagflation_days_in_v72_sample,2022-04-01,2023-03-31,V7.2 official,181,0.02832171116012372,0.0284203389572788,0.059417043000006484,0.5952494275393139,-0.040980243179703835
all_detected_stagflation_days_in_v72_sample,2022-04-01,2023-03-31,V7.2 + DBMF in Sub-B,181,0.04460611538570203,0.04476267415401325,0.05828014037957409,1.061699140967871,-0.03949349797253099
all_detected_stagflation_days_in_v72_sample,2022-04-01,2023-03-31,SPY,98,-0.06178928705354492,-0.06199475819664135,0.23984661936283916,-0.534064731127284,-0.1439508365128216
all_detected_stagflation_days_in_v72_sample,2022-04-01,2023-03-31,DBC,98,-0.008737375226928634,-0.008767248034708852,0.20895062704224301,0.07567203877139259,-0.16402910413289506
all_detected_stagflation_days_in_v72_sample,2022-04-01,2023-03-31,TLT,98,0.1267512243169464,0.12721307982154206,0.19527179932837277,1.7189269157466542,-0.10955342501330356
all_detected_stagflation_days_in_v72_sample,2022-04-01,2023-03-31,GLD,98,0.07760507419514373,0.07788169396502997,0.14834560589583898,1.2586365166980444,-0.06703427881618296
all_detected_stagflation_days_in_v72_sample,2022-04-01,2023-03-31,DBMF,98,-0.07935488182778927,-0.0796162441959114,0.15877524815811986,-1.1147529997818786,-0.15877444307030364
dbmf_available_detected_stagflation_days,2022-04-01,2023-03-31,Sub-B official,181,-0.0396072739258051,-0.039740548812917886,0.08156628282592074,-0.6735616798458501,-0.0979090964817213
dbmf_available_detected_stagflation_days,2022-04-01,2023-03-31,Sub-B + DBMF,181,-0.0073435258843026485,-0.00736865089583405,0.08432638564985676,0.008561867857926406,-0.08148140012759897
dbmf_available_detected_stagflation_days,2022-04-01,2023-03-31,V7.2 official,181,0.02832171116012372,0.0284203389572788,0.059417043000006484,0.5952494275393139,-0.040980243179703835
dbmf_available_detected_stagflation_days,2022-04-01,2023-03-31,V7.2 + DBMF in Sub-B,181,0.04460611538570203,0.04476267415401325,0.05828014037957409,1.061699140967871,-0.03949349797253099
dbmf_available_detected_stagflation_days,2022-04-01,2023-03-31,SPY,98,-0.06178928705354492,-0.06199475819664135,0.23984661936283916,-0.534064731127284,-0.1439508365128216
dbmf_available_detected_stagflation_days,2022-04-01,2023-03-31,DBC,98,-0.008737375226928634,-0.008767248034708852,0.20895062704224301,0.07567203877139259,-0.16402910413289506
dbmf_available_detected_stagflation_days,2022-04-01,2023-03-31,TLT,98,0.1267512243169464,0.12721307982154206,0.19527179932837277,1.7189269157466542,-0.10955342501330356
dbmf_available_detected_stagflation_days,2022-04-01,2023-03-31,GLD,98,0.07760507419514373,0.07788169396502997,0.14834560589583898,1.2586365166980444,-0.06703427881618296
dbmf_available_detected_stagflation_days,2022-04-01,2023-03-31,DBMF,98,-0.07935488182778927,-0.0796162441959114,0.15877524815811986,-1.1147529997818786,-0.15877444307030364
