,cpi,cpi_yoy,unrate,unrate_12m_change,usrec,gdp_yoy,gdp_qoq_ann,high_inflation,growth_stress,stagflation_rule
1949-01-01,24.01,0.013935810810810967,4.3,0.8999999999999999,1,0.03893671831519563,0.004539165605730533,False,True,False
1949-02-01,23.91,0.010139416983523386,4.7,0.9000000000000004,1,0.03893671831519563,0.004539165605730533,False,True,False
1949-03-01,23.91,0.01744680851063829,5.0,1.0,1,0.03893671831519563,0.004539165605730533,False,True,False
1949-04-01,23.92,0.004198152812762368,5.3,1.4,1,0.009432142598815307,-0.05393791323713737,False,True,False
1949-05-01,23.91,-0.004164931278633932,6.1,2.5999999999999996,1,0.009432142598815307,-0.05393791323713737,False,True,False
1949-06-01,23.92,-0.009523809523809379,6.2,2.6,1,0.009432142598815307,-0.05393791323713737,False,True,False
1949-07-01,23.7,-0.02868852459016391,6.7,3.1,1,-0.010349235073725427,-0.01351723533913507,False,True,False
1949-08-01,23.7,-0.02988129349160873,6.8,2.9,1,-0.010349235073725427,-0.01351723533913507,False,True,False
1949-09-01,23.75,-0.02504105090311981,6.6,2.8,1,-0.010349235073725427,-0.01351723533913507,False,True,False
1949-10-01,23.67,-0.026326614561908546,7.9,4.2,1,-0.005828532996763891,0.04200346714278669,False,True,False
1949-11-01,23.7,-0.019039735099337762,6.4,2.6000000000000005,0,-0.005828532996763891,0.04200346714278669,False,True,False
1949-12-01,23.61,-0.018295218295218296,6.6,2.5999999999999996,0,-0.005828532996763891,0.04200346714278669,False,True,False
1950-01-01,23.51,-0.02082465639316955,6.5,2.2,0,-0.015273316105121282,-0.0330934071417226,False,True,False
1950-02-01,23.61,-0.012547051442910906,6.4,1.7000000000000002,0,-0.015273316105121282,-0.0330934071417226,False,True,False
1950-03-01,23.64,-0.01129234629861986,6.3,1.2999999999999998,0,-0.015273316105121282,-0.0330934071417226,False,True,False
1950-04-01,23.65,-0.011287625418060276,5.8,0.5,0,0.03772856329620344,0.166787843681393,False,False,False
1950-05-01,23.77,-0.0058552906733584376,5.5,-0.5999999999999996,0,0.03772856329620344,0.166787843681393,False,False,False
1950-06-01,23.88,-0.0016722408026756952,5.4,-0.7999999999999998,0,0.03772856329620344,0.166787843681393,False,False,False
1950-07-01,24.07,0.01561181434599157,5.0,-1.7000000000000002,0,0.07303357820771827,0.1277365823141985,False,False,False
1950-08-01,24.2,0.021097046413502074,4.5,-2.3,0,0.07303357820771827,0.1277365823141985,False,False,False
1950-09-01,24.34,0.024842105263158,4.4,-2.1999999999999993,0,0.07303357820771827,0.1277365823141985,False,False,False
1950-10-01,24.5,0.0350654837346851,4.2,-3.7,0,0.1031016190305496,0.16379906034473457,False,False,False
1950-11-01,24.6,0.03797468354430378,4.2,-2.2,0,0.1031016190305496,0.16379906034473457,False,False,False
1950-12-01,24.98,0.0580262600592969,4.3,-2.3,0,0.1031016190305496,0.16379906034473457,True,False,False
1951-01-01,25.38,0.07954062101233506,3.7,-2.8,0,0.1337239384907627,0.0788267358918111,True,False,False
1951-02-01,25.83,0.09402795425667088,3.4,-3.0000000000000004,0,0.1337239384907627,0.0788267358918111,True,False,False
1951-03-01,25.88,0.09475465313028764,3.4,-2.9,0,0.1337239384907627,0.0788267358918111,True,False,False
1951-04-01,25.92,0.09598308668076116,3.1,-2.6999999999999997,0,0.10564876919352262,0.05543471712176773,True,False,False
1951-05-01,25.99,0.09339503575936048,3.0,-2.5,0,0.10564876919352262,0.05543471712176773,True,False,False
1951-06-01,25.93,0.08584589614740379,3.2,-2.2,0,0.10564876919352262,0.05543471712176773,True,False,False
1951-07-01,25.91,0.07644370585791438,3.1,-1.9,0,0.09149921288242213,0.07110643593785593,True,False,False
1951-08-01,25.86,0.06859504132231398,3.1,-1.4,0,0.09149921288242213,0.07110643593785593,True,False,False
1951-09-01,26.03,0.06943303204601481,3.3,-1.1000000000000005,0,0.09149921288242213,0.07110643593785593,True,False,False
1951-10-01,26.16,0.06775510204081625,3.5,-0.7000000000000002,0,0.07252998354921925,0.08498082585837108,True,False,False
1951-11-01,26.32,0.06991869918699178,3.5,-0.7000000000000002,0,0.07252998354921925,0.08498082585837108,True,False,False
1951-12-01,26.47,0.05964771817453962,3.1,-1.1999999999999997,0,0.07252998354921925,0.08498082585837108,True,False,False
1952-01-01,26.45,0.042159180457052914,3.2,-0.5,0,0.054681632720046114,0.008786969048027782,True,False,False
1952-02-01,26.41,0.02245451025938827,3.1,-0.2999999999999998,0,0.054681632720046114,0.008786969048027782,False,False,False
1952-03-01,26.39,0.019706336939721902,2.9,-0.5,0,0.054681632720046114,0.008786969048027782,False,False,False
1952-04-01,26.46,0.02083333333333326,2.9,-0.20000000000000018,0,0.05165331710079579,0.04336491404030518,False,False,False
1952-05-01,26.47,0.018468641785302164,3.0,0.0,0,0.05165331710079579,0.04336491404030518,False,False,False
1952-06-01,26.53,0.02313922097956045,3.0,-0.20000000000000018,0,0.05165331710079579,0.04336491404030518,False,False,False
1952-07-01,26.68,0.029718255499807,3.2,0.10000000000000009,0,0.035962738991806464,0.008599586080061172,False,False,False
1952-08-01,26.69,0.03209590100541382,3.4,0.2999999999999998,0,0.035962738991806464,0.008599586080061172,False,False,False
1952-09-01,26.63,0.023050326546292688,3.1,-0.19999999999999973,0,0.035962738991806464,0.008599586080061172,False,False,False
1952-10-01,26.69,0.020259938837920544,3.0,-0.5,0,0.022373637292217197,0.029162828309641675,False,False,False
1952-11-01,26.69,0.014057750759878473,2.8,-0.7000000000000002,0,0.022373637292217197,0.029162828309641675,False,False,False
1952-12-01,26.71,0.009066868152625585,2.7,-0.3999999999999999,0,0.022373637292217197,0.029162828309641675,False,False,False
1953-01-01,26.64,0.007183364839319584,2.9,-0.30000000000000027,0,0.05364084180388229,0.1379712258473429,False,False,False
1953-02-01,26.59,0.006815600151457879,2.6,-0.5,0,0.05364084180388229,0.1379712258473429,False,False,False
1953-03-01,26.63,0.009094353921940135,2.6,-0.2999999999999998,0,0.05364084180388229,0.1379712258473429,False,False,False
1953-04-01,26.69,0.008692365835222926,2.7,-0.19999999999999973,0,0.06189877102033248,0.07646103572516649,False,False,False
1953-05-01,26.7,0.0086890819795995,2.5,-0.5,0,0.06189877102033248,0.07646103572516649,False,False,False
1953-06-01,26.77,0.009046362608367886,2.5,-0.5,0,0.06189877102033248,0.07646103572516649,False,False,False
1953-07-01,26.79,0.004122938530734643,2.6,-0.6000000000000001,0,0.06781988440997866,0.031284114616547676,False,False,False
1953-08-01,26.85,0.005994754589734086,2.7,-0.6999999999999997,1,0.06781988440997866,0.031284114616547676,False,True,False
1953-09-01,26.89,0.009763424708974844,2.9,-0.20000000000000018,1,0.06781988440997866,0.031284114616547676,False,True,False
1953-10-01,26.95,0.009741476208317668,3.1,0.10000000000000009,1,0.05420994313817573,-0.022311495314691787,False,True,False
1953-11-01,26.85,0.005994754589734086,3.5,0.7000000000000002,1,0.05420994313817573,-0.022311495314691787,False,True,False
1953-12-01,26.87,0.005990265818045737,4.5,1.7999999999999998,1,0.05420994313817573,-0.022311495314691787,False,True,False
1954-01-01,26.94,0.011261261261261257,4.9,2.0000000000000004,1,0.005240615047921171,-0.059187763553489425,False,True,False
1954-02-01,26.99,0.015043249341857745,5.2,2.6,1,0.005240615047921171,-0.059187763553489425,False,True,False
1954-03-01,26.93,0.011265490048817162,5.7,3.1,1,0.005240615047921171,-0.059187763553489425,False,True,False
1954-04-01,26.86,0.006369426751592355,5.9,3.2,1,-0.017819250203068182,-0.018966410517683774,False,True,False
1954-05-01,26.93,0.008614232209737782,5.9,3.4000000000000004,1,-0.017819250203068182,-0.018966410517683774,False,True,False
1954-06-01,26.94,0.00635039223010847,5.6,3.0999999999999996,0,-0.017819250203068182,-0.018966410517683774,False,True,False
1954-07-01,26.86,0.0026129152668905586,5.8,3.1999999999999997,0,-0.024287768660382403,0.004383693967058511,False,True,False
1954-08-01,26.85,0.0,6.0,3.3,0,-0.024287768660382403,0.004383693967058511,False,True,False
1954-09-01,26.81,-0.002975083674228385,6.1,3.1999999999999997,0,-0.024287768660382403,0.004383693967058511,False,True,False
1954-10-01,26.72,-0.008534322820037077,5.7,2.6,0,-0.007683311027168682,0.045959078488205796,False,True,False
1954-11-01,26.78,-0.0026070763500931626,5.3,1.7999999999999998,0,-0.007683311027168682,0.045959078488205796,False,True,False
1954-12-01,26.77,-0.0037216226274656705,5.0,0.5,0,-0.007683311027168682,0.045959078488205796,False,True,False
1955-01-01,26.77,-0.006310319227913919,4.9,0.0,0,0.02728619424977574,0.08060651615937364,False,False,False
1955-02-01,26.82,-0.006298629121896937,4.7,-0.5,0,0.02728619424977574,0.08060651615937364,False,False,False
1955-03-01,26.79,-0.00519866320089124,4.6,-1.1000000000000005,0,0.02728619424977574,0.08060651615937364,False,False,False
1955-04-01,26.79,-0.002606105733432673,4.7,-1.2000000000000002,0,0.061701987071522746,0.1192538360095603,False,False,False
1955-05-01,26.77,-0.005941329372447068,4.3,-1.6000000000000005,0,0.061701987071522746,0.1192538360095603,False,False,False
1955-06-01,26.71,-0.008537490720118779,4.2,-1.3999999999999995,0,0.061701987071522746,0.1192538360095603,False,False,False
1955-07-01,26.76,-0.0037230081906179935,4.0,-1.7999999999999998,0,0.07780241231188367,0.06670845596155806,False,False,False
1955-08-01,26.72,-0.00484171322160154,4.2,-1.7999999999999998,0,0.07780241231188367,0.06670845596155806,False,False,False
