pair,pair_cn,trades,win_trades,trade_win_rate,avg_segment_return,median_segment_return,avg_holding_days,median_holding_days,active_days,positive_days,daily_win_rate,compounded_return_when_active
SZ50/HS300,上证50/沪深300,2,2,1.0,0.0042830124903374,0.0042830124903374,1.5,1.5,3,3,1.0,0.0085769365278989
HS300/ZZ500,沪深300/中证500,7,6,0.8571428571428571,0.0181227821809139,0.0158857974588488,2.2857142857142856,2.0,16,13,0.8125,0.1327557448068919
SZ50/CYB,上证50/创业板,25,18,0.72,0.019509738029067,0.0112541836902564,9.68,8.0,242,130,0.5371900826446281,0.5815722789728135
ZZ500/ZZ1000,中证500/中证1000,6,4,0.6666666666666666,0.000610276838686,0.0009115594858015,1.1666666666666667,1.0,7,4,0.5714285714285714,0.0036190400681901
HS300/ZZ1000,沪深300/中证1000,8,5,0.625,0.0063457796689596,0.0037435018819963,3.75,3.5,30,18,0.6,0.0505307263872976
SZ50/ZZ1000,上证50/中证1000,26,14,0.5384615384615384,0.015030799376808,0.0012567217831411,7.538461538461538,5.5,196,100,0.5102040816326531,0.38922711468705
ZZ500/CYB,中证500/创业板,15,7,0.4666666666666667,-0.0016385011604905,-0.0016595070120498,3.8666666666666663,2.0,58,23,0.396551724137931,-0.0262418892112763
SZ50/ZZ500,上证50/中证500,13,6,0.4615384615384615,-0.0069908752758603,-0.002388090716299,4.0,3.0,52,22,0.4230769230769231,-0.0913344863126404
HS300/CYB,沪深300/创业板,8,3,0.375,-0.0095712255701376,-0.0057609140971019,2.0,1.5,16,4,0.25,-0.0751420464416553
ZZ1000/CYB,中证1000/创业板,14,4,0.2857142857142857,-0.0057619025474346,-0.009725830002132,5.857142857142857,5.5,82,36,0.4390243902439024,-0.0809897049146687
