pair,pair_cn,direction,start,end,days,segment_return,win
SZ50/ZZ1000,上证50/中证1000,1,2023-05-08,2023-05-22,11,-0.0023070597772765,False
ZZ500/CYB,中证500/创业板,-1,2023-05-24,2023-05-25,2,0.0083713728726504,True
HS300/CYB,沪深300/创业板,-1,2023-05-26,2023-05-29,2,-0.02078096565713,False
SZ50/CYB,上证50/创业板,-1,2023-05-30,2023-06-01,3,0.026849150211992,True
SZ50/ZZ1000,上证50/中证1000,-1,2023-06-02,2023-06-09,6,-0.0448637989219145,False
ZZ1000/CYB,中证1000/创业板,1,2023-06-12,2023-06-19,6,-0.0398107381001264,False
HS300/CYB,沪深300/创业板,1,2023-06-20,2023-06-21,2,0.007516653181657,True
HS300/ZZ500,沪深300/中证500,1,2023-06-26,2023-06-26,1,0.0033928136285301,True
ZZ500/CYB,中证500/创业板,-1,2023-06-27,2023-07-04,6,-0.012204179796276,False
SZ50/CYB,上证50/创业板,-1,2023-07-05,2023-07-13,7,-0.0031574357486027,False
ZZ1000/CYB,中证1000/创业板,-1,2023-07-17,2023-07-19,3,-0.0206447461375877,False
SZ50/ZZ1000,上证50/中证1000,1,2023-07-20,2023-07-20,1,0.0113058041179234,True
ZZ500/ZZ1000,中证500/中证1000,1,2023-07-21,2023-07-21,1,0.0002032566212748,True
SZ50/ZZ1000,上证50/中证1000,1,2023-07-24,2023-08-18,20,0.0648834099843977,True
ZZ1000/CYB,中证1000/创业板,-1,2023-08-22,2023-08-22,1,-0.0102043317338582,False
SZ50/ZZ1000,上证50/中证1000,1,2023-08-23,2023-08-23,1,0.0094374866251616,True
HS300/ZZ500,沪深300/中证500,-1,2023-08-24,2023-08-24,1,-0.0076363255088107,False
SZ50/HS300,上证50/沪深300,1,2023-08-25,2023-08-25,1,0.0070093009505611,True
SZ50/ZZ1000,上证50/中证1000,1,2023-08-28,2023-08-30,3,-0.0434436985609669,False
SZ50/CYB,上证50/创业板,1,2023-08-31,2023-09-11,8,0.0434647407825459,True
ZZ1000/CYB,中证1000/创业板,1,2023-09-12,2023-10-10,15,0.0192180342435486,True
SZ50/ZZ1000,上证50/中证1000,-1,2023-10-12,2023-11-01,15,0.0150518804636701,True
SZ50/CYB,上证50/创业板,-1,2023-11-02,2023-11-21,14,0.0195247525373047,True
SZ50/ZZ1000,上证50/中证1000,-1,2023-11-22,2023-11-29,6,0.0106750353061881,True
ZZ1000/CYB,中证1000/创业板,1,2023-11-30,2023-12-01,2,-0.0038880702346593,False
ZZ500/CYB,中证500/创业板,1,2023-12-04,2023-12-11,6,0.0059186085383513,True
SZ50/ZZ500,上证50/中证500,-1,2023-12-12,2023-12-20,7,-0.0353365390481136,False
ZZ500/ZZ1000,中证500/中证1000,1,2023-12-21,2023-12-22,2,0.0057949796077754,True
SZ50/ZZ1000,上证50/中证1000,1,2023-12-25,2024-02-05,30,0.3618910147212011,True
SZ50/ZZ1000,上证50/中证1000,1,2024-02-19,2024-02-22,4,0.0008148662798148,True
ZZ1000/CYB,中证1000/创业板,-1,2024-02-26,2024-02-27,2,-0.0092473282704058,False
