pair,pair_cn,trades,win_trades,trade_win_rate,avg_segment_return,median_segment_return,avg_holding_days,median_holding_days,active_days,positive_days,daily_win_rate,compounded_return_when_active
HS300/ZZ500,沪深300/中证500,28,14,0.5,0.0096974792801404,-0.0006390364449614,25.928571428571427,18.0,726,377,0.5192837465564738,0.2622661251457137
ZZ500/ZZ1000,中证500/中证1000,33,16,0.4848484848484848,0.005162272263927,-0.0006682764401578,22.0,20.0,726,378,0.5206611570247934,0.1644580426993542
SZ50/ZZ500,上证50/中证500,38,18,0.4736842105263157,0.0084885145072163,-0.0026091078882174,19.105263157894736,14.0,726,368,0.5068870523415978,0.3014781941043472
ZZ1000/CYB,中证1000/创业板,35,16,0.4571428571428571,0.0070544912785431,-0.0075034920853467,20.742857142857144,16.0,726,357,0.4917355371900826,0.1949667530152334
HS300/ZZ1000,沪深300/中证1000,36,15,0.4166666666666667,0.0148462735280798,-0.0050887034354984,20.166666666666668,16.5,726,366,0.5041322314049587,0.5850497268855535
SZ50/ZZ1000,上证50/中证1000,32,13,0.40625,0.0161300944945454,-0.0139098180651117,22.6875,15.5,726,371,0.5110192837465565,0.5469105259254265
SZ50/HS300,上证50/沪深300,30,12,0.4,0.0035541859304436,-0.0032481901349669,24.2,18.5,726,364,0.5013774104683195,0.1028659377360552
SZ50/CYB,上证50/创业板,36,13,0.3611111111111111,0.0095120975017116,-0.0114918375773159,20.166666666666668,17.0,726,355,0.4889807162534435,0.2829000991687904
HS300/CYB,沪深300/创业板,34,12,0.3529411764705882,0.0097687576038498,-0.0170514978100277,21.352941176470587,16.0,726,363,0.5,0.2285829364709297
ZZ500/CYB,中证500/创业板,38,12,0.3157894736842105,-0.001263948389493,-0.0264044622516632,19.105263157894736,17.5,726,337,0.4641873278236915,-0.1224221941539388
