pair,pair_cn,direction,start,end,days,segment_return,win
HS300/ZZ1000,沪深300/中证1000,-1,2025-06-06,2025-07-24,35,0.0197014959464711,True
HS300/ZZ1000,沪深300/中证1000,1,2025-07-25,2025-07-25,1,-0.0118411809516695,False
HS300/ZZ1000,沪深300/中证1000,-1,2025-07-28,2025-08-28,24,0.0355865534022392,True
HS300/ZZ1000,沪深300/中证1000,1,2025-08-29,2025-09-25,20,0.0252693509802139,True
HS300/ZZ1000,沪深300/中证1000,-1,2025-09-26,2025-09-30,3,-0.0045625244073129,False
HS300/ZZ1000,沪深300/中证1000,1,2025-10-09,2025-11-07,22,0.0144930323243481,True
HS300/ZZ1000,沪深300/中证1000,-1,2025-11-10,2025-12-11,24,-0.0080711254227781,False
HS300/ZZ1000,沪深300/中证1000,1,2025-12-12,2025-12-12,1,-0.0054819023341305,False
HS300/ZZ1000,沪深300/中证1000,-1,2025-12-15,2025-12-19,5,-0.0070355743425477,False
HS300/ZZ1000,沪深300/中证1000,1,2025-12-22,2025-12-22,1,-0.0046955045368664,False
HS300/ZZ1000,沪深300/中证1000,-1,2025-12-23,2026-02-05,31,0.1086838039163515,True
HS300/ZZ1000,沪深300/中证1000,1,2026-02-06,2026-04-16,43,-0.0124720719961908,False
HS300/ZZ1000,沪深300/中证1000,-1,2026-04-17,2026-05-07,12,0.0302014078514227,True
HS300/ZZ500,沪深300/中证500,1,2023-05-08,2023-05-25,14,-0.0109925209338518,False
HS300/ZZ500,沪深300/中证500,-1,2023-05-26,2023-06-16,16,-0.0075093888515787,False
HS300/ZZ500,沪深300/中证500,1,2023-06-19,2023-07-12,16,-0.0036212827322888,False
HS300/ZZ500,沪深300/中证500,-1,2023-07-13,2023-07-25,9,-0.0177275609122196,False
HS300/ZZ500,沪深300/中证500,1,2023-07-26,2023-08-21,19,0.0023432098423659,True
HS300/ZZ500,沪深300/中证500,-1,2023-08-22,2023-08-28,5,-0.0293975403388204,False
HS300/ZZ500,沪深300/中证500,1,2023-08-29,2023-08-30,2,-0.0233409982830578,False
HS300/ZZ500,沪深300/中证500,-1,2023-08-31,2023-12-22,76,0.0625863418892347,True
HS300/ZZ500,沪深300/中证500,1,2023-12-25,2024-02-23,38,0.1007092085465919,True
HS300/ZZ500,沪深300/中证500,-1,2024-02-26,2024-05-20,56,0.009553173409442,True
HS300/ZZ500,沪深300/中证500,1,2024-05-21,2024-06-18,20,0.0175258052173403,True
HS300/ZZ500,沪深300/中证500,-1,2024-06-19,2024-06-24,4,-0.042431034179876,False
HS300/ZZ500,沪深300/中证500,1,2024-06-25,2024-07-31,27,0.0097173153619427,True
HS300/ZZ500,沪深300/中证500,-1,2024-08-01,2024-08-23,17,-0.0612396346398143,False
HS300/ZZ500,沪深300/中证500,1,2024-08-26,2024-09-05,9,-0.0549886901124214,False
HS300/ZZ500,沪深300/中证500,-1,2024-09-06,2024-11-20,47,0.0984062825095291,True
HS300/ZZ500,沪深300/中证500,1,2024-11-21,2025-01-23,45,0.0285024009577523,True
HS300/ZZ500,沪深300/中证500,-1,2025-01-24,2025-03-21,35,0.056340790621729,True
HS300/ZZ500,沪深300/中证500,1,2025-03-24,2025-05-06,28,0.0091619860542095,True
HS300/ZZ500,沪深300/中证500,-1,2025-05-07,2025-05-15,7,-0.0469698137265045,False
HS300/ZZ500,沪深300/中证500,1,2025-05-16,2025-06-05,14,-0.0288801392516298,False
HS300/ZZ500,沪深300/中证500,-1,2025-06-06,2025-09-02,63,0.0601924695093958,True
HS300/ZZ500,沪深300/中证500,1,2025-09-03,2025-09-18,12,-0.051053423332035,False
HS300/ZZ500,沪深300/中证500,-1,2025-09-19,2025-10-14,12,-0.0171248883888347,False
HS300/ZZ500,沪深300/中证500,1,2025-10-15,2025-12-12,43,0.0129138074618011,True
HS300/ZZ500,沪深300/中证500,-1,2025-12-15,2026-02-06,38,0.1806125394286011,True
HS300/ZZ500,沪深300/中证500,1,2026-02-09,2026-04-20,44,-0.0068532551877042,False
HS300/ZZ500,沪深300/中证500,-1,2026-04-21,2026-05-07,10,0.0250942599046333,True
SZ50/CYB,上证50/创业板,1,2023-05-08,2023-05-22,11,-0.0188474281178437,False
SZ50/CYB,上证50/创业板,-1,2023-05-23,2023-06-09,14,-0.0291531581009674,False
SZ50/CYB,上证50/创业板,1,2023-06-12,2023-06-21,8,-0.0610662054088495,False
SZ50/CYB,上证50/创业板,-1,2023-06-26,2023-07-19,18,-0.0243361902256752,False
SZ50/CYB,上证50/创业板,1,2023-07-20,2023-08-21,23,0.0350530358955953,True
SZ50/CYB,上证50/创业板,-1,2023-08-22,2023-08-22,1,-0.0122044615040579,False
SZ50/CYB,上证50/创业板,1,2023-08-23,2023-10-11,30,0.0516625123891272,True
SZ50/CYB,上证50/创业板,-1,2023-10-12,2023-11-29,35,0.0132309823555576,True
SZ50/CYB,上证50/创业板,1,2023-11-30,2023-12-11,8,-0.0392071899370545,False
SZ50/CYB,上证50/创业板,-1,2023-12-12,2023-12-21,8,-0.045362075194393,False
SZ50/CYB,上证50/创业板,1,2023-12-22,2024-02-23,39,0.1626124270194302,True
SZ50/CYB,上证50/创业板,-1,2024-02-26,2024-04-08,29,0.0342866459679018,True
SZ50/CYB,上证50/创业板,1,2024-04-09,2024-05-06,17,-0.0330268105272917,False
SZ50/CYB,上证50/创业板,-1,2024-05-07,2024-05-23,13,-0.02853118582126,False
SZ50/CYB,上证50/创业板,1,2024-05-24,2024-06-14,15,0.0017227695833386,True
SZ50/CYB,上证50/创业板,-1,2024-06-17,2024-06-27,9,-0.0539263624963338,False
SZ50/CYB,上证50/创业板,1,2024-06-28,2024-07-19,16,0.0197710047329064,True
SZ50/CYB,上证50/创业板,-1,2024-07-22,2024-08-16,20,-0.0442694768574311,False
SZ50/CYB,上证50/创业板,1,2024-08-19,2024-09-05,14,-0.0253084803042747,False
SZ50/CYB,上证50/创业板,-1,2024-09-06,2024-10-31,33,0.2164566264674656,True
SZ50/CYB,上证50/创业板,1,2024-11-01,2024-11-06,4,-0.0087305475154679,False
SZ50/CYB,上证50/创业板,-1,2024-11-07,2024-11-18,8,-0.009374741695119,False
SZ50/CYB,上证50/创业板,1,2024-11-19,2025-01-22,46,-0.0166672838779895,False
SZ50/CYB,上证50/创业板,-1,2025-01-23,2025-03-11,28,-0.0107792136505738,False
SZ50/CYB,上证50/创业板,1,2025-03-12,2025-04-30,35,0.1502128747698772,True
SZ50/CYB,上证50/创业板,-1,2025-05-06,2025-08-11,69,0.2066903261854116,True
SZ50/CYB,上证50/创业板,1,2025-08-12,2025-08-13,2,-0.0530262885439642,False
SZ50/CYB,上证50/创业板,-1,2025-08-14,2025-10-10,36,0.156216381193101,True
SZ50/CYB,上证50/创业板,1,2025-10-13,2025-12-10,43,-0.0425519175772026,False
SZ50/CYB,上证50/创业板,-1,2025-12-11,2026-01-06,17,-0.0252427319855923,False
SZ50/CYB,上证50/创业板,1,2026-01-07,2026-01-08,2,-0.0104799759102274,False
SZ50/CYB,上证50/创业板,-1,2026-01-09,2026-02-05,20,0.0055135426859693,True
SZ50/CYB,上证50/创业板,1,2026-02-06,2026-03-11,18,-0.0606544759145648,False
SZ50/CYB,上证50/创业板,-1,2026-03-12,2026-04-07,18,-0.0061423084367696,False
SZ50/CYB,上证50/创业板,1,2026-04-08,2026-04-14,5,-0.085057165425173,False
SZ50/CYB,上证50/创业板,-1,2026-04-15,2026-05-07,14,0.0329520558440161,True
SZ50/HS300,上证50/沪深300,1,2023-05-08,2023-05-29,16,-0.0083688953624895,False
SZ50/HS300,上证50/沪深300,-1,2023-05-30,2023-07-14,32,0.0221714184359225,True
SZ50/HS300,上证50/沪深300,1,2023-07-17,2023-10-11,57,0.0562928568756053,True
SZ50/HS300,上证50/沪深300,-1,2023-10-12,2023-12-21,51,-0.0028001070162071,False
SZ50/HS300,上证50/沪深300,1,2023-12-22,2024-02-26,40,0.0275349439177923,True
SZ50/HS300,上证50/沪深300,-1,2024-02-27,2024-04-08,28,0.0202545922484964,True
SZ50/HS300,上证50/沪深300,1,2024-04-09,2024-05-13,22,-0.0007676199631631,False
SZ50/HS300,上证50/沪深300,-1,2024-05-14,2024-05-20,5,-0.0080431023585194,False
SZ50/HS300,上证50/沪深300,1,2024-05-21,2024-06-13,17,-0.0077468692816369,False
SZ50/HS300,上证50/沪深300,-1,2024-06-14,2024-06-27,10,-0.0191400265910889,False
SZ50/HS300,上证50/沪深300,1,2024-06-28,2024-07-19,16,0.00252474428666,True
