mode,ma_window,slope_window,r2_window,r2_threshold,start,end,rows,cagr,max_dd,sharpe,calmar,avg_weight,avg_turnover
formal,60,20,10,0.0,2016-05-04,2026-04-30,2428,0.2830991315703373,-0.2895232060765155,1.2323450677380423,0.9778115385179852,0.8307494789113075,0.2755902086235273
formal,60,20,10,0.1,2016-05-04,2026-04-30,2428,0.16543179660897622,-0.2875226545414842,0.9019526271901663,0.5753696065195012,0.7427899743177262,0.31987758323462284
formal,60,20,10,0.2,2016-05-04,2026-04-30,2428,0.13381031591029147,-0.27980220888823115,0.7737575705081272,0.4782318068251666,0.6796033776464508,0.2998255774841347
formal,60,20,10,0.3,2016-05-04,2026-04-30,2428,0.12333388074499374,-0.2631952110335398,0.7543842598748273,0.4686022981218944,0.6151468761696238,0.2777687035209647
formal,60,20,10,0.4,2016-05-04,2026-04-30,2428,0.09940053163342166,-0.2811620061671011,0.6475354801089565,0.3535347218085563,0.5504726358442646,0.26208348355956057
formal,60,20,10,0.5,2016-05-04,2026-04-30,2428,0.10826619837383467,-0.24616812256535647,0.7272843663512794,0.4398059230641876,0.48763201612932755,0.23685421842992732
formal,60,20,15,0.0,2016-05-04,2026-04-30,2428,0.2830991315703373,-0.2895232060765155,1.2323450677380423,0.9778115385179852,0.8307494789113075,0.2755902086235273
formal,60,20,15,0.1,2016-05-04,2026-04-30,2428,0.24021885474887794,-0.24824659903656598,1.2038120649438835,0.9676622184600178,0.7802290875331027,0.2853747704236524
formal,60,20,15,0.2,2016-05-04,2026-04-30,2428,0.219474855775466,-0.3104907949969897,1.1483695367612006,0.7068642913474902,0.7303198743438128,0.26749842144704805
formal,60,20,15,0.3,2016-05-04,2026-04-30,2428,0.22462181881597187,-0.28424972225838063,1.1945738256844372,0.7902270476514046,0.6804886318265149,0.24780664958601956
formal,60,20,15,0.4,2016-05-04,2026-04-30,2428,0.19475023193410435,-0.24328400472959189,1.0906079013167453,0.8005056976539316,0.6407528129059631,0.23509446893954858
formal,60,20,15,0.5,2016-05-04,2026-04-30,2428,0.15578960233523054,-0.2186208658351596,0.9662956399667537,0.7126017077102608,0.5794530781378037,0.2224979075061974
formal,60,20,20,0.0,2016-05-04,2026-04-30,2428,0.2830991315703373,-0.2895232060765155,1.2323450677380423,0.9778115385179852,0.8307494789113075,0.2755902086235273
formal,60,20,20,0.1,2016-05-04,2026-04-30,2428,0.29732567266997023,-0.21722056502719433,1.4579016040827353,1.368773129895631,0.7350178606905516,0.2685347737206321
formal,60,20,20,0.2,2016-05-04,2026-04-30,2428,0.30252248067925946,-0.19160178344553136,1.5251547846816644,1.578912655399477,0.6825946478720907,0.24509656385207917
formal,60,20,20,0.3,2016-05-04,2026-04-30,2428,0.28211931118955835,-0.1756110113800694,1.4736855313076633,1.6065012607835643,0.6507936042642621,0.23029308937937604
formal,60,20,20,0.4,2016-05-04,2026-04-30,2428,0.23079766079761743,-0.1903981982334233,1.3161140807122447,1.2121840591929627,0.6227724983689145,0.2189618275112054
formal,60,20,20,0.5,2016-05-04,2026-04-30,2428,0.18351978841900873,-0.1831921836056104,1.1349317079537766,1.0017883121809588,0.5658752381203812,0.19773274682039427
formal,60,20,30,0.0,2016-05-04,2026-04-30,2428,0.2830991315703373,-0.2895232060765155,1.2323450677380423,0.9778115385179852,0.8307494789113075,0.2755902086235273
formal,60,20,30,0.1,2016-05-04,2026-04-30,2428,0.20098462712641751,-0.3266443020850449,1.0988628627948909,0.6153011880001791,0.669600129948417,0.2641993624754394
formal,60,20,30,0.2,2016-05-04,2026-04-30,2428,0.1903316091165821,-0.2758187266839889,1.1135952197628183,0.6900605024351696,0.600278183872459,0.22809856434508835
formal,60,20,30,0.3,2016-05-04,2026-04-30,2428,0.16458003889402617,-0.2778544379909391,1.0303650698195772,0.5923246721702288,0.5515617893472505,0.2083841719452478
formal,60,20,30,0.4,2016-05-04,2026-04-30,2428,0.1732160282203279,-0.21530951715566715,1.112219095634174,0.8044977784010078,0.49431273657705227,0.1860905496817899
formal,60,20,30,0.5,2016-05-04,2026-04-30,2428,0.1780499272490943,-0.19908053419623029,1.2019700731150869,0.8943613094467263,0.44038514709627613,0.1645950402076906
