family,strategy,mix_rule,segment,start,end,avg_turnover,avg_gross_exposure,cagr,vol,sharpe,max_dd,calmar,total_return,threshold,signal_count,pair_changes,direction_changes
Sub-A,baseline_60_20_20,legacy_no_buffer_1p00x,last_3y,2023-04-25,2026-04-24,0.14600550964187328,0.714901610913169,0.3446006273394837,0.19828402923149346,1.6028190908292592,-0.12784006987892316,2.6955603799798737,1.4294942563046371,1.0,626,0,0
Sub-A,baseline_60_20_20,legacy_no_buffer_1p00x,last_5y,2021-04-23,2026-04-24,0.13943894389438943,0.796013464168866,0.28510666222095193,0.19257449635195806,1.4074195745019749,-0.15869216109890472,1.7966020517123056,2.5068692153706538,1.0,626,0,0
Sub-A,baseline_60_20_20,legacy_no_buffer_1p00x,last_10y,2016-04-25,2026-04-24,0.15596707818930042,0.795423766466132,0.23374404945374638,0.1910021732327483,1.1992679768312373,-0.23241213351948864,1.0057308364846884,7.163493835853547,1.0,626,0,0
Sub-A,baseline_60_20_20,legacy_no_buffer_1p00x,full_common,2010-09-29,2026-04-24,0.15763025654588733,0.752763478900345,0.28469493205547725,0.1992518465638326,1.3628610050065861,-0.2324121335194883,1.224957267696202,48.40096350806596,1.0,626,0,0
Sub-A,baseline_60_20_20,candidate_1p02x,last_3y,2023-04-25,2026-04-24,0.1322314049586777,0.714619587582482,0.3636600633872251,0.19837643904348132,1.6737309812426895,-0.12225520266037893,2.9745978532910478,1.5342051049090735,1.02,613,0,0
Sub-A,baseline_60_20_20,candidate_1p02x,last_5y,2021-04-23,2026-04-24,0.1311881188118812,0.7944389106938116,0.29636340083762547,0.19255012590161238,1.4532280035960528,-0.1586921610989046,1.8675364856422714,2.663239209855629,1.02,613,0,0
Sub-A,baseline_60_20_20,candidate_1p02x,last_10y,2016-04-25,2026-04-24,0.14938271604938272,0.7934501856229882,0.2327801869309818,0.19131277499135146,1.1935474618137059,-0.24364397708174945,0.9554112099100953,7.099966290077353,1.02,613,0,0
Sub-A,baseline_60_20_20,candidate_1p02x,full_common,2010-09-29,2026-04-24,0.15022480825178525,0.7500288140467973,0.2864015113199154,0.1995788514590009,1.3676517690155758,-0.24364397708174879,1.1754918580393243,49.43250210537258,1.02,613,0,0
Sub-A,baseline_60_20_20,candidate_1p05x,last_3y,2023-04-25,2026-04-24,0.12672176308539945,0.7069653204142784,0.36244242655651826,0.19820320757734397,1.670485841419352,-0.13154577378991594,2.7552570950348723,1.527427287558516,1.05,600,0,0
Sub-A,baseline_60_20_20,candidate_1p05x,last_5y,2021-04-23,2026-04-24,0.1254125412541254,0.789535822761688,0.29128601447164226,0.19235411820725376,1.4339536304882734,-0.15869216109890394,1.8355412923647816,2.592032098400638,1.05,600,0,0
Sub-A,baseline_60_20_20,candidate_1p05x,last_10y,2016-04-25,2026-04-24,0.14320987654320988,0.7887305632686112,0.23818841530755974,0.1915287431634153,1.2153545419452247,-0.24364397708174879,0.9776084685550894,7.462258919626862,1.05,600,0,0
Sub-A,baseline_60_20_20,candidate_1p05x,full_common,2010-09-29,2026-04-24,0.14387728114255488,0.7485589248986201,0.29371359872381997,0.2001842373110558,1.3925725301133283,-0.24364397708174879,1.205503219253688,54.08473949363053,1.05,600,0,0
Sub-A,baseline_60_20_20,candidate_1p10x,last_3y,2023-04-25,2026-04-24,0.12672176308539945,0.7224240459807438,0.3593102543097568,0.20085073933812037,1.6395252896482644,-0.13154577378991594,2.7314465828722874,1.5100479880189237,1.1,597,0,0
Sub-A,baseline_60_20_20,candidate_1p10x,last_5y,2021-04-23,2026-04-24,0.1254125412541254,0.7966952769673568,0.293920775175196,0.19410616534526026,1.4333288364376584,-0.15762447699544369,1.8646899312705862,2.6288433389719716,1.1,597,0,0
Sub-A,baseline_60_20_20,candidate_1p10x,last_10y,2016-04-25,2026-04-24,0.1411522633744856,0.7940414156314107,0.23817444874168703,0.19221328518180425,1.211631364917058,-0.25033142986487866,0.9514364571410245,7.461304830863563,1.1,597,0,0
Sub-A,baseline_60_20_20,candidate_1p10x,full_common,2010-09-29,2026-04-24,0.14176143877281142,0.7543695912494256,0.3003339786297843,0.20068778433651274,1.4150500054312876,-0.25033142986487866,1.1997453887108602,58.64041488749447,1.1,597,0,0
Sub-A,baseline_60_20_20,candidate_1p15x,last_3y,2023-04-25,2026-04-24,0.12672176308539945,0.7183373082554656,0.3337800956022803,0.20142462140401896,1.5404795880601698,-0.13154577378991594,2.53736844587148,1.3713510433988998,1.15,599,0,0
Sub-A,baseline_60_20_20,candidate_1p15x,last_5y,2021-04-23,2026-04-24,0.1254125412541254,0.7968884136807439,0.2785521945903242,0.19386240530285204,1.3727816839369071,-0.15762447699544369,1.767188700003592,2.418309991992975,1.15,599,0,0
Sub-A,baseline_60_20_20,candidate_1p15x,last_10y,2016-04-25,2026-04-24,0.1403292181069959,0.7909167351543483,0.23829500177773832,0.19191347877794343,1.2137082066282143,-0.22267757779429465,1.0701346949169295,7.46954328001172,1.15,599,0,0
Sub-A,baseline_60_20_20,candidate_1p15x,full_common,2010-09-29,2026-04-24,0.1407035175879397,0.7544861133465623,0.3013976389754851,0.20101672558518965,1.417149921680225,-0.229383878445779,1.313944297296065,59.404417307025945,1.15,599,0,0
Sub-A,baseline_60_20_20,candidate_1p20x,last_3y,2023-04-25,2026-04-24,0.12672176308539945,0.7162711925529872,0.33019571244712176,0.20113232533184,1.5289271743459316,-0.13154577378991594,2.5101202641025777,1.3522971602259437,1.2,593,0,0
Sub-A,baseline_60_20_20,candidate_1p20x,last_5y,2021-04-23,2026-04-24,0.1254125412541254,0.7944549642818768,0.27274386975584686,0.19306663530213056,1.3538880116434566,-0.15527496260203533,1.7565218834080838,2.3413359509960197,1.2,593,0,0
Sub-A,baseline_60_20_20,candidate_1p20x,last_10y,2016-04-25,2026-04-24,0.13703703703703704,0.7867280140224633,0.24182022009037785,0.1906307936019848,1.2355825554206352,-0.21522918135468605,1.12354755320967,7.713667663613268,1.2,593,0,0
Sub-A,baseline_60_20_20,candidate_1p20x,full_common,2010-09-29,2026-04-24,0.13700079344088864,0.7507993377071024,0.29830576817870935,0.1999720652183783,1.4115453260699926,-0.23770404687106206,1.2549461067464263,57.20859553534724,1.2,593,0,0
Sub-A,mix_50_15__60_20__70_25,legacy_no_buffer_1p00x,last_3y,2023-04-25,2026-04-24,0.15289256198347106,0.7008239526672282,0.27681824693283064,0.20158571034001532,1.3214073016527512,-0.15418815083588,1.7953276268776308,1.0805076517479764,1.0,626,0,0
Sub-A,mix_50_15__60_20__70_25,legacy_no_buffer_1p00x,last_5y,2021-04-23,2026-04-24,0.1485148514851485,0.7947123903765343,0.21869649284713066,0.1947216039717693,1.1196877918847312,-0.17767024613549398,1.2309123086391711,1.689392463696691,1.0,626,0,0
