config_id,equity_lb,real_lb,bond_lb,btc_lb,btc_thr,neighbor_count,self_oos_cagr,self_oos_sharpe,self_worst_dd,nbr_median_cagr,nbr_median_sharpe,nbr_worst_dd,nbr_std_cagr,nbr_std_sharpe,platform_score
eq200_ra60_bd40_btc60_thr05,200.0,60.0,40.0,60.0,0.05,6,0.053676787906716227,1.8567701859887105,-0.11806378269655517,0.059568787651555155,1.2843752691613595,-0.1304189804444559,0.010307945573870091,0.6011868331494882,0.7362762075857545
eq200_ra60_bd40_btc120_thr00,200.0,60.0,40.0,120.0,0.0,6,0.053558060393114504,1.8295953237977338,-0.11806378269655517,0.05945131999792227,1.276533118809375,-0.12844654887084458,0.010585035351368111,0.6004641637600621,0.7312029091531951
eq200_ra60_bd40_btc120_thr05,200.0,60.0,40.0,120.0,0.05,6,0.05194330302204072,1.816030931248615,-0.11806378269655517,0.05872044646503978,1.2736345035677834,-0.13623268500624477,0.009069238898189513,0.6142167102774121,0.7068625830359199
eq200_ra60_bd40_btc60_thr00,200.0,60.0,40.0,60.0,0.0,6,0.04985194699835368,1.8080472074358518,-0.11806378269655517,0.05769694735722164,1.2629141815137197,-0.14099657308824753,0.008608417609841929,0.6173431321889274,0.6863892090925132
eq80_ra140_bd100_btc60_thr05,80.0,140.0,100.0,60.0,0.05,6,0.1173570816556458,0.6928589115094366,-0.16952823685937277,0.1107683073470507,0.6711485585035983,-0.15932111263035864,0.013627678258457478,0.022368310609808366,0.6282210358798973
eq80_ra140_bd100_btc120_thr00,80.0,140.0,100.0,120.0,0.0,6,0.11803823609671915,0.691090419580373,-0.16952823685937277,0.11120107636423637,0.6704637280587035,-0.15932111263035864,0.013426352467785542,0.02302923002883054,0.6276566234255633
eq80_ra140_bd100_btc120_thr05,80.0,140.0,100.0,120.0,0.05,6,0.11533305637291358,0.6801854812052279,-0.1894190100765919,0.11051308161325124,0.665954642543332,-0.16546041364476757,0.014676491155613388,0.029465218437784085,0.6095995938392604
eq80_ra140_bd100_btc60_thr00,80.0,140.0,100.0,60.0,0.0,6,0.11442834693756487,0.6772232730364109,-0.19394026127715372,0.10930257825790726,0.662250403027437,-0.16521728484113354,0.015234161397218325,0.03252729374511307,0.6019216936088472
eq200_ra140_bd100_btc60_thr05,200.0,140.0,100.0,60.0,0.05,6,0.08173805781462555,0.6650738439707856,-0.11792393077997489,0.0798575073470212,0.6583988239261109,-0.14347533183746033,0.016573362846814186,0.056387768487046276,0.5609044719520533
eq200_ra140_bd100_btc120_thr00,200.0,140.0,100.0,120.0,0.0,6,0.0826726853781136,0.663704183080996,-0.11950530317264417,0.0798575073470212,0.6577139934812161,-0.1469084396646166,0.01672532911021757,0.053316423558441746,0.5585569880574546
eq200_ra140_bd100_btc120_thr05,200.0,140.0,100.0,120.0,0.05,6,0.08044585894348517,0.6517238038814361,-0.11950530317264428,0.08109195837905536,0.6643890135258907,-0.15781402889683802,0.01627911731967253,0.052162381000247775,0.5549202116180699
eq200_ra140_bd100_btc60_thr00,200.0,140.0,100.0,60.0,0.0,6,0.07926915575055722,0.647277533018463,-0.11792393077997489,0.08050360678259139,0.6643890135258907,-0.15932111263035864,0.0165701368978609,0.05041126510292657,0.5536300764610061
eq80_ra140_bd40_btc120_thr05,80.0,140.0,40.0,120.0,0.05,6,0.1056931068535889,0.6158939943350673,-0.176022599084368,0.10640068730506272,0.6201819344268019,-0.16546041364476757,0.017410381484119115,0.04510641932048143,0.5451453335542897
eq80_ra60_bd100_btc120_thr05,80.0,60.0,100.0,120.0,0.05,6,0.08879245362527999,0.632707171929397,-0.21549020885403722,0.08942997860300103,0.6437444688239657,-0.15781402889683802,0.01578825699019153,0.05517761523576311,0.5443705098636511
eq80_ra140_bd40_btc60_thr00,80.0,140.0,40.0,60.0,0.0,6,0.10417680957824967,0.610833201624485,-0.176022599084368,0.10564253866739311,0.6176515380715107,-0.16521728484113354,0.01792251917832035,0.04733823255475363,0.5399840182194373
eq80_ra140_bd40_btc60_thr05,80.0,140.0,40.0,60.0,0.05,6,0.10710826775653655,0.6270884025901934,-0.176022599084368,0.10493495821591928,0.6133635979797761,-0.16546041364476757,0.016881784049918608,0.04237020548688798,0.5383173745404236
eq80_ra60_bd100_btc60_thr00,80.0,60.0,100.0,60.0,0.0,6,0.08669953956279801,0.6214257378584995,-0.23262328256940762,0.08838352157176003,0.6437444688239657,-0.16159065641465867,0.016285024327037254,0.05519714491519556,0.5382532475518589
eq80_ra140_bd40_btc120_thr00,80.0,140.0,40.0,120.0,0.0,6,0.10797380579090787,0.6244698745185365,-0.176022599084368,0.10493495821591928,0.6133635979797761,-0.16546041364476757,0.016777213760562012,0.043591701161725685,0.5373401780005534
eq80_ra60_bd100_btc120_thr00,80.0,60.0,100.0,120.0,0.0,6,0.09055163762345009,0.6427361577790055,-0.19357951420926728,0.087745996594039,0.6377216648542012,-0.16159065641465867,0.01599534453155843,0.05833715215950381,0.5287621503200661
