config_id,equity_lb,real_lb,bond_lb,btc_lb,btc_thr,neighbor_count,self_oos_cagr,self_oos_sharpe,self_worst_dd,nbr_median_cagr,nbr_median_sharpe,nbr_worst_dd,nbr_std_cagr,nbr_std_sharpe,platform_score,folds_beating_base_sharpe,folds_beating_base_cagr,folds_better_dd,min_fold_sharpe,median_fold_sharpe,std_fold_sharpe,min_fold_cagr,median_fold_cagr,std_fold_cagr,worst_fold_dd,consistency_score,joint_score
eq200_ra140_bd100_btc60_thr05,200.0,140.0,100.0,60.0,0.05,6,0.08173805781462555,0.6650738439707856,-0.11792393077997489,0.0798575073470212,0.6583988239261109,-0.14347533183746033,0.016573362846814186,0.056387768487046276,0.5609044719520533,2,1,3,0.5493384060565194,0.6195164127733795,0.11759472883989945,0.053492447416542355,0.07999237928127001,0.023807136969622944,-0.11792393077997489,0.5156016993585787,0.5405182242849897
eq200_ra140_bd100_btc120_thr00,200.0,140.0,100.0,120.0,0.0,6,0.0826726853781136,0.663704183080996,-0.11950530317264417,0.0798575073470212,0.6577139934812161,-0.1469084396646166,0.01672532911021757,0.053316423558441746,0.5585569880574546,2,1,3,0.5452294233871504,0.6195164127733795,0.11895086716196406,0.053492447416542355,0.08279626197173418,0.02377527517205056,-0.11950530317264417,0.5171571712427401,0.5399270704908331
eq200_ra140_bd100_btc120_thr05,200.0,140.0,100.0,120.0,0.05,6,0.08044585894348517,0.6517238038814361,-0.11950530317264428,0.08109195837905536,0.6643890135258907,-0.15781402889683802,0.01627911731967253,0.052162381000247775,0.5549202116180699,2,1,3,0.5092882857884709,0.6195164127733795,0.1314348236333572,0.053492447416542355,0.07611578266784891,0.023971459158672267,-0.11950530317264428,0.4970511951164867,0.5288791541923575
eq80_ra140_bd100_btc60_thr05,80.0,140.0,100.0,60.0,0.05,6,0.1173570816556458,0.6928589115094366,-0.16952823685937277,0.1107683073470507,0.6711485585035983,-0.15932111263035864,0.013627678258457478,0.022368310609808366,0.6282210358798973,1,1,2,0.3336203747210942,0.6575783761103545,0.30872983918603303,0.042108701601673904,0.12594927509712983,0.05825001202461017,-0.16952823685937277,0.40086517453554493,0.5259108982749388
eq200_ra140_bd100_btc60_thr00,200.0,140.0,100.0,60.0,0.0,6,0.07926915575055722,0.647277533018463,-0.11792393077997489,0.08050360678259139,0.6643890135258907,-0.15932111263035864,0.0165701368978609,0.05041126510292657,0.5536300764610061,2,1,3,0.4959494731995515,0.6195164127733795,0.1363131149251752,0.053492447416542355,0.07258567308906505,0.024240266998585468,-0.11792393077997489,0.48930036618756934,0.5246817068379597
eq80_ra140_bd100_btc120_thr00,80.0,140.0,100.0,120.0,0.0,6,0.11803823609671915,0.691090419580373,-0.16952823685937277,0.11120107636423637,0.6704637280587035,-0.15932111263035864,0.013426352467785542,0.02302923002883054,0.6276566234255633,1,1,2,0.3336203747210942,0.6522729003231635,0.3089419936095654,0.042108701601673904,0.12799273842034986,0.0583583504312354,-0.16952823685937277,0.39840100099104553,0.5244915933300304
eq80_ra140_bd100_btc120_thr05,80.0,140.0,100.0,120.0,0.05,6,0.11533305637291358,0.6801854812052279,-0.1894190100765919,0.11051308161325124,0.665954642543332,-0.16546041364476757,0.014676491155613388,0.029465218437784085,0.6095995938392604,1,1,2,0.3336203747210942,0.6195580851977285,0.31069212427761334,0.042108701601673904,0.11987719924893314,0.05802133766157178,-0.1894190100765919,0.3323905057416597,0.48485550419534007
eq80_ra140_bd100_btc60_thr00,80.0,140.0,100.0,60.0,0.0,6,0.11442834693756487,0.6772232730364109,-0.19394026127715372,0.10930257825790726,0.662250403027437,-0.16521728484113354,0.015234161397218325,0.03252729374511307,0.6019216936088472,1,1,2,0.3336203747210942,0.6106714606912778,0.3112978113929197,0.042108701601673904,0.11716307094288703,0.05796456128094071,-0.19394026127715372,0.3144552760736485,0.47256180571800777
eq200_ra60_bd100_btc60_thr05,200.0,60.0,100.0,60.0,0.05,6,0.06546078739639409,0.7607033308868673,-0.11806378269655474,0.06461244620987872,0.7245096157392699,-0.14483465534786608,0.012469297163740926,0.43142110620209745,0.3024898136749707,1,1,3,0.45294216664968584,0.898527710906536,0.21801452900408647,0.0398063572029026,0.04575083772080024,0.03216913047044658,-0.11806378269655474,0.6585939963526892,0.46273669587994404
eq200_ra60_bd100_btc120_thr00,200.0,60.0,100.0,120.0,0.0,6,0.06534457960273003,0.745019030182898,-0.11806378269655474,0.06455434231304669,0.7245096157392699,-0.14857606696127856,0.012790076331080041,0.4225037112850011,0.30504687982730483,1,1,3,0.40588926453777746,0.898527710906536,0.2401590446429576,0.03945773382191042,0.04575083772080024,0.03226209003130795,-0.11806378269655474,0.6408319040611616,0.45615014073254045
