rule,full_annual,full_vol,full_sharpe,full_max_dd,full_total_return,full_annual_delta,full_sharpe_delta,full_max_dd_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_total_return,last_10y_annual_delta,last_10y_sharpe_delta,last_10y_max_dd_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_total_return,last_5y_annual_delta,last_5y_sharpe_delta,last_5y_max_dd_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_total_return,last_3y_annual_delta,last_3y_sharpe_delta,last_3y_max_dd_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_total_return,last_1y_annual_delta,last_1y_sharpe_delta,last_1y_max_dd_delta,stress,mode,stress_days,score_3_5_10,robust_pass
baseline,17.528628224419652,12.779241500872368,1.0841714605717423,-16.541510237607472,3245.3109758037704,0.0,0.0,0.0,25.738971076544615,12.71412439736892,1.3066434112448568,-12.723957424227239,887.5585538534505,0.0,0.0,0.0,24.108915680846966,13.351083356150129,1.1827725276373926,-12.213228977239998,194.40874212111942,0.0,0.0,0.0,36.41658787511255,14.610547013821758,1.5388725458839836,-12.213228977239954,153.91821659045468,0.0,0.0,0.0,54.053898595192365,15.466896863841997,2.0008715172597626,-12.213228977239975,54.00833950665154,0.0,0.0,0.0,,,,,False
vix_gt25:no_btc,16.71981614221456,12.729541620836821,1.0441244137319703,-16.541510237607472,2779.1048210765903,-0.8088120822050904,-0.040047046839772005,0.0,24.131096309932374,12.629827792751898,1.2442196171168478,-12.723957424227239,768.3151827882704,-1.607874766612241,-0.062423794128009025,0.0,23.627537401478737,13.390508516957706,1.1596697458405985,-12.214219853566298,188.74404924917377,-0.4813782793682293,-0.023102781796794147,-0.0009908763263002385,35.59664530518623,14.596914611733078,1.5116777622323214,-12.214219853566288,149.36606651262235,-0.8199425699263188,-0.02719478365166217,-0.0009908763263339893,51.290203781232194,15.430797672424818,1.9243723196645217,-12.214219853566298,51.24733604622307,-2.7636948139601714,-0.07649919759524093,-0.0009908763263233311,vix_gt25,no_btc,880.0,-0.13781666686038335,False
vix_gt25:no_growth_btc,15.259794123230508,12.542142140284826,0.9768092555401267,-16.541510237607472,2090.0203928398105,-2.268834101189144,-0.10736220503161564,0.0,22.284275921416864,12.381621518374185,1.1831016227035576,-12.723957424227239,647.4575953124594,-3.4546951551277516,-0.12354178854129927,0.0,22.719612087824714,13.329761506229529,1.1261914511692273,-12.218961190525635,178.29731147055134,-1.3893035930222517,-0.05658107646816535,-0.005732213285636334,34.395559829378364,14.519938443877829,1.4766452827426513,-12.218961190525668,142.79662011789463,-2.021028045734184,-0.06222726314133231,-0.005732213285714494,47.30183201402265,15.214594826858399,1.8285869683971498,-12.218961190525658,47.26278722449848,-6.752066581169714,-0.1722845488626128,-0.005732213285682519,vix_gt25,no_growth_btc,880.0,-0.3663110611942732,False
vix_gt25:no_equity_btc,14.709269407309677,12.481689713001618,0.9499675438553309,-16.541510237607472,1873.5950514699957,-2.8193588171099755,-0.1342039167164114,0.0,21.414877073593065,12.336118160814049,1.1470968204357592,-12.723957424227239,595.991094979703,-4.324094002951551,-0.1595465908090976,0.0,22.008863789370437,13.290844840606145,1.0989454490030612,-12.338342234417166,170.3322021001087,-2.1000518914765287,-0.08382707863433136,-0.12511325717716737,33.103656958313636,14.461258514728634,1.4359686210988194,-12.338342234417121,135.86036507234684,-3.312930916798912,-0.10290392478516419,-0.12511325717716737,43.09084758687249,15.048895488492445,1.7143051008451775,-12.338342234417144,43.05575892891766,-10.963051008319873,-0.28656641641458513,-0.12511325717716915,vix_gt25,no_equity_btc,880.0,-0.47008286071763494,False
vix_gt25:defensive_core,14.659552160002365,12.489492697317221,0.9466502146032012,-16.541510237607472,1855.0879950584103,-2.8690760644172872,-0.1375212459685411,0.0,21.300523346086166,12.350830609670362,1.140612909661732,-12.723957424227239,589.464555278887,-4.438447730458449,-0.16603050158312493,0.0,21.819814581569496,13.321192690496684,1.088714949520994,-12.337627593626499,168.24460739328956,-2.2891010992774703,-0.09405757811639859,-0.1243986163865003,33.25860855580647,14.496725524004692,1.4383485235867122,-12.337627593626511,136.6852379459242,-3.1579793193060794,-0.10052402229727142,-0.12439861638655714,43.59162160867571,15.15066994019531,1.7196900137984186,-12.337627593626499,43.55606687558482,-10.462276986516656,-0.2811815034613441,-0.12439861638652339,vix_gt25,defensive_core,880.0,-0.4807619824803491,False
vix_gt25:defensive_plus_equity,16.114361103656293,12.68987243560514,1.013911992082341,-16.541510237607472,2471.401722433712,-1.414267120763359,-0.07025946848940134,0.0,23.28132992152718,12.613409055584638,1.2080980809097994,-12.723957424227239,710.6785389011507,-2.457641155017434,-0.09854533033505741,0.0,22.77911047768233,13.394812404287784,1.1238701723414486,-12.334124936197243,178.97251055728916,-1.3298052031646357,-0.05890235529594401,-0.12089595895724514,34.52635426654533,14.596140705509395,1.474297761663173,-12.334124936197266,143.50634503483897,-1.8902336085672147,-0.06457478422081064,-0.12089595895731264,47.7327090599873,15.4315926388676,1.8180737109034877,-12.334124936197233,47.69325478776692,-6.321189535205065,-0.18279780635627496,-0.12089595895725758,vix_gt25,defensive_plus_equity,880.0,-0.2505734322740654,False
vix_gt30:no_btc,17.371946909986224,12.763945491020392,1.0768914877385618,-16.541510237607472,3149.714882622338,-0.1566813144334276,-0.0072799728331804925,0.0,25.374901894309154,12.685713943861574,1.2935318797143396,-12.723957424227239,859.337936930486,-0.36406918223546114,-0.01311153153051725,0.0,23.97939868124539,13.416712215631069,1.1722831989293112,-12.213228977239998,192.87596587558212,-0.12951699960157725,-0.010489328708081391,0.0,36.37231499708151,14.64158068887406,1.5343895494581687,-12.213228977239943,153.67101927017234,-0.04427287803103752,-0.004482996425814845,1.0658141036401503e-14,53.90381963639301,15.554883190111827,1.9861080294565217,-12.213228977239998,53.85840757447926,-0.15007895879935518,-0.014763487803240993,-2.3092638912203256e-14,vix_gt30,no_btc,449.0,-0.028446740651953642,False
vix_gt30:no_growth_btc,16.53166959654804,12.717631264789494,1.0347429625181896,-16.541510237607472,2679.90996809374,-0.9969586278716136,-0.04942849805355265,0.0,24.100791279451016,12.623977278308946,1.2434023480466567,-12.723957424227239,766.1979185081433,-1.6381797970935992,-0.06324106319820011,0.0,23.93754907874377,13.402264413756724,1.1716640766483675,-12.213228977239954,192.382061413636,-0.17136660210319477,-0.011108450989025132,4.440892098500626e-14,36.37231499708151,14.64158068887406,1.5343895494581687,-12.213228977239943,153.67101927017234,-0.04427287803103752,-0.004482996425814845,1.0658141036401503e-14,53.90381963639301,15.554883190111827,1.9861080294565217,-12.213228977239998,53.85840757447926,-0.15007895879935518,-0.014763487803240993,-2.3092638912203256e-14,vix_gt30,no_growth_btc,449.0,-0.15252180321598624,False
vix_gt30:no_equity_btc,16.219888852244658,12.713790458583366,1.0180047682941022,-16.541510237607472,2522.672318427179,-1.308739372174994,-0.06616669227764005,0.0,23.704709004249324,12.626764688809743,1.225683153574897,-12.723957424227239,738.9495593029687,-2.0342620722952915,-0.08096025766995973,0.0,23.87545677113603,13.419594488382518,1.1677464718484467,-12.213228977239975,191.6504826615787,-0.23345890971093652,-0.015026055788945891,2.3092638912203256e-14,36.334962682150284,14.668584438399618,1.5305445078321165,-12.213228977239998,153.46258770299505,-0.08162519296226378,-0.008328038051867104,-4.440892098500626e-14,53.77727630126932,15.631187288342277,1.9735428656554106,-12.213228977239964,53.73198813127178,-0.2766222939230474,-0.02732865160435205,1.0658141036401503e-14,vix_gt30,no_equity_btc,449.0,-0.2007637179332542,False
vix_gt30:defensive_core,16.22223709996524,12.714165712071912,1.0181067535490933,-16.541510237607472,2523.8242304868827,-1.3063911244544109,-0.066064707022649,0.0,23.710141947398576,12.62746428170776,1.2258622361366398,-12.723957424227239,739.3180369461918,-2.0288291291460396,-0.08078117510821703,0.0,23.917866486167362,13.424412021437224,1.169134804381562,-12.213228977239954,192.15000009585327,-0.19104919467960357,-0.01363772325583068,4.440892098500626e-14,36.334962682150284,14.668584438399618,1.5305445078321165,-12.213228977239998,153.46258770299505,-0.08162519296226378,-0.008328038051867104,-4.440892098500626e-14,53.77727630126932,15.631187288342277,1.9735428656554106,-12.213228977239964,53.73198813127178,-0.2766222939230474,-0.02732865160435205,1.0658141036401503e-14,vix_gt30,defensive_core,449.0,-0.19999361877956226,False
