variant,annual,max_dd,annual_delta,max_dd_delta,note
baseline_combo,0.13682810272530954,-0.2025526429720424,0.0,0.0,V6.5组合基线
bias_decay20_rec40_x0.50_combo,0.13664619755841056,-0.2025526429720424,-0.00018190516689898573,0.0,收益损失最小代表参数
bias_decay40_rec70_x0.00_combo,0.13520191039060503,-0.2025526429720424,-0.0016261923347045126,0.0,回撤最浅代表参数
