trade_id,strategy,symbol,holding_code,pair,long_leg,short_leg,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade,profit_pct,mfe_pct,mae_pct,profit_capture,giveback_pct,max_high,min_low,best_date,worst_date,bar_count,holding_calendar_days,had_profit_then_loss,deep_mae_profit,holding_code_trade,pair_trade,long_leg_trade,short_leg_trade,holding_days_trade,is_open_trade_trade
354,Sub-A-DK,DK_T0354,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2023-12-25,2024-02-05,1.0,1.3630894597048033,long,30,False,0.36308945970480333,0.36308945970480333,-0.016750341405080804,1.0,0.0,1.3630894597048033,0.9832496585949192,2024-02-05,2024-01-02,31,42,False,False,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,30,False
386,Sub-A-DK,DK_T0386,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2024-09-10,2024-10-08,1.0,1.2531210046996448,long,14,False,0.2531210046996448,0.2531210046996448,-0.01492081228368436,1.0,0.0,1.2531210046996448,0.9850791877163156,2024-10-08,2024-09-23,15,28,False,False,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,14,False
133,Sub-A-DK,DK_T0133,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2018-05-18,2018-06-21,1.0,1.157709923451296,long,25,False,0.15770992345129597,0.15770992345129597,-0.01697365885326474,1.0,0.0,1.157709923451296,0.9830263411467353,2018-06-21,2018-05-24,26,34,False,False,SZ50/CYB_1,SZ50/CYB,上证50,创业板,25,False
198,Sub-A-DK,DK_T0198,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2020-01-20,2020-02-06,1.0,1.1451373915527792,long,8,False,0.14513739155277916,0.14513739155277916,0.0,1.0,0.0,1.1451373915527792,1.0,2020-02-06,2020-01-20,9,17,False,False,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,8,False
414,Sub-A-DK,DK_T0414,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2025-06-16,2025-08-05,1.0,1.1405326026500187,long,37,False,0.14053260265001866,0.17260536539891058,-0.024028381017180966,0.8141844393146869,0.032072762748891925,1.1726053653989106,0.975971618982819,2025-07-29,2025-06-23,38,50,False,False,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,37,False
75,Sub-A-DK,DK_T0075,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2016-11-02,2016-11-29,1.0,1.131085982516546,long,20,False,0.13108598251654602,0.13108598251654602,0.0,1.0,0.0,1.131085982516546,1.0,2016-11-29,2016-11-02,21,27,False,False,SZ50/CYB_1,SZ50/CYB,上证50,创业板,20,False
115,Sub-A-DK,DK_T0115,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2017-10-30,2017-12-07,1.0,1.1295142240417488,long,29,False,0.12951422404174884,0.15979718056642556,0.0,0.8104912964212876,0.03028295652467672,1.1597971805664256,1.0,2017-12-05,2017-10-30,30,38,False,False,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,29,False
96,Sub-A-DK,DK_T0096,SZ50/ZZ500_1,SZ50/ZZ500,上证50,中证500,2017-05-10,2017-05-25,1.0,1.118530077129998,long,12,False,0.11853007712999797,0.11853007712999797,0.0,1.0,0.0,1.118530077129998,1.0,2017-05-25,2017-05-10,13,15,False,False,SZ50/ZZ500_1,SZ50/ZZ500,上证50,中证500,12,False
260,Sub-A-DK,DK_T0260,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2021-07-07,2021-07-26,1.0,1.099837405154709,long,14,False,0.09983740515470907,0.09983740515470907,0.0,1.0,0.0,1.099837405154709,1.0,2021-07-26,2021-07-07,15,19,False,False,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,14,False
250,Sub-A-DK,DK_T0250,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2021-04-06,2021-05-11,1.0,1.0950112695811671,long,23,False,0.09501126958116712,0.15452411907912933,-0.01022545092607785,0.6148636869595313,0.059512849497962206,1.1545241190791293,0.9897745490739221,2021-04-30,2021-04-12,24,35,False,False,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,23,False
