trade_id,strategy,symbol,holding_code,pair,long_leg,short_leg,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
399,Sub-A-DK,DK_T0399,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2025-02-12,2025-02-21,1.0,1.0158432453351007,long,8,False
400,Sub-A-DK,DK_T0400,HS300/ZZ1000_-1,HS300/ZZ1000,中证1000,沪深300,2025-02-24,2025-03-03,1.0,0.9933921148557263,long,6,False
401,Sub-A-DK,DK_T0401,HS300/CYB_-1,HS300/CYB,创业板,沪深300,2025-03-04,2025-03-04,1.0,0.9973714104151563,long,1,False
402,Sub-A-DK,DK_T0402,HS300/ZZ1000_-1,HS300/ZZ1000,中证1000,沪深300,2025-03-05,2025-03-11,1.0,1.0232917747418298,long,5,False
403,Sub-A-DK,DK_T0403,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2025-03-12,2025-03-19,1.0,0.9905139568858978,long,6,False
404,Sub-A-DK,DK_T0404,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2025-03-20,2025-03-31,1.0,1.0341997834176775,long,8,False
405,Sub-A-DK,DK_T0405,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2025-04-01,2025-04-10,1.0,1.0777932236042578,long,7,False
406,Sub-A-DK,DK_T0406,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2025-04-11,2025-04-28,1.0,0.9965818024560198,long,12,False
407,Sub-A-DK,DK_T0407,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2025-04-30,2025-04-30,1.0,0.9878595275510954,long,1,False
408,Sub-A-DK,DK_T0408,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2025-05-06,2025-05-06,1.0,1.0006330741988134,long,1,False
409,Sub-A-DK,DK_T0409,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2025-05-07,2025-05-23,1.0,0.9924997652192427,long,13,False
410,Sub-A-DK,DK_T0410,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2025-05-26,2025-06-03,1.0,0.97586315297769,long,6,False
411,Sub-A-DK,DK_T0411,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,2025-06-04,2025-06-04,1.0,1.0033178870062736,long,1,False
412,Sub-A-DK,DK_T0412,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2025-06-05,2025-06-06,1.0,1.0109727001975308,long,2,False
413,Sub-A-DK,DK_T0413,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2025-06-09,2025-06-13,1.0,0.9951359758198632,long,5,False
414,Sub-A-DK,DK_T0414,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2025-06-16,2025-08-05,1.0,1.1405326026500187,long,37,False
415,Sub-A-DK,DK_T0415,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2025-08-06,2025-08-07,1.0,1.0039695910059052,long,2,False
416,Sub-A-DK,DK_T0416,HS300/ZZ1000_-1,HS300/ZZ1000,中证1000,沪深300,2025-08-08,2025-08-19,1.0,1.0419619235093862,long,8,False
417,Sub-A-DK,DK_T0417,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2025-08-20,2025-08-20,1.0,0.9948667121116402,long,1,False
418,Sub-A-DK,DK_T0418,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2025-08-21,2025-09-01,1.0,1.0805846206336238,long,8,False
419,Sub-A-DK,DK_T0419,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,2025-09-02,2025-09-22,1.0,1.0603815753390737,long,15,False
420,Sub-A-DK,DK_T0420,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2025-09-23,2025-09-30,1.0,1.012931178445658,long,6,False
421,Sub-A-DK,DK_T0421,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2025-10-09,2025-10-10,1.0,1.0042918056963743,long,2,False
422,Sub-A-DK,DK_T0422,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,2025-10-13,2025-10-14,1.0,1.0222075998350242,long,2,False
423,Sub-A-DK,DK_T0423,HS300/CYB_1,HS300/CYB,沪深300,创业板,2025-10-15,2025-10-15,1.0,0.99221154233894,long,1,False
424,Sub-A-DK,DK_T0424,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2025-10-16,2025-11-03,1.0,0.9641378031903961,long,13,False
425,Sub-A-DK,DK_T0425,SZ50/ZZ500_1,SZ50/ZZ500,上证50,中证500,2025-11-06,2025-11-10,1.0,0.9961474986118546,long,3,False
426,Sub-A-DK,DK_T0426,ZZ500/ZZ1000_-1,ZZ500/ZZ1000,中证1000,中证500,2025-11-11,2025-11-11,1.0,1.006205799742781,long,1,False
