date,signal,return,asset_component,cash_component,borrow_component,trade_cost,turnover,holding,holding_weight,previous_holding,previous_weight,target,target_weight,nav
2010-06-01,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0001211499702025
2010-06-02,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0002423146177204
2010-06-03,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0003634939443315
2010-06-04,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0004846879518146
2010-06-07,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.000605896641948
2010-06-08,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0007271200165107
2010-06-09,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0008483580772816
2010-06-10,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.00096961082604
2010-06-11,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.001090878264565
2010-06-17,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.001212160394637
2010-06-18,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.001333457218035
2010-06-21,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0014547687365398
2010-06-22,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0015760949519315
2010-06-23,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0016974358659905
2010-06-24,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0018187914804977
2010-06-25,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0019401617972339
2010-06-28,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0020615468179803
2010-06-29,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0021829465445184
2010-06-30,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.0023043609786297
2010-07-01,01_bond_pool_momentum_only,0.0001211499702025165,0.0,0.0001211499702025165,-0.0,0.0,0.0,cash,0.0,cash,0.0,cash,0.0,1.002425790122096
