version,candidate,name,lbs,abs_threshold,rebalance_threshold,min_turnover,commission,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,vol_lb,max_lev,volreg_enabled,volreg_short_window,volreg_long_window,volreg_enter,volreg_exit,ema_vol_halflife_days,year,return
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2008,0.030210727390002967
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2009,0.14624199516135983
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2010,0.20207299540246004
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2011,-0.03537513027086314
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2012,0.08496178289800338
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2013,0.15605771830194315
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2014,0.054295494408360234
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2015,-0.015752853276753576
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2016,0.06257959237425958
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2017,0.789532589963686
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2018,-0.01889867950322921
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2019,0.17735387771004008
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2020,0.5087740404743712
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2021,0.40553085952207013
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2022,0.06400715769335852
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2023,0.18247421103574646
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2024,0.35806024376712187
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2025,0.34324267296089594
V7.5,vollb10,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2026,0.22302935752130382
V7.5,vollb20,vollb20,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2008,0.026625538011033623
V7.5,vollb20,vollb20,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2009,0.14897635659849517
V7.5,vollb20,vollb20,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2010,0.20108180384741625
V7.5,vollb20,vollb20,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2011,-0.009635566490900138
