version,candidate,segment,start,end,name,lbs,abs_threshold,rebalance_threshold,min_turnover,commission,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,vol_lb,max_lev,volreg_enabled,volreg_short_window,volreg_long_window,volreg_enter,volreg_exit,ema_vol_halflife_days,days,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate,avg_bil,avg_cash,avg_risky,max_risky,annual_turnover,total_trade_cost
V7.5,vollb10,full_common,2008-12-15,2026-05-06,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,4374,0.19889017623546934,0.14295189072924983,1.3409064294978579,-0.12994252166829345,1.530601174134359,23.301577714820034,0.6428571428571429,0.14367418285551753,0.038866026520347506,0.9719622081535918,1.7284161593981184,17.410825191334744,0.30220218010673877
V7.5,vollb10,1Y,2025-05-06,2026-05-06,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,252,0.5875045006233834,0.18554034708836317,2.5857605296521533,-0.11686945230278789,5.027015092885557,1.5875045006233834,0.8461538461538461,0.0056120324653373245,0.0,1.2172168651919626,1.504854298211221,18.262061094899863,0.01826206109489987
V7.5,vollb10,3Y,2023-05-08,2026-05-06,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,752,0.3631653560588606,0.17609658120098665,1.8484348849452146,-0.12479082519939921,2.9101927603938065,2.5206348104723393,0.7567567567567568,0.026458807924955235,0.02925531914893617,1.140811994301062,1.504854298211221,17.874190670610243,0.05333885469959883
V7.5,vollb10,5Y,2021-05-06,2026-05-06,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,1256,0.2716160009649464,0.16222660638173986,1.563025862650631,-0.1247908251993991,2.1765702769489685,3.3122528023873405,0.7049180327868853,0.12660196337905238,0.041401273885350316,0.9700839473416458,1.504854298211221,16.64382720232098,0.08295494827823474
V7.5,vollb10,10Y,2016-05-06,2026-05-06,vollb10,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,10,2.0,True,10,250,2.0,1.6,126,2514,0.293502158871626,0.15701918604035464,1.7183265767353086,-0.12994252166829356,2.258707581655633,13.031981541165646,0.7107438016528925,0.11787908436223371,0.049323786793953855,0.9923630895122699,1.7284161593981184,17.717578650054804,0.17675393938983247
V7.5,vollb20,full_common,2008-12-15,2026-05-06,vollb20,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,4374,0.20652231356511397,0.1422557965289038,1.391412277624211,-0.1386556633774737,1.4894617971923823,26.014822102253376,0.6476190476190476,0.14274369111627086,0.038866026520347506,0.9760624869086572,1.743393805854085,14.764754016704861,0.25627394471852005
V7.5,vollb20,1Y,2025-05-06,2026-05-06,vollb20,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,252,0.599180200009986,0.18050233422434708,2.6935680949341823,-0.11629440572766281,5.152270190993888,1.599180200009986,0.8461538461538461,0.005652383008281671,0.0,1.2191005214686705,1.493481617243384,13.192430274894846,0.013192430274894846
V7.5,vollb20,3Y,2023-05-08,2026-05-06,vollb20,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,752,0.37746256835702297,0.17593108192672305,1.9093640683425144,-0.11900195710723893,3.171902189951982,2.6003499720079066,0.7567567567567568,0.026382598260025918,0.02925531914893617,1.137453798515185,1.493481617243384,14.509844918081539,0.04329921975554492
V7.5,vollb20,5Y,2021-05-06,2026-05-06,vollb20,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,1256,0.2789676820455391,0.16288598229974594,1.5927231862521183,-0.11900195710723871,2.3442276818535612,3.408801159885149,0.7049180327868853,0.12645889827213688,0.041401273885350316,0.9684044823601132,1.493481617243384,13.973166400504413,0.06964403571045057
V7.5,vollb20,10Y,2016-05-06,2026-05-06,vollb20,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2514,0.30935114942783515,0.1555830740410704,1.811107192408035,-0.13865566337747437,2.2310747494363907,14.715475066165178,0.7107438016528925,0.1167757466586073,0.049323786793953855,1.0002566136996416,1.743393805854085,14.829107339292637,0.14793799940865748
