variant,annual,max_dd,sharpe,calmar,vol,total_return,days
single_stage_15_0p5_8,62.78178553100939,-34.1842440892815,1.2690186605367657,1.8365708297377468,19.361691485830868,23316.47786423692,5153
two_stage_best_balanced,63.11205619715923,-38.784321755723695,1.2564114079894293,1.6272569259985912,19.691215705412624,23854.024851036287,5153
two_stage_best_calmar,63.196193583682735,-39.60155286107954,1.257050491735281,1.5958008971358302,19.705055926520426,23992.75060585919,5153
