fold,variant,train_years,test_years,annual,max_dd,sharpe,calmar,vol,total_return
1,single_stage_15_0p5_8,2010-2014,2015-2016,12.667595808853926,-17.40658299045985,0.571091969461785,0.7277474169282246,18.371994728301935,26.712090257245748
1,two_stage_best_calmar,2010-2014,2015-2016,13.766754208525533,-18.295694800705732,0.6131206229086372,0.7524586717523567,18.802128266558256,29.17761027327257
1,two_stage_best_balanced,2010-2014,2015-2016,13.766754208525533,-18.295694800705732,0.6131206229086372,0.7524586717523567,18.802128266558256,29.17761027327257
2,single_stage_15_0p5_8,2011-2015,2016-2017,5.30779656155731,-18.189492194218232,0.21261217637199772,0.29180564827667166,16.595615201183662,10.810990507160945
2,two_stage_best_calmar,2011-2015,2016-2017,8.04838241659982,-18.817311279813637,0.3561687275041105,0.427711605389329,17.381349166166153,16.608526908191724
2,two_stage_best_balanced,2011-2015,2016-2017,6.5736973416751,-18.817311279813637,0.27932638375489083,0.3493430726592202,17.21822642111306,13.470692864469335
3,single_stage_15_0p5_8,2012-2016,2017-2018,25.153332276850193,-14.37076555112366,1.1089767318624812,1.7503126181669173,18.844629364782495,56.0093928411155
3,two_stage_best_calmar,2012-2016,2017-2018,27.172558325018304,-14.37076555112364,1.1781107996026001,1.8908219070412502,19.11929226003496,61.038244604867906
3,two_stage_best_balanced,2012-2016,2017-2018,25.434478367697967,-14.370765551123682,1.1142184449835313,1.7698763699968083,18.97604252879021,56.70484549881236
4,single_stage_15_0p5_8,2013-2017,2018-2019,45.46115797223642,-14.370765551123652,1.8334504930886086,3.1634471949674112,19.666915237608453,111.0474641752742
4,two_stage_best_calmar,2013-2017,2018-2019,45.46115797223642,-14.370765551123652,1.8334504930886086,3.1634471949674112,19.666915237608453,111.0474641752742
4,two_stage_best_balanced,2013-2017,2018-2019,45.46115797223642,-14.370765551123652,1.8334504930886086,3.1634471949674112,19.666915237608453,111.0474641752742
5,single_stage_15_0p5_8,2014-2018,2019-2020,46.00717863802895,-14.725222525921748,1.8450276826319232,3.124379177091523,19.832972574708073,112.84986049474001
5,two_stage_best_calmar,2014-2018,2019-2020,46.00717863802895,-14.725222525921748,1.8450276826319232,3.124379177091523,19.832972574708073,112.84986049474001
5,two_stage_best_balanced,2014-2018,2019-2020,46.00717863802895,-14.725222525921748,1.8450276826319232,3.124379177091523,19.832972574708073,112.84986049474001
6,single_stage_15_0p5_8,2015-2019,2020-2021,46.5667768250086,-14.725222525921765,1.8003434118009465,3.162381875250719,20.67530039648838,114.48118667590035
6,two_stage_best_calmar,2015-2019,2020-2021,46.5667768250086,-14.725222525921765,1.8003434118009465,3.162381875250719,20.67530039648838,114.48118667590035
6,two_stage_best_balanced,2015-2019,2020-2021,46.5667768250086,-14.725222525921765,1.8003434118009465,3.162381875250719,20.67530039648838,114.48118667590035
7,single_stage_15_0p5_8,2016-2020,2021-2022,43.272156928600246,-11.196642083164452,1.6666429401120983,3.864744144466789,20.933424314875417,104.16067170371117
7,two_stage_best_calmar,2016-2020,2021-2022,43.272156928600246,-11.196642083164452,1.6666429401120983,3.864744144466789,20.933424314875417,104.16067170371117
7,two_stage_best_balanced,2016-2020,2021-2022,43.272156928600246,-11.196642083164452,1.6666429401120983,3.864744144466789,20.933424314875417,104.16067170371117
8,single_stage_15_0p5_8,2017-2021,2022-2023,23.730159687364537,-11.736934114078624,1.0532434228342344,2.021836320858261,18.96348792251849,52.51250303415378
8,two_stage_best_calmar,2017-2021,2022-2023,23.730159687364537,-11.736934114078624,1.0532434228342344,2.021836320858261,18.96348792251849,52.51250303415378
8,two_stage_best_balanced,2017-2021,2022-2023,23.730159687364537,-11.736934114078624,1.0532434228342344,2.021836320858261,18.96348792251849,52.51250303415378
9,single_stage_15_0p5_8,2018-2022,2023-2024,19.169781037885446,-18.873089599863054,0.886086897816151,1.0157203427903265,18.296648103007605,41.84399479269712
9,two_stage_best_calmar,2018-2022,2023-2024,16.856431851091735,-22.283562138425058,0.7430766061902478,0.7564514033429622,19.480653018117764,36.40873626455037
9,two_stage_best_balanced,2018-2022,2023-2024,18.295204124576703,-21.759551225548222,0.8035594872783443,0.8407895886701939,19.548788898467546,39.77671937195484
10,single_stage_15_0p5_8,2019-2023,2024-2025,32.890396639744246,-18.873089599863,1.3670181757885598,1.7427139560648828,20.02975079595986,76.39246721124702
10,two_stage_best_calmar,2019-2023,2024-2025,30.314204093262976,-22.28356213842494,1.2144763109042045,1.3603841210373766,21.118412581375388,69.63336074987096
10,two_stage_best_balanced,2019-2023,2024-2025,31.916458198899544,-21.75955122554809,1.269132032444125,1.4667792487110733,21.17846379066945,73.82167235734597
11,single_stage_15_0p5_8,2020-2024,2025-2026,34.11309013034787,-15.072215585488081,1.363877515998125,2.263309593527367,21.10846186022613,42.41597194401445
11,two_stage_best_calmar,2020-2024,2025-2026,34.628666455849924,-15.009475709316453,1.3813058561731926,2.3071203236203477,21.12410582167466,43.07577387664274
11,two_stage_best_balanced,2020-2024,2025-2026,34.628666455849924,-15.009475709316453,1.3813058561731926,2.3071203236203477,21.12410582167466,43.07577387664274
