variant,stage1_enter,stage1_exit,stage1_scale,stage2_enter,stage2_exit,stage2_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,gate1_ratio,gate2_ratio,avg_scale,family,delta_annual,delta_max_dd,delta_sharpe,delta_calmar
single_stage_15_0p5_8,,,,0.15,0.08,0.5,28.006500780008636,19.36761819568193,1.2147056928444002,-21.374559416852605,1.31027265796773,1419.4302785414643,63.90977443609023,600,444,0.0,0.0,1.0,,0.0,0.0,0.0,0.0
buffer_plus_current_hard__8_0.85_5__15_0.50_8,0.08,0.05,0.85,0.15,0.08,0.5,26.69851900668729,18.746530464430528,1.1940645576388054,-21.41053262295762,1.2469806088831057,1256.8344994200309,63.90977443609023,629,444,0.2030608435983576,0.1272863008585293,0.9058977230309817,buffer_plus_current_hard,-1.3079817733213446,-0.035973206105015976,-0.02064113520559485,-0.06329204908462427
buffer_plus_current_hard__8_0.90_5__15_0.50_8,0.08,0.05,0.9,0.15,0.08,0.5,27.13575808689064,18.944481249981603,1.2016711901586723,-21.39184949977535,1.2685092089478103,1309.3359834245766,63.90977443609023,629,444,0.2030608435983576,0.1272863008585293,0.9160507652108996,buffer_plus_current_hard,-0.8707426931179967,-0.017290082922745142,-0.013034502685727922,-0.041763449019919685
buffer_plus_current_hard__8_0.85_6__15_0.50_8,0.08,0.06,0.85,0.15,0.08,0.5,26.79663119248845,18.858337060107473,1.1921793695268148,-21.359232862956617,1.2545689896457812,1268.4580678433508,63.90977443609023,638,444,0.185143710339679,0.1272863008585293,0.9085852930197836,buffer_plus_current_hard,-1.2098695875201848,0.015326553895988582,-0.022526323317585417,-0.05570366832194873
buffer_plus_current_hard__8_0.90_6__15_0.50_8,0.08,0.06,0.9,0.15,0.08,0.5,27.200909293279942,19.02031563040845,1.2003134623561724,-21.358975817245266,1.273511872761141,1317.315199394679,63.90977443609023,638,444,0.185143710339679,0.1272863008585293,0.9178424785367674,buffer_plus_current_hard,-0.8055914867286944,0.015583599607339238,-0.014392230488227797,-0.036760785206588986
buffer_plus_current_hard__8_0.85_7__15_0.50_8,0.08,0.07,0.85,0.15,0.08,0.5,26.737300877910908,18.945458458419626,1.1850972501787405,-22.122369996762753,1.2086092440287128,1261.4183015193198,62.40601503759399,649,444,0.1608809257185517,0.1272863008585293,0.9122247107129525,buffer_plus_current_hard,-1.2691999020977285,-0.7478105799101478,-0.029608442665659762,-0.10166341393901712
buffer_plus_current_hard__8_0.90_7__15_0.50_8,0.08,0.07,0.9,0.15,0.08,0.5,27.160847817633925,19.079515748125853,1.195529898495561,-21.86901695408752,1.2419784517363646,1312.4039308200008,63.1578947368421,649,444,0.1608809257185517,0.1272863008585293,0.9202687569988802,buffer_plus_current_hard,-0.8456529623747109,-0.4944575372349149,-0.019175794348839315,-0.0682942062313654
buffer_plus_current_hard__9_0.85_5__15_0.50_8,0.09,0.05,0.85,0.15,0.08,0.5,26.674645996260704,18.826682584515307,1.18879102643905,-21.048756538849563,1.2672789457670561,1254.019824414011,63.90977443609023,625,444,0.1776782381485629,0.1272863008585293,0.9097051138484509,buffer_plus_current_hard,-1.3318547837479322,0.3258028780030422,-0.02591466640535023,-0.04299371220067383
buffer_plus_current_hard__9_0.90_5__15_0.50_8,0.09,0.05,0.9,0.15,0.08,0.5,27.11943066954683,18.99881631076496,1.1981087655028828,-21.151008101840144,1.282181470451398,1307.342738942537,63.90977443609023,625,444,0.1776782381485629,0.1272863008585293,0.9185890257558791,buffer_plus_current_hard,-0.8870701104618064,0.22355131501246106,-0.01659692734151741,-0.028091187516331884
buffer_plus_current_hard__9_0.85_6__15_0.50_8,0.09,0.06,0.85,0.15,0.08,0.5,26.96951202440101,18.906923831317464,1.1967800444488554,-20.724186137050122,1.3013544583150443,1289.1601905635075,63.90977443609023,626,444,0.16461366181410975,0.1272863008585293,0.9116648002986188,buffer_plus_current_hard,-1.0369887556076272,0.6503732798024835,-0.01792564839554478,-0.008918199652685699
buffer_plus_current_hard__9_0.90_6__15_0.50_8,0.09,0.06,0.9,0.15,0.08,0.5,27.31628334137497,19.053318470811007,1.2033043461762876,-20.936476241802556,1.304722104421481,1331.5461660048813,63.90977443609023,626,444,0.16461366181410975,0.1272863008585293,0.9198954833893244,buffer_plus_current_hard,-0.6902174386336668,0.4380831750500498,-0.011401346668112655,-0.005550553546249004
buffer_plus_current_hard__9_0.85_7__15_0.50_8,0.09,0.07,0.85,0.15,0.08,0.5,27.045074470698104,19.004789867811315,1.1947040507849152,-21.256338618758978,1.272329866199558,1298.2977411095967,63.1578947368421,631,444,0.13997760358342665,0.1272863008585293,0.9153602090332214,buffer_plus_current_hard,-0.9614263093105322,0.11822079809362762,-0.02000164205948507,-0.03794279176817206
buffer_plus_current_hard__9_0.90_7__15_0.50_8,0.09,0.07,0.9,0.15,0.08,0.5,27.366374458825927,19.119857366691516,1.2018249736040025,-21.29121615011576,1.2853363690395458,1337.765071995426,63.1578947368421,631,444,0.13997760358342665,0.1272863008585293,0.9223590892123927,buffer_plus_current_hard,-0.6401263211827093,0.083343266736847,-0.012880719240397687,-0.024936288928184114
buffer_plus_current_hard__10_0.85_5__15_0.50_8,0.1,0.05,0.85,0.15,0.08,0.5,26.593144874971266,18.926940136819635,1.1801134557922326,-22.295402409486005,1.192763619447241,1244.4506351504253,63.90977443609023,620,444,0.14893617021276595,0.1272863008585293,0.9140164240388204,buffer_plus_current_hard,-1.4133559050373705,-0.9208429926333999,-0.03459223705216763,-0.11750903852048888
buffer_plus_current_hard__10_0.90_5__15_0.50_8,0.1,0.05,0.9,0.15,0.08,0.5,27.064452202109933,19.06687993480338,1.1922560719062636,-21.984154261861015,1.2310890780575727,1300.6498222831906,63.90977443609023,620,444,0.14893617021276595,0.1272863008585293,0.9214632325494587,buffer_plus_current_hard,-0.9420485778987029,-0.6095948450084094,-0.022449620938136627,-0.07918357991015723
buffer_plus_current_hard__10_0.85_6__15_0.50_8,0.1,0.06,0.85,0.15,0.08,0.5,26.85158131457397,19.007517220475133,1.1865872894223393,-22.108945952291513,1.2145120519321229,1275.007614335769,63.90977443609023,619,444,0.1351250466592012,0.1272863008585293,0.9160880925718551,buffer_plus_current_hard,-1.1549194654346664,-0.7343865354389081,-0.028118403422060956,-0.0957606060356071
buffer_plus_current_hard__10_0.90_6__15_0.50_8,0.1,0.06,0.9,0.15,0.08,0.5,27.236983775078304,19.12170605398326,1.1964430538959452,-21.860975457351028,1.2459180436945931,1321.7509705753769,63.90977443609023,619,444,0.1351250466592012,0.1272863008585293,0.9228443449048153,buffer_plus_current_hard,-0.7695170049303321,-0.4864160404984226,-0.018262638948455034,-0.06435461427313682
buffer_plus_current_hard__10_0.85_7__15_0.50_8,0.1,0.07,0.85,0.15,0.08,0.5,26.90921213240125,19.090379886665186,1.184626851651698,-23.036245200035967,1.1681249222142867,1281.9072853012399,62.40601503759399,622,444,0.11347517730496454,0.1272863008585293,0.9193355729749906,buffer_plus_current_hard,-1.0972886476073853,-1.661685783183362,-0.03007884119270221,-0.1421477357534433
buffer_plus_current_hard__10_0.90_7__15_0.50_8,0.1,0.07,0.9,0.15,0.08,0.5,27.275162081120218,19.178131983236202,1.1950397439616416,-22.483082333626808,1.2131415824744876,1326.4591763913031,63.1578947368421,622,444,0.11347517730496454,0.1272863008585293,0.925009331840239,buffer_plus_current_hard,-0.7313386988884183,-1.1085229167742021,-0.019665948882758633,-0.0971310754932424
buffer_plus_deeper_hard__8_0.85_5__16_0.50_10,0.08,0.05,0.85,0.16,0.1,0.5,27.123448676231867,18.978246366203695,1.1993264137991915,-20.96061790158165,1.2940195181071061,1307.8330176429108,64.66165413533834,629,444,0.24300111982082867,0.08734602463605823,0.9198768197088466,buffer_plus_deeper_hard,-0.8830521037767696,0.413941515270956,-0.015379279045208749,-0.016253139860623822
buffer_plus_deeper_hard__8_0.85_5__16_0.45_10,0.08,0.05,0.85,0.16,0.1,0.45,26.969965402318905,18.937484657292458,1.1951493720353443,-21.148628608137898,1.2752583584517145,1289.2148539673883,64.66165413533834,629,444,0.24300111982082867,0.08734602463605823,0.9155095184770438,buffer_plus_deeper_hard,-1.0365353776897308,0.2259308087147076,-0.019556320809055894,-0.035014299516015424
buffer_plus_deeper_hard__8_0.85_5__18_0.50_12,0.08,0.05,0.85,0.18,0.12,0.5,27.013014160153936,19.07337118829557,1.1897517636704797,-21.430332347799556,1.2605037440274511,1294.4141257396373,64.66165413533834,629,444,0.27472937663307206,0.055617767823814855,0.9309817095931318,buffer_plus_deeper_hard,-0.9934866198546999,-0.055772930946950794,-0.024953929173920475,-0.049768913940278825
buffer_plus_deeper_hard__8_0.85_5__18_0.45_12,0.08,0.05,0.85,0.18,0.12,0.45,26.844872768994875,19.04242942598903,1.1844495887562931,-21.67952617324513,1.2382592015375475,1274.206493200688,64.66165413533834,629,444,0.27472937663307206,0.055617767823814855,0.928200821201941,buffer_plus_deeper_hard,-1.161628011013761,-0.304966756392524,-0.030256104088107083,-0.07201345643018242
buffer_plus_deeper_hard__8_0.90_5__16_0.50_10,0.08,0.05,0.9,0.16,0.1,0.5,27.620862444433026,19.215963022196686,1.2070872210159211,-20.87818186887648,1.3229534361709911,1369.741343043272,64.66165413533834,629,444,0.24300111982082867,0.08734602463605823,0.9320268756998881,buffer_plus_deeper_hard,-0.3856383355756101,0.4963775479761239,-0.007618471828479079,0.01268077820326119
buffer_plus_deeper_hard__8_0.90_5__16_0.45_10,0.08,0.05,0.9,0.16,0.1,0.45,27.46677780908895,19.17570906116797,1.2029464941153765,-21.06639130159817,1.3038197864959065,1350.3043595419151,64.66165413533834,629,444,0.24300111982082867,0.08734602463605823,0.927659574468085,buffer_plus_deeper_hard,-0.5397229709196871,0.30816811525443555,-0.011759198729023757,-0.006452871471823496
buffer_plus_deeper_hard__8_0.90_5__18_0.50_12,0.08,0.05,0.9,0.18,0.12,0.5,27.493204122245206,19.327282719621042,1.1960828352949016,-21.419754243548933,1.2835443306043268,1353.621207090353,64.66165413533834,629,444,0.27472937663307206,0.055617767823814855,0.9447181784247854,buffer_plus_deeper_hard,-0.5132966577634299,-0.045194826696327794,-0.01862285754949866,-0.026728327363403137
buffer_plus_deeper_hard__8_0.90_5__18_0.45_12,0.08,0.05,0.9,0.18,0.12,0.45,27.32442632993799,19.296759969338847,1.1908347032863495,-21.6689836816772,1.2609925196003955,1332.555465499498,64.66165413533834,629,444,0.27472937663307206,0.055617767823814855,0.9419372900335946,buffer_plus_deeper_hard,-0.6820744500706475,-0.2944242648245954,-0.02387098955805067,-0.04928013836733447
