version,candidate,segment,start,end,name,lbs,abs_threshold,rebalance_threshold,min_turnover,commission,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,vol_lb,max_lev,volreg_enabled,volreg_short_window,volreg_long_window,volreg_enter,volreg_exit,ema_vol_halflife_days,days,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate,avg_bil,avg_cash,avg_risky,max_risky,annual_turnover,total_trade_cost
V7.5,emavolhl63,full_common,2008-12-15,2026-05-06,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,4374,0.20520909215227445,0.142076441803348,1.3853179697760911,-0.14040187400098303,1.4615837118444563,25.527697558632475,0.6476190476190476,0.1426682548734338,0.038866026520347506,0.9741030079582605,1.7839120350203572,14.809793165382585,0.25705569565628344
V7.5,emavolhl63,1Y,2025-05-06,2026-05-06,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,252,0.6082662930036928,0.18079519181011275,2.7208846109474654,-0.1157573768411797,5.254665487437922,1.6082662930036928,0.8461538461538461,0.005659497280815526,0.0,1.2269935798921678,1.5469870515755053,13.271726460878845,0.013271726460878847
V7.5,emavolhl63,3Y,2023-05-08,2026-05-06,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,752,0.3775717081065644,0.17546344677937395,1.9144387266151588,-0.11800141080760607,3.199721982325885,2.600964846370493,0.7567567567567568,0.028013301859278902,0.02925531914893617,1.1345404606128147,1.5469870515755053,14.588940333168358,0.04353525051802621
V7.5,emavolhl63,5Y,2021-05-06,2026-05-06,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,1256,0.2787960531067952,0.16274554728406412,1.5931342633009322,-0.11800141080760629,2.362650168321752,3.4065218382238847,0.7049180327868853,0.1275747518886002,0.041401273885350316,0.9674079282737758,1.5469870515755053,14.047232668059062,0.07001319139318327
V7.5,emavolhl63,10Y,2016-05-06,2026-05-06,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2514,0.30640783895388335,0.1551395458496349,1.8013184358616183,-0.14040187400098236,2.182362886066175,14.388780791334154,0.7107438016528925,0.11759719525017248,0.049323786793953855,0.9950953479697114,1.7839120350203572,14.8737408141269,0.14838327145521837
V7.5,emavolhl126,full_common,2008-12-15,2026-05-06,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,4374,0.20652251014010026,0.14225578943448108,1.3914134848144593,-0.1386559365682587,1.489460280255881,26.01489567086717,0.6476190476190476,0.1427437300047457,0.038866026520347506,0.976062384944751,1.7433925544008373,14.764747954077563,0.2562738394886319
V7.5,emavolhl126,1Y,2025-05-06,2026-05-06,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,252,0.5991812897034197,0.1805023221668045,2.693572043814267,-0.11629439217068682,5.152280161746693,1.5991812897034197,0.8461538461538461,0.005652372918195714,0.0,1.2191003683418695,1.4934806219383088,13.192426757175276,0.013192426757175277
V7.5,emavolhl126,3Y,2023-05-08,2026-05-06,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,752,0.37746294950840475,0.1759311266496186,1.909365199634545,-0.11900186945684632,3.1719077291074345,2.6003521191802945,0.7567567567567568,0.02638262430946646,0.02925531914893617,1.137453471106839,1.4934806219383088,14.509843089485702,0.04329921429878272
V7.5,emavolhl126,5Y,2021-05-06,2026-05-06,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,1256,0.27896808284186614,0.16288600460467922,1.5927249116276885,-0.11900186945684599,2.344232776469358,3.4088064840954457,0.7049180327868853,0.12645891679004045,0.041401273885350316,0.9684041515989217,1.4934806219383088,13.973162741352644,0.0696440174727735
V7.5,emavolhl126,10Y,2016-05-06,2026-05-06,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2514,0.30935143226560746,0.1555831220557984,1.8111080692329344,-0.1386559365682587,2.2310723934515226,14.715506777952118,0.7107438016528925,0.11677580222859345,0.049323786793953855,1.000256240741368,1.7433925544008373,14.829099871455353,0.14793792490809032
