version,candidate,name,lbs,abs_threshold,rebalance_threshold,min_turnover,commission,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,vol_lb,max_lev,volreg_enabled,volreg_short_window,volreg_long_window,volreg_enter,volreg_exit,ema_vol_halflife_days,year,return
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2008,0.026692584195830538
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2009,0.147830091846185
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2010,0.20311143519004404
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2011,-0.007923845029291887
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2012,0.07508638390198064
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2013,0.16840742437820255
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2014,0.027807434058364944
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2015,-0.020993856431690383
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2016,0.07189363297604556
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2017,0.8125214721479999
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2018,-0.00015748964460582382
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2019,0.19201350947995177
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2020,0.5333115673591469
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2021,0.39683418509639257
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2022,0.06674452683040966
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2023,0.19242580265015619
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2024,0.35481283077913717
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2025,0.35245951481695514
V7.5,emavolhl63,emavolhl63,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2026,0.24219463982682266
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2008,0.026625269854888334
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2009,0.14897686152681255
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2010,0.20108154696385938
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2011,-0.009634961523941388
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2012,0.07394105855707056
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2013,0.16840742437820255
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2014,0.027807434058364944
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2015,-0.020993856431690383
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2016,0.07189363297604556
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2017,0.831004259666831
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2018,0.005635441887191783
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2019,0.1940833749137436
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2020,0.5396599871987999
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2021,0.39782462852376277
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2022,0.06712959079845526
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2023,0.19065836774778133
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2024,0.36409830479309147
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2025,0.34455129721764455
V7.5,emavolhl126,emavolhl126,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,2026,0.24233287470682163
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2008,0.02694198296612349
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2009,0.15059206106422085
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2010,0.2010767097503643
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2011,-0.010443442111392587
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2012,0.07456171426385416
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2013,0.16840742437820255
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2014,0.027807434058364944
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2015,-0.020993856431690383
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2016,0.07189363297604556
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2017,0.8442553102669108
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2018,0.008205861812807358
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2019,0.19475297764208954
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2020,0.5451898959597761
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2021,0.3992970985357236
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2022,0.06720695739145666
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2023,0.18361236701559802
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2024,0.3690646375952611
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2025,0.34200388246651237
V7.5,emavolhl189,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2026,0.2423223617427579
V7.5,emavolhl252,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,2008,0.027226735467790197
V7.5,emavolhl252,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,2009,0.15217290814101303
V7.5,emavolhl252,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,2010,0.2021063797934579
V7.5,emavolhl252,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,2011,-0.010826671927711251
V7.5,emavolhl252,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,2012,0.07526955430017712
