rule,full_annual,full_vol,full_sharpe,full_max_dd,full_total_return,full_annual_delta,full_sharpe_delta,full_max_dd_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_total_return,last_10y_annual_delta,last_10y_sharpe_delta,last_10y_max_dd_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_total_return,last_5y_annual_delta,last_5y_sharpe_delta,last_5y_max_dd_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_total_return,last_3y_annual_delta,last_3y_sharpe_delta,last_3y_max_dd_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_total_return,last_1y_annual_delta,last_1y_sharpe_delta,last_1y_max_dd_delta,family,source,threshold,scale,trigger_days,ma,days,lb,score_3_5_10,robust_pass
baseline,17.528628224419652,12.77924150087237,1.0841714605717423,-16.541510237607472,3245.3109758037704,0.0,0.0,0.0,25.738971076544615,12.71412439736892,1.3066434112448568,-12.723957424227239,887.55855385345,0.0,0.0,0.0,24.10891568084694,13.35108335615013,1.1827725276373924,-12.213228977239998,194.40874212111913,0.0,0.0,0.0,36.41658787511255,14.610547013821758,1.5388725458839834,-12.213228977239954,153.91821659045468,0.0,0.0,0.0,54.05389859519234,15.466896863841997,2.0008715172597626,-12.213228977239988,54.00833950665152,0.0,0.0,0.0,,,,,,,,,,False
vix_abs:gt20:scale0.00,8.802560407691695,10.42975555228845,0.705058443164666,-21.89272842212252,525.5760021705204,-8.726067816727957,-0.37911301740707626,-5.351218184515048,13.813611328408237,10.986387976795262,0.867483585511673,-21.89272842212254,264.6406755522862,-11.925359748136378,-0.4391598257331838,-9.168770997895303,12.167249828371872,11.973129467916387,0.7213452133195076,-21.89272842212251,77.54000481838672,-11.941665852475069,-0.46142731431788475,-9.679499444882511,26.372161335634203,13.710961080731868,1.245714880334506,-12.079712135208243,101.8477052493846,-10.044426539478344,-0.2931576655494774,0.13351684203171033,40.055924116484775,13.494518627122003,1.7858957970703317,-9.364764832194494,40.02363429694107,-13.997974478707562,-0.2149757201894309,2.8484641450454937,vix_abs,^VIX,20.0,0.0,1767.0,,,,-1.5965901301470244,False
vix_abs:gt20:scale0.25,10.992984199165324,10.582488949322348,0.8484367619256405,-17.75673691715308,864.7402779286905,-6.535644025254328,-0.23573469864610175,-1.2152266795456086,16.75175089390841,11.08920929361964,1.0190643625088387,-17.75673691715286,370.48084265690255,-8.987220182636204,-0.28757904873601814,-5.032779492925622,15.097125031943692,12.051442162163305,0.8650328265634567,-17.75673691715297,101.96707790504513,-9.011790648903249,-0.3177397010739357,-5.543507939912972,28.858782480628676,13.755824724640384,1.3398130058224065,-10.680535461203156,114.00180664584303,-7.5578053944838715,-0.1990595400615769,1.5326935160367974,43.54714077566897,13.601811333129202,1.8975494995546218,-9.124645122250307,43.51162748970139,-10.506757819523365,-0.10332201770514082,3.0885838549896807,vix_abs,^VIX,20.0,0.25,1767.0,,,,-1.1340225344261627,False
vix_abs:gt20:scale0.50,13.178865387491578,11.051937721138996,0.9594502814752364,-14.78198756849296,1373.9584644499978,-4.349762836928074,-0.12472117909650593,1.7595226691145118,19.719842280002165,11.425825673585747,1.1439908065654298,-14.405521067980477,504.72003384800956,-6.01912879654245,-0.162652604679427,-1.681563643753238,18.064770564476152,12.315759833402623,0.9916854681905225,-14.405521067980542,129.37827044988998,-6.044145116370789,-0.19108705944686988,-2.192292090740544,31.362381979143272,13.923997210892146,1.4206383666454503,-10.407373422480715,126.72224513910434,-5.054205895969275,-0.11823417923853308,1.8058555547592388,47.04640937980946,13.98195318387027,1.968355699074554,-9.6988403892031,47.00760692368806,-7.007489215382876,-0.032515818185208545,2.514388588036887,vix_abs,^VIX,20.0,0.5,1767.0,,,,-0.7088067837813573,False
vix_abs:gt20:scale0.75,15.358123154380587,11.800471256102279,1.0363334859453655,-15.661565759723285,2130.9858978819807,-2.1705050700390647,-0.047837974626376845,0.8799444778841874,22.716183319192538,11.976689656188636,1.2392218756105902,-12.72864220984441,674.27760002494,-3.022787757352077,-0.06742153563426667,-0.0046847856171705615,21.069092251148348,12.754664468661142,1.0978070494103263,-11.250810823310253,160.08158172425496,-3.0398234296985933,-0.08496547822706613,0.962418153929745,33.88198807762437,14.211209224467936,1.4870053108840289,-10.301782133563997,140.02318532303514,-2.534599797488177,-0.05186723499995449,1.9114468436759573,50.5499609511731,14.61386269387273,2.000418749538988,-10.301782133563997,50.5078082469683,-3.5039376440192385,-0.00045276772077462724,1.911446843675991,vix_abs,^VIX,20.0,0.75,1767.0,,,,-0.3182118436140344,False
vix_abs:gt25:scale0.00,13.477014312785961,11.652136333286702,0.9341428071488956,-21.890913816357415,1460.6900906777162,-4.051613911633691,-0.15002865342284666,-5.349403578749943,21.68975055473943,11.831530915306047,1.2039727419919666,-12.723957424227372,611.9070640082007,-4.049220521805186,-0.10267066925289026,-1.3322676295501878e-13,21.750367001603777,12.785601750693107,1.1257393520242935,-10.71236841296267,167.48097270759467,-2.358548679243164,-0.05703317561309884,1.5008605642773283,33.67964307410105,14.344741824457952,1.4672313097842586,-10.712368412962658,138.93629158246412,-2.7369448010114965,-0.07164123609972473,1.5008605642772963,48.313911209439574,14.753479649851753,1.9130335108684258,-10.712368412962647,48.27390323261995,-5.739987385752762,-0.08783800639133688,1.5008605642773407,vix_abs,^VIX,25.0,0.0,880.0,,,,-0.5737148404591036,False
vix_abs:gt25:scale0.25,14.513963489904768,11.720176458014633,0.9920562431110643,-17.501586976148264,1801.8406340157476,-3.0146647345148843,-0.09211521746067797,-0.960076738540792,22.726909039560674,11.882642407643228,1.248596725379222,-12.723957424227306,674.9545127270895,-3.0120620369839415,-0.05804668586563477,-6.750155989720952e-14,22.360979582950712,12.819600248802946,1.1500186685984761,-10.792895191628759,174.2551158095018,-1.747936097896229,-0.032753859038916255,1.4203337856112395,34.373542786741694,14.358719180866206,1.490818013534258,-10.792895191628793,142.6772856624925,-2.043045088370853,-0.048054532349725454,1.4203337856111613,49.77518528232869,14.791252465189809,1.9541836955271084,-10.792895191628771,49.73377829967616,-4.278713312863644,-0.04668782173265429,1.4203337856112164,vix_abs,^VIX,25.0,0.25,880.0,,,,-0.4109402241035181,False
vix_abs:gt25:scale0.50,15.535286781096769,11.936543821673038,1.0362743438007604,-16.541510237607472,2206.6470745772262,-1.9933414433228833,-0.04789711677098185,0.0,23.74792212769725,12.050340288710606,1.2803418782343299,-12.723957424227262,741.8844268805179,-1.9910489488473644,-0.026301533010526956,-2.3092638912203256e-14,22.957800411611593,12.926514151088778,1.1675455751898713,-11.258459435261903,181.0081997584974,-1.1511152692353477,-0.015226952447521036,0.954769541978095,35.06109183117274,14.407943239545299,1.5106540208500419,-11.258459435261914,146.42235957533018,-1.3554960439398087,-0.02821852503394151,0.95476954197804,51.219464240252236,14.924650913050478,1.9823374400779727,-11.258459435261914,51.176664942678315,-2.8344343549401003,-0.0185340771817899,0.9547695419780737,vix_abs,^VIX,25.0,0.5,880.0,,,,-0.2635492703823634,False
vix_abs:gt25:scale0.75,16.54037756398783,12.293470005619342,1.0665938103085664,-16.541510237607472,2684.428120643819,-0.9882506604318237,-0.017577650263175926,0.0,24.752155828182907,12.329938421299916,1.2993269657464788,-12.723957424227294,812.7442609517749,-0.9868152483617081,-0.007316445498378066,-5.5067062021407764e-14,23.540541903739065,13.104608393650672,1.178348786558735,-11.73192855710148,187.72968476007424,-0.5683737771078761,-0.004423741078657395,0.4813004201385187,35.74215298190606,14.492078922203708,1.5266681196697076,-11.7319285571015,150.16989012564642,-0.6744348932064881,-0.012204426214275754,0.481300420138453,52.64596427618182,15.15121027011322,1.9976298972755235,-11.731928557101467,52.601780543450126,-1.407934319010515,-0.003241619984239108,0.4813004201385205,vix_abs,^VIX,25.0,0.75,880.0,,,,-0.12672863619412875,False
vix_abs:gt30:scale0.00,15.445777840762066,12.301049568405311,1.0040836608263435,-18.725037684342915,2168.119682069341,-2.0828503836575862,-0.08008779974539881,-2.183527446735443,22.500596677073737,12.366989325925154,1.1941686413967059,-16.203167242864403,660.7840274723435,-3.238374399470878,-0.11247476984815097,-3.4792098186371643,22.068279690175885,13.06991672756089,1.1178362587106265,-13.036821462854665,170.9909853480351,-2.0406359906710563,-0.06493626892676585,-0.8235924856146664,35.240805531855244,14.573231704461495,1.5014616546089605,-12.213228977239964,147.4075707265198,-1.1757823432573034,-0.03741089127502284,-1.0658141036401503e-14,51.09860078887001,15.35956542912748,1.9269120401933844,-12.213228977239975,51.055918369074305,-2.955297806322328,-0.07395947706637829,1.2434497875801753e-14,vix_abs,^VIX,30.0,0.0,449.0,,,,-0.354353504934071,False
