rule,full_annual,full_vol,full_sharpe,full_max_dd,full_total_return,full_annual_delta,full_sharpe_delta,full_max_dd_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_total_return,last_10y_annual_delta,last_10y_sharpe_delta,last_10y_max_dd_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_total_return,last_5y_annual_delta,last_5y_sharpe_delta,last_5y_max_dd_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_total_return,last_3y_annual_delta,last_3y_sharpe_delta,last_3y_max_dd_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_total_return,last_1y_annual_delta,last_1y_sharpe_delta,last_1y_max_dd_delta,family,source,threshold,scale,trigger_days,ma,days,lb,score_3_5_10,robust_pass
credit_hyg_lqd_mom:lb40:lt-0.04:scale0.75,17.499937319595293,12.63913739571701,1.0932105388354754,-16.541510237607472,3227.6074705116303,-0.028690904824358654,0.009039078263733069,0.0,25.599707086851176,12.688153449982705,1.3030297086847367,-12.723957424227239,876.6765439067088,-0.13926398969343978,-0.003613702560120169,0.0,24.09178148479072,13.343730084188064,1.182636793631221,-12.213228977239998,194.2055990068452,-0.01713419605622235,-0.0001357340061713952,0.0,36.38716468142038,14.609645564737669,1.5379397575809965,-12.213228977240032,153.7539144920686,-0.029423193692167615,-0.00093278830298682,-7.815970093361102e-14,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,credit_mom,HYG/LQD,-0.04,0.75,304.0,,,40.0,-0.0034544836962628472,False
credit_hyg_lqd_mom:lb40:lt-0.04:scale0.50,17.4636532069552,12.538247304120443,1.099000022340706,-16.541510237607472,3205.346598677473,-0.06497501746445167,0.014828561768963633,0.0,25.458753116067932,12.670000887386967,1.2985980606600251,-12.723957424227239,865.772486888617,-0.28021796047668346,-0.00804535058483169,0.0,24.07409126350226,13.338464972809245,1.182313432969811,-12.213228977240021,193.9959813193623,-0.034824417344680114,-0.0004590946675813168,-2.3092638912203256e-14,36.35759688413762,14.609105138858963,1.536967280496189,-12.213228977239975,153.5888763357449,-0.05899099097492666,-0.0019052653877944525,-2.1316282072803006e-14,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,credit_mom,HYG/LQD,-0.04,0.5,304.0,,,40.0,-0.008618238580532856,False
credit_hyg_lqd_mom:lb10:lt-0.06:scale0.75,17.45851551827966,12.775640723015218,1.0806701177163534,-16.541510237607472,3202.20605200182,-0.07011270613999088,-0.0035013428553889447,0.0,25.723902331709247,12.714174090963267,1.3059881882647812,-12.723957424227239,886.3758489045608,-0.015068744835367909,-0.0006552229800755871,0.0,24.10891568084694,13.35108335615013,1.1827725276373944,-12.213228977239998,194.40874212111913,0.0,1.9984014443252818e-15,0.0,36.41658787511255,14.610547013821758,1.5388725458839843,-12.213228977239954,153.91821659045468,0.0,8.881784197001252e-16,0.0,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,credit_mom,HYG/LQD,-0.06,0.75,40.0,,,10.0,-0.009453095440825232,False
credit_hyg_lqd_mom:lb20:lt-0.06:scale0.75,17.40261647878951,12.766073276580597,1.0783740002613251,-16.541510237607472,3168.2197652926106,-0.12601174563014084,-0.0057974603104171685,0.0,25.70815365679977,12.71421228891132,1.3053045958765876,-12.723957424227239,885.1411405592387,-0.030817419744845864,-0.0013388153682691861,0.0,24.10891568084694,13.35108335615013,1.1827725276373944,-12.213228977239998,194.40874212111913,0.0,1.9984014443252818e-15,0.0,36.41658787511255,14.610547013821758,1.5388725458839843,-12.213228977239954,153.91821659045468,0.0,8.881784197001252e-16,0.0,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,credit_mom,HYG/LQD,-0.06,0.75,67.0,,,20.0,-0.01695579109239661,False
credit_hyg_lqd_mom:lb40:lt-0.04:scale0.25,17.41981682880247,12.477506581310502,1.1013239245448139,-16.541510237607472,3178.6417722873643,-0.108811395617181,0.017152463973071574,0.0,25.316116401501354,12.659694015615337,1.2933503696932545,-13.031652429013963,854.8499074675352,-0.42285467504326135,-0.01329304155160238,-0.3076950047867246,24.055845491483872,13.335289098114412,1.1818022799516796,-12.213228977240021,193.77990589495374,-0.053070189363069176,-0.000970247685712744,-2.3092638912203256e-14,36.32788492744447,14.608925049715277,1.5359552544962203,-12.213228977239988,153.42310563396367,-0.08870294766807518,-0.002917291387763088,-3.375077994860476e-14,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,credit_mom,HYG/LQD,-0.04,0.25,304.0,,,40.0,-0.01705655199006422,False
credit_hyg_lqd_mom:lb10:lt-0.06:scale0.50,17.388236512113675,12.773182980586405,1.0770705016012174,-16.541510237607472,3159.530943686385,-0.14039171230597702,-0.007100958970524873,0.0,25.708832224947862,12.714237431448774,1.3053315693208296,-12.723957424227239,885.1943121398298,-0.030138851596753113,-0.0013118419240272239,0.0,24.10891568084694,13.35108335615013,1.1827725276373944,-12.213228977239998,194.40874212111913,0.0,1.9984014443252818e-15,0.0,36.41658787511255,14.610547013821758,1.5388725458839843,-12.213228977239954,153.91821659045468,0.0,8.881784197001252e-16,0.0,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,credit_mom,HYG/LQD,-0.06,0.5,40.0,,,10.0,-0.0189420683648318,False
credit_hyg_lqd_mom:lb10:lt-0.04:scale0.75,17.37593462860203,12.751108259759903,1.078051654654165,-16.541510237607472,3152.1152587214146,-0.15269359581762032,-0.006119805917577326,0.0,25.713433318957012,12.71420893514442,1.3055328996186686,-12.723957424227239,885.5549150902486,-0.025537757587603238,-0.0011105116261882486,0.0,24.10891568084694,13.35108335615013,1.1827725276373944,-12.213228977239998,194.40874212111913,0.0,1.9984014443252818e-15,0.0,36.41658787511255,14.610547013821758,1.5388725458839843,-12.213228977239954,153.91821659045468,0.0,8.881784197001252e-16,0.0,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,credit_mom,HYG/LQD,-0.04,0.75,81.0,,,10.0,-0.020282298271385335,False
credit_hyg_lqd_mom:lb40:lt-0.06:scale0.75,17.384337052110823,12.743303683348783,1.079085845085546,-16.541510237607472,3157.1785699443167,-0.14429117230882937,-0.005085615486196238,0.0,25.57340700495161,12.70662426740516,1.3001829263251017,-12.723957424227239,874.6336272647051,-0.1655640715930069,-0.0064604849197551495,0.0,24.10891568084694,13.35108335615013,1.1827725276373944,-12.213228977239998,194.40874212111913,0.0,1.9984014443252818e-15,0.0,36.41658787511255,14.610547013821758,1.5388725458839843,-12.213228977239954,153.91821659045468,0.0,8.881784197001252e-16,0.0,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,credit_mom,HYG/LQD,-0.06,0.75,119.0,,,40.0,-0.020414360091471028,False
vix_abs:gt35:scale0.75,17.3369652947557,12.677990699640832,1.0814199676339782,-16.541510237607472,3128.7302959088265,-0.19166292966395204,-0.0027514929377641106,0.0,25.326306010943256,12.65469629419782,1.2942503835574037,-12.723957424227239,855.6264855965064,-0.4126650656013595,-0.012393027687453095,0.0,24.167355681012136,13.288417522847421,1.1901527139175658,-12.213228977239988,195.1024512439337,0.058440000165195016,0.007380186280173451,1.0658141036401503e-14,36.334274818807955,14.61083519087008,1.5359949821869803,-12.213228977240009,153.45875039265374,-0.08231305630459218,-0.0028775636970030938,-5.5067062021407764e-14,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,vix_abs,^VIX,35.0,0.75,253.0,,,,-0.026118060295571045,False
credit_hyg_lqd_mom:lb60:lt-0.06:scale0.75,17.333538020339457,12.721685271272385,1.077956079117683,-16.541510237607472,3126.681327938181,-0.19509020408019495,-0.00621538145405931,0.0,25.4397783957238,12.68291073278142,1.296584605381293,-12.723957424227239,864.313019899752,-0.2991926808208163,-0.01005880586356378,0.0,24.10891568084694,13.35108335615013,1.1827725276373944,-12.213228977239998,194.40874212111913,0.0,1.9984014443252818e-15,0.0,36.41658787511255,14.610547013821758,1.5388725458839843,-12.213228977239954,153.91821659045468,0.0,8.881784197001252e-16,0.0,54.05389859519234,15.466896863841995,2.0008715172597666,-12.213228977239988,54.00833950665152,0.0,3.9968028886505635e-15,0.0,credit_mom,HYG/LQD,-0.06,0.75,175.0,,,60.0,-0.027833284194023346,False
