axis,param,bias_n,window,cagr,sharpe,max_dd,mom_day
mom_day,10,60.0,last_3y,21.610321039237146,0.8928293641948271,-19.208042233202132,
mom_day,10,60.0,last_5y,12.854608318496519,0.5547568842264414,-19.208042233202168,
mom_day,10,60.0,last_10y,6.96724048804116,0.28976453857774964,-38.6806713452769,
mom_day,10,60.0,full_common,12.216428685316384,0.531638841589179,-40.33694161970217,
mom_day,11,60.0,last_3y,19.530228953271056,0.8153952138513411,-20.160487132536268,
mom_day,11,60.0,last_5y,15.905851062583732,0.6860507847062247,-20.16048713253618,
mom_day,11,60.0,last_10y,9.663634210654259,0.4132569447260983,-31.210577900128644,
mom_day,11,60.0,full_common,14.852379566321172,0.6421707694053724,-32.4446549237898,
mom_day,12,60.0,last_3y,17.511287352847525,0.7250046540529532,-21.650062396252338,
mom_day,12,60.0,last_5y,17.301983004460595,0.7373134352807527,-21.650062396252384,
mom_day,12,60.0,last_10y,8.073336981149403,0.3401728890948209,-38.931358608312,
mom_day,12,60.0,full_common,10.601049936115592,0.4534302934046628,-47.510396978431174,
mom_day,13,60.0,last_3y,19.862776209274212,0.8128146758119066,-20.555579471330972,
mom_day,13,60.0,last_5y,25.15937866927389,1.051698407231169,-20.555579471330983,
mom_day,13,60.0,last_10y,15.978692178098953,0.6948068695639342,-29.54125164898947,
mom_day,13,60.0,full_common,15.494441517114144,0.6705963380849692,-35.72523943333852,
mom_day,14,60.0,last_3y,14.68824591536122,0.6095662535286346,-23.40483666311396,
mom_day,14,60.0,last_5y,20.54488091372686,0.8685411128725339,-23.404836663113958,
mom_day,14,60.0,last_10y,18.529090786197465,0.8057283156042464,-26.17888749325936,
mom_day,14,60.0,full_common,17.786139315659533,0.7702716555661359,-35.87725189421196,
mom_day,15,60.0,last_3y,19.317703074339,0.8073096928964555,-24.941317136477444,
mom_day,15,60.0,last_5y,24.597859497930386,1.0385594942822678,-24.94131713647739,
mom_day,15,60.0,last_10y,20.956476461368002,0.9106320690081275,-26.516053184318018,
mom_day,15,60.0,full_common,19.294026583473766,0.8360187392023168,-33.67566075348015,
mom_day,16,60.0,last_3y,14.46461450520009,0.6066347327287008,-28.812340125522894,
mom_day,16,60.0,last_5y,22.691407274743945,0.9541632224673471,-28.81234012552279,
mom_day,16,60.0,last_10y,21.428625908038,0.9241446617138599,-28.812340125522816,
mom_day,16,60.0,full_common,19.85721816401327,0.8582652913014275,-31.463751484154333,
mom_day,17,60.0,last_3y,22.734918845245076,0.9388278507976797,-26.128657675385895,
mom_day,17,60.0,last_5y,28.902710724488824,1.1918405903903802,-26.12865767538582,
mom_day,17,60.0,last_10y,26.4742155988684,1.1255184661245299,-26.128657675385885,
mom_day,17,60.0,full_common,25.714607928489762,1.097953465597544,-32.152962604158105,
mom_day,18,60.0,last_3y,21.681772900899475,0.9102164057932037,-25.076268850510218,
mom_day,18,60.0,last_5y,27.969652682656676,1.1717948590732365,-25.07626885051028,
mom_day,18,60.0,last_10y,24.716264173675782,1.0627420069474598,-25.076268850510264,
mom_day,18,60.0,full_common,23.986684697764904,1.0369248069529897,-34.74395546350097,
mom_day,19,60.0,last_3y,23.212648722529885,0.9430349378081087,-21.749676142445544,
mom_day,19,60.0,last_5y,26.55694910079669,1.0960662673130155,-21.749676142445566,
mom_day,19,60.0,last_10y,24.795459668330942,1.0490118280755385,-21.7496761424455,
mom_day,19,60.0,full_common,22.85608243243178,0.9771623593346092,-35.2886985126743,
mom_day,20,60.0,last_3y,33.612982170554815,1.320319439176039,-17.372280746014805,
mom_day,20,60.0,last_5y,35.49019594887844,1.422466834799273,-17.372280746014855,
mom_day,20,60.0,last_10y,34.63692242855912,1.4279571017162762,-20.001780246453684,
mom_day,20,60.0,full_common,31.44947609091162,1.319936415339003,-31.65327882042654,
mom_day,21,60.0,last_3y,24.009460230820956,0.9759556570194076,-26.757974447375453,
mom_day,21,60.0,last_5y,27.459399673970776,1.1313811677132792,-26.757974447375517,
mom_day,21,60.0,last_10y,28.0078824532241,1.176248377002851,-26.757974447375453,
mom_day,21,60.0,full_common,25.54326381481942,1.0875188827016888,-40.725140014022145,
mom_day,22,60.0,last_3y,25.36882102118374,1.024991009352279,-26.706225269020027,
mom_day,22,60.0,last_5y,27.253874776442053,1.125067505796863,-26.70622526901995,
mom_day,22,60.0,last_10y,27.39974748700693,1.1485635166458976,-26.706225269019967,
mom_day,22,60.0,full_common,23.52256339095664,1.0051533353808533,-38.306628011140994,
mom_day,23,60.0,last_3y,25.83290789532109,1.0453057490166804,-25.91871249344476,
mom_day,23,60.0,last_5y,30.242596541850265,1.2417042299444323,-25.918712493444772,
mom_day,23,60.0,last_10y,30.54045289952503,1.2751885743452043,-25.91871249344467,
mom_day,23,60.0,full_common,24.504297226798165,1.0476779916650933,-37.38127809263306,
mom_day,24,60.0,last_3y,27.046282348095787,1.0762476357387423,-24.858743949199273,
mom_day,24,60.0,last_5y,28.53987373511533,1.1716987830648258,-24.858743949199262,
mom_day,24,60.0,last_10y,30.93419335459373,1.2926018959867998,-24.858743949199226,
mom_day,24,60.0,full_common,24.054474968512316,1.0278079397773698,-37.58616554793884,
mom_day,25,60.0,last_3y,29.06098412663287,1.1449696501689777,-28.67773132480759,
mom_day,25,60.0,last_5y,28.517515022248464,1.1641741725364512,-28.677731324807613,
mom_day,25,60.0,last_10y,30.246953549321276,1.257518550727722,-28.677731324807574,
mom_day,25,60.0,full_common,23.538278772640385,1.0005639213618343,-36.287505043933564,
mom_day,26,60.0,last_3y,26.78744411502474,1.0507788408668743,-31.576680140110515,
mom_day,26,60.0,last_5y,25.0757170993261,1.027226232125585,-31.576680140110547,
mom_day,26,60.0,last_10y,26.14567175617801,1.0848660491737776,-31.57668014011054,
mom_day,26,60.0,full_common,21.151954546906104,0.8960012430125901,-35.81002076861518,
mom_day,27,60.0,last_3y,30.442403543261353,1.1887862188488936,-26.104422695708685,
mom_day,27,60.0,last_5y,25.4355528263444,1.0464250376705768,-26.104422695708724,
mom_day,27,60.0,last_10y,26.03511327345196,1.084414384747933,-26.104422695708735,
mom_day,27,60.0,full_common,20.876327812858285,0.888474002730093,-34.208693606839304,
mom_day,28,60.0,last_3y,36.84513746151532,1.4082804816461696,-19.973847290916954,
mom_day,28,60.0,last_5y,31.03348204307523,1.2571273720202847,-19.9738472909169,
mom_day,28,60.0,last_10y,27.49680070281788,1.1428546438939866,-22.977656584230317,
mom_day,28,60.0,full_common,21.351246335660257,0.9126488187682849,-36.15255085059205,
mom_day,29,60.0,last_3y,36.88274704227605,1.4204859992444487,-22.220780566233366,
mom_day,29,60.0,last_5y,32.94686538166154,1.3316259172910836,-22.220780566233366,
