ma_window,slope_window,segment,start,end,rows,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,total_return,final_nav,mode,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days
60,20,last_1y,2025-05-06,2026-04-30,242,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,0.9822738796720243,1.9822738796720243,formal,20,0.2,1.0,0.5,
60,20,last_3y,2023-05-04,2026-04-30,726,0.6582185910716009,0.21752045581019885,0.41414659386635067,0.197938451048634,1.8560835042967794,-0.12560890459781893,3.297111738951841,1.817981762305354,2.817981762305354,formal,20,0.2,1.0,0.5,
60,20,last_5y,2021-05-06,2026-04-30,1210,0.7513361133206465,0.2327850007588466,0.32037086288077465,0.18848978679160946,1.5744367185164818,-0.17500188062450217,1.830670971863369,2.9940579662171336,3.9940579662171336,formal,20,0.2,1.0,0.5,
60,20,last_10y,2016-05-04,2026-04-30,2428,0.7653910830018829,0.24772536548632548,0.2806855407097073,0.19331929378355486,1.3807426476641411,-0.2023197493199591,1.387336340881959,10.833176312939525,11.833176312939525,formal,20,0.2,1.0,0.5,
60,20,full_common,2010-09-29,2026-04-30,3785,0.7674075681625999,0.24814470289522075,0.3010775655464881,0.21599226817198716,1.3323678263289238,-0.3190485434449005,0.9436732175474859,59.43428149523259,60.43428149523259,formal,20,0.2,1.0,0.5,
60,20,last_1y,2025-05-06,2026-04-30,242,0.7592975206611571,0.1828512396694215,0.9321275477133095,0.20401949396244978,3.303719076233144,-0.08685921588844325,10.731475505264497,0.910474616647653,1.910474616647653,formal,20,0.2,1.0,0.5,0.0
60,20,last_3y,2023-05-04,2026-04-30,726,0.6571604513263176,0.22255866206855693,0.44428290006916793,0.2583227326544134,1.5489030843330966,-0.1569937283767019,2.8299404356021407,2.0013570796099636,3.0013570796099636,formal,20,0.2,1.0,0.5,0.0
60,20,last_5y,2021-05-06,2026-04-30,1210,0.7634078410437244,0.23766742864609283,0.3464260057853421,0.23066112333261282,1.404280200369257,-0.2006213336213022,1.7267655414915366,3.4025261233265702,4.40252612332657,formal,20,0.2,1.0,0.5,0.0
60,20,last_10y,2016-05-04,2026-04-30,2428,0.786451725432833,0.25224744272707594,0.27847225591594094,0.21630934638933041,1.2446786102692844,-0.23981583967860642,1.1611920892679175,10.63050591709569,11.63050591709569,formal,20,0.2,1.0,0.5,0.0
60,20,full_common,2010-09-29,2026-04-30,3785,0.7889123280160706,0.252290800478182,0.2970752265597687,0.2299365448903937,1.2497855125640007,-0.3194124910392523,0.930067655128933,56.60123641326133,57.60123641326133,formal,20,0.2,1.0,0.5,0.0
60,20,last_1y,2025-05-06,2026-04-30,242,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,0.9822738796720243,1.9822738796720243,formal,20,0.2,1.0,0.5,3.0
60,20,last_3y,2023-05-04,2026-04-30,726,0.6654496378965999,0.21752089174332595,0.41445359844550667,0.19793912828966825,1.857181462721453,-0.12560890459781893,3.2995558696457516,1.819811188145926,2.819811188145926,formal,20,0.2,1.0,0.5,3.0
60,20,last_5y,2021-05-06,2026-04-30,1210,0.7606334191015963,0.23278526231872285,0.3263179711108726,0.18894444286324674,1.5950202896763617,-0.17500188062450095,1.8646540822669695,3.08450636679163,4.08450636679163,formal,20,0.2,1.0,0.5,3.0
60,20,last_10y,2016-05-04,2026-04-30,2428,0.772631511008039,0.248276427539307,0.28156993153948573,0.1936563891351637,1.382256070982616,-0.20261598473697084,1.3896728429645382,10.91504461509542,11.91504461509542,formal,20,0.2,1.0,0.5,3.0
60,20,full_common,2010-09-29,2026-04-30,3785,0.7742333018488543,0.24843352136179797,0.2998163765069921,0.21628572857106684,1.3263515437734488,-0.319036249223685,0.9397564610182672,58.52778129567375,59.52778129567375,formal,20,0.2,1.0,0.5,3.0
60,20,last_1y,2025-05-06,2026-04-30,242,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,0.9822738796720243,1.9822738796720243,formal,20,0.2,1.0,0.5,5.0
60,20,last_3y,2023-05-04,2026-04-30,726,0.6623503843343509,0.21752074681197478,0.41434014355888515,0.19793933862904445,1.8567718859216156,-0.12560890459781893,3.2986526304447987,1.8191350237676565,2.8191350237676565,formal,20,0.2,1.0,0.5,5.0
60,20,last_5y,2021-05-06,2026-04-30,1210,0.7550548586997841,0.23278517535991214,0.31999457239995865,0.18848547338510344,1.5729473400296388,-0.17500188062450128,1.8285207636514824,2.9883893592292106,3.9883893592292106,formal,20,0.2,1.0,0.5,5.0
60,20,last_10y,2016-05-04,2026-04-30,2428,0.7675532254684218,0.24772545249921232,0.2804582223043799,0.1933172612494277,1.3798325901806328,-0.2023197493199591,1.3862127807446445,10.812215329842552,11.812215329842552,formal,20,0.2,1.0,0.5,5.0
60,20,full_common,2010-09-29,2026-04-30,3785,0.7695871406616109,0.24814475871220604,0.30133118179619456,0.21599911569750627,1.3332400335380539,-0.3190485434449005,0.9444681318478868,59.61812543975228,60.61812543975228,formal,20,0.2,1.0,0.5,5.0
60,20,last_1y,2025-05-06,2026-04-30,242,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,0.9822738796720243,1.9822738796720243,formal,20,0.2,1.0,0.5,10.0
