switch_buffer,entry_fraction,entry_wait_days,cagr_last_1y,max_dd_last_1y,sharpe_last_1y,calmar_last_1y,avg_weight_last_1y,avg_turnover_last_1y,cagr_last_3y,max_dd_last_3y,sharpe_last_3y,calmar_last_3y,avg_weight_last_3y,avg_turnover_last_3y,cagr_last_5y,max_dd_last_5y,sharpe_last_5y,calmar_last_5y,avg_weight_last_5y,avg_turnover_last_5y,cagr_last_10y,max_dd_last_10y,sharpe_last_10y,calmar_last_10y,avg_weight_last_10y,avg_turnover_last_10y,cagr_full_common,max_dd_full_common,sharpe_full_common,calmar_full_common,avg_weight_full_common,avg_turnover_full_common,recent_weighted_sharpe,mean_recent_cagr,worst_recent_max_dd
1.06,0.5,3.0,1.0103956683248088,-0.0718245032646101,3.549125984431856,14.067562216231272,0.7453512396694215,0.1797520661157025,0.4457054526843522,-0.1279218619522163,1.9690890884519625,3.484200791658584,0.6568023402578989,0.1943574616858188,0.3421195481788073,-0.1771841826602936,1.653549722473093,1.9308695790003776,0.7554450405183757,0.2139285265982681,0.2916901010260018,-0.1987604802000584,1.4208876189253663,1.4675457652970394,0.7686019346493715,0.2347052454179931,0.3077776760759956,-0.326927533732199,1.354358863314502,0.941424763348657,0.7703858735213511,0.2336286890506701,2.0134256243273527,0.5224776925534925,-0.1987604802000584
1.03,0.5,3.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.00676027930724,0.7453512396694215,0.1797520661157025,0.4427499708810429,-0.1279218619522163,1.95867125253324,3.461096986271407,0.6568023402578986,0.1943574616858188,0.3436630706295651,-0.1771841826602925,1.6620902252896952,1.9395809799143031,0.7554450405183757,0.2188872042842185,0.2933352065094494,-0.198760480200059,1.427573771933105,1.4758225891495025,0.7694152353755231,0.238567424190326,0.310546724169632,-0.325237900431466,1.364668044910346,0.9548294456385789,0.7711417715306775,0.2378561711179929,2.011910059930865,0.5214442118569428,-0.198760480200059
1.06,0.5,10.0,1.0103956683248088,-0.0718245032646101,3.549125984431856,14.067562216231272,0.7453512396694215,0.1797520661157025,0.4453916578796202,-0.1279218619522163,1.967990169909731,3.481747772292361,0.6495712902930443,0.1943570126426295,0.3361015829671594,-0.1771841826602923,1.6331479294207183,1.896905118283344,0.7461477328535125,0.2139282571723546,0.2907987274734862,-0.1984628124280322,1.4194388754303178,1.4652555000899097,0.7613615039622519,0.2341541787530505,0.3081202865126198,-0.3269411434732751,1.3571059570260628,0.9424335011472984,0.7632385719012229,0.2329865842696611,2.005683063744983,0.5206719091612686,-0.1984628124280322
1.06,0.5,,1.0103956683248088,-0.0718245032646101,3.549125984431856,14.067562216231272,0.7453512396694215,0.1797520661157025,0.4453916578796202,-0.1279218619522163,1.967990169909731,3.481747772292361,0.6495712902930443,0.1943570126426295,0.3361015829671594,-0.1771841826602923,1.6331479294207183,1.896905118283344,0.7461477328535125,0.2139282571723546,0.2907987274734862,-0.1984628124280322,1.4194388754303178,1.4652555000899097,0.7613615039622519,0.2341541787530505,0.3081202865126198,-0.3269411434732751,1.3571059570260628,0.9424335011472984,0.7632385719012229,0.2329865842696611,2.005683063744983,0.5206719091612686,-0.1984628124280322
1.06,0.5,5.0,1.0103956683248088,-0.0718245032646101,3.549125984431856,14.067562216231272,0.7453512396694215,0.1797520661157025,0.4455895095777371,-0.1279218619522163,1.9686789199146464,3.483294432848247,0.6537030844068712,0.1943573125645715,0.3357208236017941,-0.1771841826602934,1.6316637099759983,1.8947561715791257,0.7498664787432963,0.2139284371255197,0.290569620843244,-0.1984628124280322,1.4185305695544304,1.4641010942471255,0.7635236466832725,0.2341542684331699,0.3083752800289026,-0.3269411434732743,1.3579772087948048,0.9432134382135684,0.7654181445634787,0.2329866417976214,2.0052684035596684,0.520568905586896,-0.1984628124280322
1.03,0.5,10.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.00676027930724,0.7453512396694215,0.1797520661157025,0.4424368175727071,-0.1279218619522163,1.957572403012051,3.458648981657053,0.6495712902930443,0.1943570126426295,0.3376381843769225,-0.1771841826602938,1.6416806459718938,1.9055774579171043,0.7461477328535125,0.218886934858305,0.2924426978401615,-0.1984628124280308,1.4261365514091282,1.473539018531297,0.7621748045011207,0.2380163574600542,0.3118486500844224,-0.3252515443374694,1.3708149275376331,0.9587922194793927,0.7643187354006866,0.2375901719717381,2.004166526758622,0.5196365747993762,-0.1984628124280308
1.03,0.5,,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.00676027930724,0.7453512396694215,0.1797520661157025,0.4424368175727071,-0.1279218619522163,1.957572403012051,3.458648981657053,0.6495712902930443,0.1943570126426295,0.3376381843769225,-0.1771841826602938,1.6416806459718938,1.9055774579171043,0.7461477328535125,0.218886934858305,0.2924426978401615,-0.1984628124280308,1.4261365514091282,1.473539018531297,0.7621748045011207,0.2380163574600542,0.3118486500844224,-0.3252515443374694,1.3708149275376331,0.9587922194793927,0.7643187354006866,0.2375901719717381,2.004166526758622,0.5196365747993762,-0.1984628124280308
1.03,0.5,5.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.00676027930724,0.7453512396694215,0.1797520661157025,0.442634264799018,-0.1279218619522163,1.9582611340680909,3.4601924803467816,0.6537030844068712,0.1943573125645715,0.3372569871141808,-0.1771841826602932,1.640194154386668,1.9034260397881424,0.7498664787432963,0.2188871148114701,0.292213299418099,-0.1984628124280308,1.4252282269480283,1.4723831424290894,0.7643369472221414,0.2380164471401736,0.3121043703752593,-0.3252515443374687,1.3716861549287,0.9595784426204956,0.7664983080629424,0.2375902294996985,2.003751061904242,0.5195332876847529,-0.1984628124280308
1.1,0.5,3.0,0.9908564849763272,-0.0718245032646101,3.5114035068818072,13.795521583015937,0.7453512396694215,0.1859504132231405,0.4332412506879037,-0.136708344324431,1.9026620984611649,3.1690914905658736,0.6743643237289733,0.1943574616858188,0.3371121565643682,-0.1830470278130087,1.6216696201920524,1.8416696550175309,0.7659822306010203,0.2139285265982681,0.2893630042028965,-0.1987604802000575,1.408454365739227,1.4558377194080292,0.7748465600232898,0.2328531374295136,0.3091645784992209,-0.3272712290174927,1.358825989639202,0.9446738701332528,0.7757793184861466,0.2317006770509458,1.971494782421781,0.5126432241078739,-0.1987604802000575
1.1,0.5,10.0,0.9908564849763272,-0.0718245032646101,3.5114035068818072,13.795521583015937,0.7453512396694215,0.1859504132231405,0.4329301612764638,-0.136708344324431,1.9015775178023648,3.1668159205340856,0.6671332737641188,0.1943570126426295,0.3311166441279418,-0.1830470278130099,1.6013340525786706,1.808915709170602,0.7566849229361572,0.2139282571723546,0.2883132547520204,-0.1984628124280294,1.406181093521825,1.4527318807223613,0.7676031378777433,0.2328679270625095,0.3146673323309741,-0.3272845308990113,1.383362558134509,0.961448839230564,0.7693073742687327,0.2318939816216794,1.9636567396939073,0.5108041362831883,-0.1984628124280294
