mode,ma_window,slope_window,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,start,end,rows,cagr,max_dd,sharpe,calmar,avg_weight,avg_turnover
formal,60,20,20,0.2,1.0,0.5,,2016-05-04,2026-04-30,2428,0.2806855407097073,-0.2023197493199591,1.3807426476641411,1.387336340881959,0.7653910830018829,0.24772536548632548
formal,60,20,20,0.2,1.0,0.5,0.0,2016-05-04,2026-04-30,2428,0.27847225591594094,-0.23981583967860642,1.2446786102692844,1.1611920892679175,0.786451725432833,0.25224744272707594
formal,60,20,20,0.2,1.0,0.5,3.0,2016-05-04,2026-04-30,2428,0.28156993153948573,-0.20261598473697084,1.382256070982616,1.3896728429645382,0.772631511008039,0.248276427539307
formal,60,20,20,0.2,1.0,0.5,5.0,2016-05-04,2026-04-30,2428,0.2804582223043799,-0.2023197493199591,1.3798325901806328,1.3862127807446445,0.7675532254684218,0.24772545249921232
formal,60,20,20,0.2,1.0,0.5,10.0,2016-05-04,2026-04-30,2428,0.2806855407097073,-0.2023197493199591,1.3807426476641411,1.387336340881959,0.7653910830018829,0.24772536548632548
formal,60,20,20,0.2,1.0,1.0,,2016-05-04,2026-04-30,2428,0.29449495530381053,-0.23987311235265285,1.2735431227910985,1.2277114029806502,0.8136477658664332,0.25980769298300044
formal,60,20,20,0.2,1.03,0.5,,2016-05-04,2026-04-30,2428,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,0.7621748045011207,0.23801635746005426
formal,60,20,20,0.2,1.03,0.5,0.0,2016-05-04,2026-04-30,2428,0.2889761009999552,-0.2357214881619829,1.2808275282790933,1.2259217572959527,0.7834649638918618,0.24239185497169702
formal,60,20,20,0.2,1.03,0.5,3.0,2016-05-04,2026-04-30,2428,0.29333520650944944,-0.198760480200059,1.427573771933105,1.4758225891495023,0.7694152353755231,0.23856742419032606
formal,60,20,20,0.2,1.03,0.5,5.0,2016-05-04,2026-04-30,2428,0.29221329941809904,-0.19846281242803088,1.4252282269480283,1.4723831424290894,0.7643369472221414,0.23801644714017361
formal,60,20,20,0.2,1.03,0.5,10.0,2016-05-04,2026-04-30,2428,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,0.7621748045011207,0.23801635746005426
formal,60,20,20,0.2,1.03,1.0,,2016-05-04,2026-04-30,2428,0.30511500342205844,-0.2352048267420498,1.3086197306421672,1.297231046013692,0.8106669177965697,0.2496577789422229
formal,60,20,20,0.2,1.06,0.5,,2016-05-04,2026-04-30,2428,0.29079872747348623,-0.1984628124280322,1.4194388754303178,1.4652555000899095,0.7613615039622519,0.23415417875305056
formal,60,20,20,0.2,1.06,0.5,0.0,2016-05-04,2026-04-30,2428,0.2873413589373439,-0.2357214881619839,1.274872754175204,1.2189866998459118,0.7826378382559518,0.23852970615906977
formal,60,20,20,0.2,1.06,0.5,3.0,2016-05-04,2026-04-30,2428,0.2916901010260018,-0.19876048020005843,1.4208876189253665,1.4675457652970394,0.7686019346493715,0.23470524541799312
formal,60,20,20,0.2,1.06,0.5,5.0,2016-05-04,2026-04-30,2428,0.290569620843244,-0.1984628124280322,1.4185305695544304,1.4641010942471255,0.7635236466832725,0.23415426843316992
formal,60,20,20,0.2,1.06,0.5,10.0,2016-05-04,2026-04-30,2428,0.29079872747348623,-0.1984628124280322,1.4194388754303178,1.4652555000899095,0.7613615039622519,0.23415417875305056
formal,60,20,20,0.2,1.06,1.0,,2016-05-04,2026-04-30,2428,0.30345274381598153,-0.235204826742049,1.3027740397862269,1.2901637607496064,0.8098350237722352,0.24579794648062162
formal,60,20,20,0.2,1.1,0.5,,2016-05-04,2026-04-30,2428,0.2883132547520204,-0.19846281242802943,1.406181093521825,1.4527318807223613,0.7676031378777433,0.23286792706250958
formal,60,20,20,0.2,1.1,0.5,0.0,2016-05-04,2026-04-30,2428,0.28521485017858805,-0.23572148816198468,1.2652262233261222,1.209965423188709,0.7888814045487544,0.23606161575009801
formal,60,20,20,0.2,1.1,0.5,3.0,2016-05-04,2026-04-30,2428,0.2893630042028965,-0.19876048020005754,1.408454365739227,1.4558377194080292,0.7748465600232898,0.2328531374295136
formal,60,20,20,0.2,1.1,0.5,5.0,2016-05-04,2026-04-30,2428,0.2880845892736539,-0.19846281242802943,1.405275095716856,1.4515796977235969,0.769765280598764,0.232868016742629
formal,60,20,20,0.2,1.1,0.5,10.0,2016-05-04,2026-04-30,2428,0.2883132547520204,-0.19846281242802943,1.406181093521825,1.4527318807223613,0.7676031378777433,0.23286792706250958
formal,60,20,20,0.2,1.1,1.0,,2016-05-04,2026-04-30,2428,0.3012973484488948,-0.23520482674204946,1.2933799635083927,1.280999852861563,0.8160800179570524,0.24333138849799307
