rank_by_sharpe,rule,target_vol,vol_window,max_lev,signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio,avg_weight,max_weight
1,r2_plus_target_vol,0.1,120.0,1.5,orig_r2_tv10_w120_max1p5,FULL_COMMON,2010-06-01,2026-05-08,3868,6.708222658249365,0.13674548298355105,0.12305882460563977,1.1075325324096763,-0.2100221817043495,2018-10-11,335.27010290885516,2361,1560,0.40330920372285417,0.35509171499249803,1.3623606356538123
2,r2_plus_target_vol,0.1,120.0,1.0,orig_r2_tv10_w120_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,6.2821522293139305,0.13269625985940348,0.1202015152559498,1.101365405914644,-0.21010956232862454,2018-10-11,330.1601448918558,2264,1560,0.40330920372285417,0.35143555141035854,1.0
3,r2_plus_target_vol,0.2,40.0,1.0,orig_r2_tv20_w40_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,15.199177897894184,0.19098155610148315,0.176976629418999,1.0808387955820038,-0.27252258799955764,2016-06-13,505.78363865458834,1063,1560,0.40330920372285417,0.5479881879472759,1.0
4,r2_plus_target_vol,0.15,60.0,1.0,orig_r2_tv15_w60_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,11.32065057713338,0.17070020309510414,0.15811701101840805,1.080527900523515,-0.26574655829037575,2018-10-11,463.0723824206633,1694,1560,0.40330920372285417,0.4933566485683012,1.0
5,r2_plus_target_vol,0.1,60.0,1.0,orig_r2_tv10_w60_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,5.980887012907665,0.12969684480589438,0.12050247641367562,1.076906759144047,-0.20819930411191,2018-10-11,369.10176614162276,2233,1560,0.40330920372285417,0.37079042660461986,1.0
6,r2_plus_target_vol,0.2,120.0,1.0,orig_r2_tv20_w120_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,15.842199873964198,0.1938946559425352,0.18196212881482915,1.0693342622463815,-0.2698124587437334,2018-10-11,492.17714580498557,1136,1560,0.40330920372285417,0.5487750050929894,1.0
7,r2_plus_target_vol,0.15,40.0,1.0,orig_r2_tv15_w40_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,10.518987007081082,0.16576752628456637,0.15560729849180266,1.0682348763190663,-0.26449795045586744,2018-10-11,469.5487722613887,1631,1560,0.40330920372285417,0.49219756548387417,1.0
8,r2_plus_target_vol,0.2,60.0,1.0,orig_r2_tv20_w60_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,15.358979992350754,0.1917154988499783,0.18084494670431506,1.0647975107800618,-0.2698124587437334,2018-10-11,504.0364809871071,1053,1560,0.40330920372285417,0.5524438245775579,1.0
9,r2_plus_target_vol,0.25,40.0,1.0,orig_r2_tv25_w40_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,17.25686097312209,0.1999530158854621,0.19017108230544835,1.0581105916013818,-0.30829441011195824,2016-06-13,523.5576651189238,765,1560,0.40330920372285417,0.5724859670326482,1.0
10,r2_plus_target_vol,0.25,60.0,1.0,orig_r2_tv25_w60_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,17.713573514278906,0.20181514037563697,0.19225589213592484,1.0567590298149543,-0.30424887360130626,2016-06-13,522.6621468489761,750,1560,0.40330920372285417,0.576411474871782,1.0
11,r2_plus_target_vol,0.15,120.0,1.0,orig_r2_tv15_w120_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,10.69094982647205,0.16685215148039934,0.15890778316402762,1.05486264769545,-0.26981245874373405,2018-10-11,440.7817190821629,1824,1560,0.40330920372285417,0.48125582110391396,1.0
12,r2_plus_target_vol,0.25,120.0,1.0,orig_r2_tv25_w120_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,17.333808589360665,0.20026978603425194,0.19306567271887082,1.0464586723191458,-0.3094347642123927,2016-06-13,516.9844252820513,679,1560,0.40330920372285417,0.576249726078798,1.0
13,r2_plus_target_vol,0.2,80.0,1.0,orig_r2_tv20_w80_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,14.714146626106459,0.18871159088459954,0.18205498516608198,1.0448581782712678,-0.2698124587437333,2018-10-11,502.5113517248225,1121,1560,0.40330920372285417,0.5527441751013443,1.0
14,r2_plus_target_vol,0.3,60.0,1.0,orig_r2_tv30_w60_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,18.525314073760708,0.20502208121057253,0.19839353987108643,1.043662745362939,-0.3304821105911101,2016-06-13,530.6341162898452,563,1560,0.40330920372285417,0.5867736621699817,1.0
15,r2_plus_target_vol,0.3,40.0,1.0,orig_r2_tv30_w40_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,18.217745909947848,0.20382193967121953,0.1976452227478931,1.0417941557816628,-0.34256390483694565,2016-06-13,531.5732633302605,631,1560,0.40330920372285417,0.5845361450154013,1.0
16,r2_plus_target_vol,0.25,80.0,1.0,orig_r2_tv25_w80_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,17.106392338560077,0.19932994934719095,0.19343096579510471,1.0407548076446147,-0.29536781783687704,2016-06-13,522.1896496128834,721,1560,0.40330920372285417,0.5787811120951168,1.0
17,r2_plus_target_vol,0.1,40.0,1.0,orig_r2_tv10_w40_max1p0,FULL_COMMON,2010-06-01,2026-05-08,3868,5.615697535376234,0.12589389996507516,0.12157386141735478,1.0406193569232798,-0.22895817621571912,2018-10-11,385.1387699908448,2135,1560,0.40330920372285417,0.3777621064193438,1.0
