date,portfolio_return,portfolio_nav
2011-12-09,-0.0010802418334661102,0.9989197581665339
2011-12-12,-0.0030759018078938055,0.9958471790764486
2011-12-13,-0.0025691207980462647,0.9932887273770076
2011-12-14,-0.0034586180087852955,0.989853321096578
2011-12-15,-0.00373193423688856,0.9861592535980798
2011-12-16,0.0008154547369986845,0.9869634218328615
2011-12-19,0.00035744950948771517,0.987316211423878
2011-12-20,-0.002046772896448895,0.985295399362111
2011-12-21,-0.0005098859638978598,0.984793011067683
2011-12-22,0.0025354763269823197,0.9872899304342228
2011-12-23,-0.00072546999672845,0.9865736812116207
2011-12-26,-0.0015963383556789799,0.9849987758035992
2011-12-27,0.002432107882902005,0.9873943990908799
2011-12-28,0.0008554091393563198,0.9882390252840114
2011-12-29,0.000194128144270015,0.9884308702920851
2011-12-30,-0.00014030187303548983,0.988292191589617
2012-01-03,0.00029741658671456,0.9885861260799161
2012-01-04,0.0010742686812944251,0.9896481331939259
2012-01-05,0.007801055083188845,0.9973684327939467
2012-01-06,0.000926784486016425,0.9982927783843026
2012-01-09,-0.00255160703241584,0.9957455275105673
2012-01-10,0.0007058539993664801,0.996448378473512
2012-01-11,0.0009824885989431602,0.9974273776447976
2012-01-12,0.00204542824437362,0.9994675437747438
2012-01-13,0.005348789170963255,1.0048134849496153
2012-01-16,0.00254676115659637,1.0073725049027091
2012-01-17,0.009961632970061127,1.017407580060681
2012-01-18,-5.3968020329574554e-05,1.0173526725877169
2012-01-19,0.0029081473366883146,1.0203112840529756
2012-01-20,0.00219702783114636,1.0225529363404726
2012-01-23,0.00054805569480196,1.0231133523004703
2012-01-24,-0.00115025804538752,1.0219365079356433
2012-01-25,0.006639882455434041,1.0287220462252529
2012-01-26,0.0012300841063486,1.029987460864165
2012-01-27,0.0031335052982520806,1.0332149320299162
2012-01-30,-0.0010623265819564751,1.0321173203427465
2012-01-31,0.004391072839216675,1.0366494226749887
2012-02-01,0.00013158310757537483,1.0367858282274907
2012-02-02,0.00432683575991555,1.041271830224439
2012-02-03,0.0003848752490218648,1.0416725899793962
2012-02-06,-0.0011468198807027053,1.0404779791440246
2012-02-07,-0.0013912457818475096,1.0390304185444352
2012-02-08,0.004938741021353741,1.0441619206949349
2012-02-09,0.0031795088811717,1.0474818427951658
2012-02-10,0.00014726661132011005,1.0476361018965734
2012-02-13,0.008576636749117185,1.0566212961878014
2012-02-14,0.0024873716982275447,1.0592495060956832
2012-02-15,0.005142718651453481,1.0646969282872243
