scenario,segment,start,end,rows,annual_return,annual_vol,sharpe,max_dd,total_return,dynamic_sleeve,absorber,avg_dynamic_sleeve,latest_dynamic_sleeve,latest_absorber,rebalance_count,allocation_turnover
fixed_10_15_15_20_40,full,2011-12-09,2026-05-12,3745,0.30427827393127016,0.0928556519656628,3.27689556305942,-0.0787456597553603,45.130166694485126,,,,,0.4,0,0.0
fixed_10_15_15_20_40,last_10y,2016-05-12,2026-05-12,2596,0.3396487570205373,0.09631139208140416,3.5265688687529297,-0.06775769982909119,17.609538945122356,,,,,0.4,0,0.0
fixed_10_15_15_20_40,last_5y,2021-05-12,2026-05-12,1300,0.383593767067099,0.0992816428945911,3.8636927823038407,-0.06775769982909119,4.069282210467555,,,,,0.4,0,0.0
fixed_10_15_15_20_40,last_3y,2023-05-12,2026-05-12,779,0.5150233634025867,0.10753202312344984,4.7894882700321295,-0.06775769982909097,2.478415686481854,,,,,0.4,0,0.0
fixed_10_15_15_20_40,last_1y,2025-05-12,2026-05-12,260,0.5924240360157076,0.11424917543669727,5.185368154748351,-0.05504733233230308,0.5919170071855178,,,,,0.4,0,0.0
advisory_suba_dd_3_10_month_end,full,2011-12-09,2026-05-12,3745,0.3099129457493377,0.09419989349803447,3.2899500651325493,-0.0748961566651849,48.089362085364066,Sub-A,Sub-B,0.1023898531375167,0.15000000000000002,0.35,47,5.3000000000000025
advisory_suba_dd_3_10_month_end,last_10y,2016-05-12,2026-05-12,2596,0.3459167395919618,0.09766039347193226,3.5420371277879275,-0.06775769982909163,18.49868529426544,Sub-A,Sub-B,0.1023898531375167,0.15000000000000002,0.35,47,5.3000000000000025
advisory_suba_dd_3_10_month_end,last_5y,2021-05-12,2026-05-12,1300,0.38658378814748984,0.10038896607877838,3.8508593448818407,-0.06775769982909174,4.124286861814463,Sub-A,Sub-B,0.1023898531375167,0.15000000000000002,0.35,47,5.3000000000000025
advisory_suba_dd_3_10_month_end,last_3y,2023-05-12,2026-05-12,779,0.532691220331551,0.10907507224057325,4.883711826994353,-0.06775769982909174,2.6015624172461433,Sub-A,Sub-B,0.1023898531375167,0.15000000000000002,0.35,47,5.3000000000000025
advisory_suba_dd_3_10_month_end,last_1y,2025-05-12,2026-05-12,260,0.618902650235367,0.11356246518320459,5.449887418672381,-0.05099319617668108,0.6183689230448675,Sub-A,Sub-B,0.1023898531375167,0.15000000000000002,0.35,47,5.3000000000000025
advisory_subadk_dd_3_10_month_end,full,2011-12-09,2026-05-12,3745,0.30432543736955653,0.09350456755469702,3.254658519131019,-0.08714993022159856,45.15423143407853,Sub-A-DK,Sub-B,0.1534045393858478,0.09999999999999999,0.45,74,7.900000000000004
advisory_subadk_dd_3_10_month_end,last_10y,2016-05-12,2026-05-12,2596,0.33761920210847696,0.09684685796650089,3.4861141517390135,-0.06672851311600903,17.32955859180065,Sub-A-DK,Sub-B,0.1534045393858478,0.09999999999999999,0.45,74,7.900000000000004
advisory_subadk_dd_3_10_month_end,last_5y,2021-05-12,2026-05-12,1300,0.38028749947578966,0.09906540216445814,3.838751886803787,-0.06672851311600914,4.009010824582142,Sub-A-DK,Sub-B,0.1534045393858478,0.09999999999999999,0.45,74,7.900000000000004
advisory_subadk_dd_3_10_month_end,last_3y,2023-05-12,2026-05-12,779,0.5097918329179005,0.10725572124870315,4.753050252077481,-0.06672851311600914,2.4424978473447654,Sub-A-DK,Sub-B,0.1534045393858478,0.09999999999999999,0.45,74,7.900000000000004
advisory_subadk_dd_3_10_month_end,last_1y,2025-05-12,2026-05-12,260,0.5981045151293416,0.11505573382657239,5.19838946949733,-0.05541300106395264,0.5975917838733151,Sub-A-DK,Sub-B,0.1534045393858478,0.09999999999999999,0.45,74,7.900000000000004
advisory_microcap_dd_3_10_month_end,full,2011-12-09,2026-05-12,3745,0.31266553839563693,0.09304855515069894,3.3602406602579933,-0.07924085421843297,49.59832123739877,Microcap,Sub-B,0.16953271028037384,0.09999999999999999,0.45,59,6.3000000000000025
advisory_microcap_dd_3_10_month_end,last_10y,2016-05-12,2026-05-12,2596,0.3411460727820368,0.09639405922005491,3.5390777766007897,-0.07679193025168096,17.81855691568186,Microcap,Sub-B,0.16953271028037384,0.09999999999999999,0.45,59,6.3000000000000025
advisory_microcap_dd_3_10_month_end,last_5y,2021-05-12,2026-05-12,1300,0.38609958481381823,0.10072973104630158,3.8330250741595164,-0.07679193025168107,4.115347173546031,Microcap,Sub-B,0.16953271028037384,0.09999999999999999,0.45,59,6.3000000000000025
advisory_microcap_dd_3_10_month_end,last_3y,2023-05-12,2026-05-12,779,0.5241186913738041,0.10899242201511479,4.808762679859712,-0.07679193025168096,2.5414542606975217,Microcap,Sub-B,0.16953271028037384,0.09999999999999999,0.45,59,6.3000000000000025
advisory_microcap_dd_3_10_month_end,last_1y,2025-05-12,2026-05-12,260,0.6069227809299425,0.11491788868994111,5.2813603508455955,-0.05733204156654992,0.6064011700041034,Microcap,Sub-B,0.16953271028037384,0.09999999999999999,0.45,59,6.3000000000000025
advisory_subd_dd_3_10_month_end,full,2011-12-09,2026-05-12,3745,0.30187107297483484,0.09334379460046426,3.233970445136944,-0.07954429111797989,43.91730601398031,Sub-D,Sub-B,0.20158878504672897,0.25,0.35000000000000003,81,8.899999999999999
advisory_subd_dd_3_10_month_end,last_10y,2016-05-12,2026-05-12,2596,0.33845029256258585,0.09680146887599796,3.4963342653006477,-0.06791667432335913,17.443747190141632,Sub-D,Sub-B,0.20158878504672897,0.25,0.35000000000000003,81,8.899999999999999
advisory_subd_dd_3_10_month_end,last_5y,2021-05-12,2026-05-12,1300,0.3854979437592183,0.09997785051132849,3.855833484993134,-0.06791667432335924,4.104256657772832,Sub-D,Sub-B,0.20158878504672897,0.25,0.35000000000000003,81,8.899999999999999
advisory_subd_dd_3_10_month_end,last_3y,2023-05-12,2026-05-12,779,0.526877353861178,0.10822482548059122,4.868359468555271,-0.06791667432335924,2.5607236456922524,Sub-D,Sub-B,0.20158878504672897,0.25,0.35000000000000003,81,8.899999999999999
advisory_subd_dd_3_10_month_end,last_1y,2025-05-12,2026-05-12,260,0.6158504775043772,0.11523586592234994,5.344260422526432,-0.05376569731315184,0.6153198430091378,Sub-D,Sub-B,0.20158878504672897,0.25,0.35000000000000003,81,8.899999999999999
