scenario,segment,start,end,rows,annual_return,annual_vol,sharpe,max_dd,total_return,avg_suba,avg_subadk,avg_microcap,avg_subd,avg_subb,latest_suba,latest_subadk,latest_microcap,latest_subd,latest_subb,rebalance_count,allocation_turnover
fixed_10_15_15_20_40,since_2020,2020-01-02,2026-05-13,1653,0.4102416156736546,0.1007911972695772,4.07021274463501,-0.07080534184782117,7.902478126232323,0.1,0.14999999999999997,0.14999999999999997,0.2,0.4,0.1,0.15,0.15,0.2,0.4,0,0.0
fixed_10_15_15_20_40,last_5y,2021-05-13,2026-05-13,1300,0.3906471524069508,0.0979108376701748,3.9898254544905005,-0.07080534184782117,4.19980105189568,0.1,0.14999999999999997,0.14999999999999997,0.2,0.4,0.1,0.15,0.15,0.2,0.4,0,0.0
fixed_10_15_15_20_40,last_3y,2023-05-15,2026-05-13,779,0.5168168978337822,0.10542147402224866,4.90238732314358,-0.07080534184782117,2.4828324375087987,0.1,0.14999999999999997,0.14999999999999997,0.2,0.4,0.1,0.15,0.15,0.2,0.4,0,0.0
fixed_10_15_15_20_40,last_1y,2025-05-13,2026-05-13,260,0.61540017339905,0.11323493632391521,5.43472000230266,-0.056513368577886136,0.6148699948529075,0.1,0.14999999999999997,0.14999999999999997,0.2,0.4,0.1,0.15,0.15,0.2,0.4,0,0.0
advisory_dd_3_10_month_end,since_2020,2020-01-02,2026-05-13,1653,0.41040351651195284,0.10208961495425489,4.020031975787641,-0.07881220892222385,7.908980307834913,0.1,0.14999999999999997,0.14424719701014413,0.2,0.40575280298985594,0.1,0.15,0.15,0.2,0.4,12,1.2
advisory_dd_3_10_month_end,last_5y,2021-05-13,2026-05-13,1300,0.3908502607407902,0.09960738120043551,3.923908610289629,-0.07881220892222385,4.203598876530266,0.1,0.14999999999999997,0.14424719701014413,0.2,0.40575280298985594,0.1,0.15,0.15,0.2,0.4,12,1.2
advisory_dd_3_10_month_end,last_3y,2023-05-15,2026-05-13,779,0.5214865939328743,0.10753292179833912,4.849552910975854,-0.07881220892222385,2.5150467060297452,0.1,0.14999999999999997,0.14424719701014413,0.2,0.40575280298985594,0.1,0.15,0.15,0.2,0.4,12,1.2
advisory_dd_3_10_month_end,last_1y,2025-05-13,2026-05-13,260,0.6241066570304836,0.11461399767709349,5.445291759116577,-0.05870788560926732,0.6235676476720808,0.1,0.14999999999999997,0.14424719701014413,0.2,0.40575280298985594,0.1,0.15,0.15,0.2,0.4,12,1.2
advisory_suba_dd_5_8_weekly,since_2020,2020-01-02,2026-05-13,1653,0.4144464452170893,0.10152502955390068,4.082209550080017,-0.07080534184782139,8.072653340619063,0.0805659369994661,0.14999999999999997,0.14999999999999997,0.2,0.419434063000534,0.1,0.15,0.15,0.2,0.4,40,3.9999999999999996
advisory_suba_dd_5_8_weekly,last_5y,2021-05-13,2026-05-13,1300,0.39428413242246907,0.0986063872526154,3.9985658475892616,-0.07080534184782128,4.268143806895792,0.0805659369994661,0.14999999999999997,0.14999999999999997,0.2,0.419434063000534,0.1,0.15,0.15,0.2,0.4,40,3.9999999999999996
advisory_suba_dd_5_8_weekly,last_3y,2023-05-15,2026-05-13,779,0.522502684824182,0.1064372153808015,4.909022497016846,-0.07080534184782139,2.522082480864904,0.0805659369994661,0.14999999999999997,0.14999999999999997,0.2,0.419434063000534,0.1,0.15,0.15,0.2,0.4,40,3.9999999999999996
advisory_suba_dd_5_8_weekly,last_1y,2025-05-13,2026-05-13,260,0.6154001733990502,0.1132349363239155,5.434720002302647,-0.056513368577886136,0.6148699948529077,0.0805659369994661,0.14999999999999997,0.14999999999999997,0.2,0.419434063000534,0.1,0.15,0.15,0.2,0.4,40,3.9999999999999996
advisory_suba_microcap_dd_3_10_month_end,since_2020,2020-01-02,2026-05-13,1653,0.41377978478124655,0.10198919917909076,4.057094164007097,-0.07482982010148775,8.045491266771895,0.08434329951948745,0.14999999999999997,0.15463160704751736,0.2,0.41102509343299526,0.1,0.15,0.15,0.2,0.4,76,7.900000000000001
advisory_suba_microcap_dd_3_10_month_end,last_5y,2021-05-13,2026-05-13,1300,0.393448163689442,0.0992134837282614,3.965672294776668,-0.07482982010148787,4.25237182644551,0.08434329951948745,0.14999999999999997,0.15463160704751736,0.2,0.41102509343299526,0.1,0.15,0.15,0.2,0.4,76,7.900000000000001
advisory_suba_microcap_dd_3_10_month_end,last_3y,2023-05-15,2026-05-13,779,0.52322722589324,0.10685935777414947,4.896409980294817,-0.07482982010148775,2.5271051864743175,0.08434329951948745,0.14999999999999997,0.15463160704751736,0.2,0.41102509343299526,0.1,0.15,0.15,0.2,0.4,76,7.900000000000001
