date,fixed_return,fixed_nav,fixed_drawdown,advisory_return,advisory_nav,advisory_drawdown,advisory_excess_return,advisory_excess_nav,advisory_suba_weight,advisory_microcap_weight,advisory_subb_weight,suba_advisory_return,suba_advisory_nav,suba_advisory_drawdown,suba_advisory_excess_return,suba_advisory_excess_nav,suba_advisory_suba_weight,suba_advisory_microcap_weight,suba_advisory_subb_weight,stacked_advisory_return,stacked_advisory_nav,stacked_advisory_drawdown,stacked_advisory_excess_return,stacked_advisory_excess_nav,stacked_advisory_suba_weight,stacked_advisory_microcap_weight,stacked_advisory_subb_weight
2011-12-09,-0.0010802418334661102,0.9989197581665339,0.0,-0.0010802418334661102,0.9989197581665339,0.0,0.0,0.0,0.1,0.15,0.4,-0.0010802418334661102,0.9989197581665339,0.0,0.0,0.0,0.1,0.15,0.4,-0.0010802418334661102,0.9989197581665339,0.0,0.0,0.0,0.1,0.15,0.4
2011-12-12,-0.0030759018078938055,0.9958471790764486,-0.003075901807893855,-0.0030759018078938055,0.9958471790764486,-0.003075901807893855,0.0,0.0,0.1,0.15,0.4,-0.0030759018078938055,0.9958471790764486,-0.003075901807893855,0.0,0.0,0.1,0.15,0.4,-0.0030759018078938055,0.9958471790764486,-0.003075901807893855,0.0,0.0,0.1,0.15,0.4
2011-12-13,-0.0025691207980462647,0.9932887273770076,-0.005637120242632632,-0.0025691207980462647,0.9932887273770076,-0.005637120242632632,0.0,0.0,0.1,0.15,0.4,-0.0025691207980462647,0.9932887273770076,-0.005637120242632632,0.0,0.0,0.1,0.15,0.4,-0.0025691207980462647,0.9932887273770076,-0.005637120242632632,0.0,0.0,0.1,0.15,0.4
2011-12-14,-0.0034586180087852955,0.989853321096578,-0.009076241605829205,-0.0034586180087852955,0.989853321096578,-0.009076241605829205,0.0,0.0,0.1,0.15,0.4,-0.0034586180087852955,0.989853321096578,-0.009076241605829205,0.0,0.0,0.1,0.15,0.4,-0.0034586180087852955,0.989853321096578,-0.009076241605829205,0.0,0.0,0.1,0.15,0.4
2011-12-15,-0.00373193423688856,0.9861592535980798,-0.01277430390592671,-0.00373193423688856,0.9861592535980798,-0.01277430390592671,0.0,0.0,0.1,0.15,0.4,-0.00373193423688856,0.9861592535980798,-0.01277430390592671,0.0,0.0,0.1,0.15,0.4,-0.00373193423688856,0.9861592535980798,-0.01277430390592671,0.0,0.0,0.1,0.15,0.4
2011-12-16,0.0008154547369986845,0.9869634218328615,-0.011969266035559922,0.0008154547369986845,0.9869634218328615,-0.011969266035559922,0.0,0.0,0.1,0.15,0.4,0.00043179400662026477,0.9865850712533566,-0.012348025767171755,-0.0003836607303784197,-0.0003833481273320949,0.15000000000000002,0.15,0.35,0.00043179400662026477,0.9865850712533566,-0.012348025767171755,-0.0003836607303784197,-0.0003833481273320949,0.15000000000000002,0.15,0.35
2011-12-19,0.00035744950948771517,0.987316211423878,-0.011616094934345456,0.00035744950948771517,0.987316211423878,-0.011616094934345456,0.0,0.0,0.1,0.15,0.4,0.0001233999839189751,0.986706815835284,-0.012226149529433794,-0.00023404952556874007,-0.0006172243315191173,0.15000000000000002,0.15,0.35,0.0001233999839189751,0.986706815835284,-0.012226149529433794,-0.00023404952556874007,-0.0006172243315191173,0.15000000000000002,0.15,0.35
2011-12-20,-0.002046772896448895,0.985295399362111,-0.013639092322520252,-0.002046772896448895,0.985295399362111,-0.013639092322520252,0.0,0.0,0.1,0.15,0.4,-0.00179029944416307,0.9849403151713422,-0.013994560504890119,0.0002564734522858248,-0.00036038348600697656,0.15000000000000002,0.15,0.35,-0.00179029944416307,0.9849403151713422,-0.013994560504890119,0.0002564734522858248,-0.00036038348600697656,0.15000000000000002,0.15,0.35
2011-12-21,-0.0005098859638978598,0.984793011067683,-0.014142023904682555,-0.0005098859638978598,0.984793011067683,-0.014142023904682555,0.0,0.0,0.1,0.15,0.4,-0.0002136333137174348,0.9847298991079981,-0.014205204114272951,0.000296252650180425,-6.4086522726714e-05,0.15000000000000002,0.15,0.35,-0.0002136333137174348,0.9847298991079981,-0.014205204114272951,0.000296252650180425,-6.4086522726714e-05,0.15000000000000002,0.15,0.35
2011-12-22,0.0025354763269823197,0.9872899304342228,-0.011642404344526236,0.0025354763269823197,0.9872899304342228,-0.011642404344526236,0.0,0.0,0.1,0.15,0.4,0.002486892780798675,0.9871788167851263,-0.011753638153035872,-4.85835461836448e-05,-0.00011254409233929508,0.15000000000000002,0.15,0.35,0.002486892780798675,0.9871788167851263,-0.011753638153035872,-4.85835461836448e-05,-0.00011254409233929508,0.15000000000000002,0.15,0.35
