date,fixed_10_15_15_20_40_return,fixed_10_15_15_20_40_nav,advisory_dd_3_10_month_end_return,advisory_dd_3_10_month_end_nav,advisory_suba_dd_5_8_weekly_return,advisory_suba_dd_5_8_weekly_nav,advisory_suba_microcap_dd_3_10_month_end_return,advisory_suba_microcap_dd_3_10_month_end_nav,advisory_suba_microcap_subd_dd_7_10_month_end_return,advisory_suba_microcap_subd_dd_7_10_month_end_nav
2011-12-09,-0.00107952167284737,0.9989204783271526,-0.00107952167284737,0.9989204783271526,-0.00107952167284737,0.9989204783271526,-0.00107952167284737,0.9989204783271526,-0.00107952167284737,0.9989204783271526
2011-12-12,-0.0030764674708095804,0.9958473319696536,-0.0030764674708095804,0.9958473319696536,-0.0030764674708095804,0.9958473319696536,-0.0030764674708095804,0.9958473319696536,-0.0030764674708095804,0.9958473319696536
2011-12-13,-0.002569630252414825,0.9932883725386378,-0.002569630252414825,0.9932883725386378,-0.002569630252414825,0.9932883725386378,-0.002569630252414825,0.9932883725386378,-0.002569630252414825,0.9932883725386378
2011-12-14,-0.00345814576073265,0.9898534365639582,-0.00345814576073265,0.9898534365639582,-0.00345814576073265,0.9898534365639582,-0.00345814576073265,0.9898534365639582,-0.00345814576073265,0.9898534365639582
2011-12-15,-0.0037306028103313103,0.9861606865516965,-0.0037306028103313103,0.9861606865516965,-0.0037306028103313103,0.9861606865516965,-0.0037306028103313103,0.9861606865516965,-0.0037306028103313103,0.9861606865516965
2011-12-16,0.0008153119560735649,0.9869647151500519,0.0008153119560735649,0.9869647151500519,0.0008153119560735649,0.9869647151500519,0.0008153119560735649,0.9869647151500519,0.0008153119560735649,0.9869647151500519
2011-12-19,0.0003574080422683551,0.9873174642766817,0.0003574080422683551,0.9873174642766817,0.0003574080422683551,0.9873174642766817,0.0003574080422683551,0.9873174642766817,0.0003574080422683551,0.9873174642766817
2011-12-20,-0.002046668366354855,0.985296752854997,-0.002046668366354855,0.985296752854997,-0.002046668366354855,0.985296752854997,-0.002046668366354855,0.985296752854997,-0.002046668366354855,0.985296752854997
2011-12-21,-0.0005099985602541402,0.9847942529296179,-0.0005099985602541402,0.9847942529296179,-0.0005099985602541402,0.9847942529296179,-0.0005099985602541402,0.9847942529296179,-0.0005099985602541402,0.9847942529296179
2011-12-22,0.00253565525174664,0.9872913516489488,0.00253565525174664,0.9872913516489488,0.00253565525174664,0.9872913516489488,0.00253565525174664,0.9872913516489488,0.00253565525174664,0.9872913516489488
