segment,start,end,rows,annual_return,annual_vol,sharpe,max_dd,total_return
full,2011-12-09,2026-05-11,3744,0.30791299581547826,0.09278919610488386,3.3184143062025258,-0.08109231034323439,46.98410645343182
last_10y,2016-05-11,2026-05-11,2596,0.34462599891181944,0.0962718561376689,3.5797169883065694,-0.06775810922375403,18.31252223604813
last_5y,2021-05-11,2026-05-11,1300,0.38823303769987394,0.09928279614705643,3.910375742488437,-0.06775810922375414,4.154830248550283
last_3y,2023-05-11,2026-05-11,779,0.5217351009181921,0.10742724623558418,4.85663664666639,-0.06775810922375414,2.5248608674174884
last_1y,2025-05-12,2026-05-11,259,0.606732796850032,0.1140877083575927,5.318125901418837,-0.055047031469874885,0.6041273920712429
