variant,period,start,end,days,cagr,max_dd,sharpe,total_return
baseline_uniform_160,P1_2003_2012,2010-11-22,2012-12-31,497,0.07135013577634308,-0.10021972144721576,0.7577380869675507,0.15637793311173498
baseline_uniform_160,P2_2013_2016,2013-01-04,2016-12-30,957,0.15979831221349183,-0.08637197760720411,1.5982708910134342,0.8057122387897535
baseline_uniform_160,P3_2017_2020,2017-01-03,2020-12-31,975,0.23451815408779586,-0.07149400445547639,2.2045529944745,1.3186671215534127
baseline_uniform_160,P4_2021_2026,2021-01-04,2026-03-18,1259,0.15024671414091717,-0.10313916845722039,1.290060395195476,1.070442986030903
stable_A_eq200_ra120_bd80_btc120_thr00,P1_2003_2012,2010-11-22,2012-12-31,497,0.09231658376818275,-0.09352366652842455,0.9642520755521251,0.20460388653796757
stable_A_eq200_ra120_bd80_btc120_thr00,P2_2013_2016,2013-01-04,2016-12-30,957,0.1742763737074562,-0.0766248739945788,1.8964440814239492,0.8972571072964466
stable_A_eq200_ra120_bd80_btc120_thr00,P3_2017_2020,2017-01-03,2020-12-31,975,0.15320972345297013,-0.06097407571502326,2.0580692487008396,0.7665449604313479
stable_A_eq200_ra120_bd80_btc120_thr00,P4_2021_2026,2021-01-04,2026-03-18,1259,0.15092287456706766,-0.08752198107066586,1.5448231995226163,1.0767786594737143
stable_C_eq200_ra120_bd80_btc60_thr05,P1_2003_2012,2010-11-22,2012-12-31,497,0.09231658376818275,-0.09352366652842455,0.9642520755521251,0.20460388653796757
stable_C_eq200_ra120_bd80_btc60_thr05,P2_2013_2016,2013-01-04,2016-12-30,957,0.1742763737074562,-0.0766248739945788,1.8964440814239492,0.8972571072964466
stable_C_eq200_ra120_bd80_btc60_thr05,P3_2017_2020,2017-01-03,2020-12-31,975,0.15320972345297013,-0.06097407571502326,2.0580692487008396,0.7665449604313479
stable_C_eq200_ra120_bd80_btc60_thr05,P4_2021_2026,2021-01-04,2026-03-18,1259,0.15693126858726392,-0.07710808173750436,1.6295072381406124,1.1337685452781474
