variant,period,start,end,days,cagr,max_dd,sharpe,total_return
baseline_uniform_160,P1_2003_2012,2003-08-22,2012-12-31,2356,0.1349292359252583,-0.20681096023783535,0.7959877934182549,2.269993910532871
baseline_uniform_160,P2_2013_2016,2013-01-02,2016-12-31,1267,0.08779122685054253,-0.20218184438763237,0.5833848764735733,0.39952962160608085
baseline_uniform_160,P3_2017_2020,2017-01-01,2020-12-31,1461,0.2492347565179467,-0.11005131889283694,1.3193368306321114,1.4339499198494354
baseline_uniform_160,P4_2021_2026,2021-01-01,2026-03-18,1903,0.08921290178742858,-0.19472603451751297,0.4693042727063653,0.5604892637945003
stable_A_eq200_ra120_bd80_btc120_thr00,P1_2003_2012,2003-08-22,2012-12-31,2356,0.1553127589378238,-0.20674320896753431,0.9188589880666523,2.8628923321182556
stable_A_eq200_ra120_bd80_btc120_thr00,P2_2013_2016,2013-01-02,2016-12-31,1267,0.13350238065264697,-0.11757987342927909,0.9555501140609792,0.6496497492715754
stable_A_eq200_ra120_bd80_btc120_thr00,P3_2017_2020,2017-01-01,2020-12-31,1461,0.05798589107851826,-0.0845708020223551,0.7237317326141969,0.2527155902404836
stable_A_eq200_ra120_bd80_btc120_thr00,P4_2021_2026,2021-01-01,2026-03-18,1903,0.11187278188926242,-0.11547603859047811,0.7165397059478218,0.7371085720161132
stable_C_eq200_ra120_bd80_btc60_thr05,P1_2003_2012,2003-08-22,2012-12-31,2356,0.1553127589378238,-0.20674320896753431,0.9188589880666523,2.8628923321182556
stable_C_eq200_ra120_bd80_btc60_thr05,P2_2013_2016,2013-01-02,2016-12-31,1267,0.13350238065264697,-0.11757987342927909,0.9555501140609792,0.6496497492715754
stable_C_eq200_ra120_bd80_btc60_thr05,P3_2017_2020,2017-01-01,2020-12-31,1461,0.05798589107851826,-0.0845708020223551,0.7237317326141969,0.2527155902404836
stable_C_eq200_ra120_bd80_btc60_thr05,P4_2021_2026,2021-01-01,2026-03-18,1903,0.1079123178681447,-0.1089377487516794,0.7221447311930401,0.7051281546466182
