scenario,window,start,end,rows,annual_return,max_drawdown,sharpe,total_return,max_closed_underwater_days,open_underwater_days,is_currently_underwater,annual_return_delta_vs_current,max_drawdown_delta_vs_current,sharpe_delta_vs_current
current_10_15_15_60,full,2010-11-22,2026-05-08,4017,0.3772337455347634,-0.16534196850383687,2.672788220849349,139.85335871752633,302,170,True,0.0,0.0,0.0
current_10_15_15_60,10Y,2016-05-09,2026-05-08,2597,0.41849028625680984,-0.16534196850383676,2.5983456303905506,31.93367112041146,206,170,True,0.0,0.0,0.0
current_10_15_15_60,5Y,2021-05-10,2026-05-08,1300,0.4517968333937501,-0.16534196850383698,2.324432624130304,5.434752649936925,206,170,True,0.0,0.0,0.0
current_10_15_15_60,3Y,2023-05-08,2026-05-08,781,0.5571206693655855,-0.16534196850383687,2.7662961379881197,2.7765778900922298,85,170,True,0.0,0.0,0.0
current_10_15_15_60,1Y,2025-05-08,2026-05-08,260,0.20515246816266441,-0.16534196850383687,0.971867182790389,0.20499855000603695,85,170,True,0.0,0.0,0.0
lower_A_to_microcap_5_15_20_60,full,2010-11-22,2026-05-08,4017,0.39686510573477496,-0.1823735402716311,2.6411729729627673,174.30086756017832,302,170,True,0.01963136020001155,-0.01703157176779424,-0.031615247886581876
lower_A_to_microcap_5_15_20_60,10Y,2016-05-09,2026-05-08,2597,0.4323701889922318,-0.18237354027163122,2.490160212049623,35.300437002315576,206,170,True,0.013879902735421945,-0.017031571767794462,-0.10818541834092743
lower_A_to_microcap_5_15_20_60,5Y,2021-05-10,2026-05-08,1300,0.4639280990168948,-0.18237354027163122,2.226663876282037,5.707784556531503,206,170,True,0.012131265623144705,-0.01703157176779424,-0.09776874784826717
lower_A_to_microcap_5_15_20_60,3Y,2023-05-08,2026-05-08,781,0.5669937041818358,-0.18237354027163122,2.662475080992729,2.8488879767990443,85,170,True,0.009873034816250348,-0.01703157176779435,-0.10382105699539057
lower_A_to_microcap_5_15_20_60,1Y,2025-05-08,2026-05-08,260,0.17731369409605335,-0.18237354027163122,0.7979454418110788,0.17718216197175884,85,170,True,-0.02783877406661106,-0.01703157176779435,-0.17392174097931012
higher_microcap_from_subb_10_15_20_55,full,2010-11-22,2026-05-08,4017,0.3985829161733798,-0.1776840687424559,2.681116874089732,177.66304355660583,302,170,True,0.02134917063861641,-0.012342100238619036,0.008328653240382788
higher_microcap_from_subb_10_15_20_55,10Y,2016-05-09,2026-05-08,2597,0.4281921725280202,-0.17768406874245601,2.5072976116850794,34.25581925457858,206,170,True,0.00970188627121038,-0.012342100238619258,-0.09104801870547119
higher_microcap_from_subb_10_15_20_55,5Y,2021-05-10,2026-05-08,1300,0.4620521464011116,-0.1776840687424559,2.252367479527159,5.664968714291617,206,170,True,0.010255313007361488,-0.012342100238618925,-0.07206514460314528
higher_microcap_from_subb_10_15_20_55,3Y,2023-05-08,2026-05-08,781,0.5666487944976324,-0.1776840687424559,2.6934457933261347,2.846346430012067,85,170,True,0.009528125132046927,-0.012342100238619036,-0.07285034466198503
higher_microcap_from_subb_10_15_20_55,1Y,2025-05-08,2026-05-08,260,0.1883751877087989,-0.1776840687424558,0.8596531503358434,0.18823481400729736,85,170,True,-0.016777280453865506,-0.012342100238618925,-0.11221403245454553
higher_subb_from_A_5_15_15_65,full,2010-11-22,2026-05-08,4017,0.3750829133870499,-0.17121594493649628,2.625301751985471,136.4911827210988,320,170,True,-0.0021508321477134995,-0.005873976432659411,-0.047486468863878084
higher_subb_from_A_5_15_15_65,10Y,2016-05-09,2026-05-08,2597,0.4232106710137906,-0.17121594493649628,2.5758037936448446,33.04571594397908,206,170,True,0.004720384756980778,-0.005873976432659522,-0.02254183674570598
higher_subb_from_A_5_15_15_65,5Y,2021-05-10,2026-05-08,1300,0.45384412784013906,-0.17121594493649628,2.2906554219332387,5.480195327121127,206,170,True,0.0020472944463889586,-0.0058739764326593,-0.03377720219706548
higher_subb_from_A_5_15_15_65,3Y,2023-05-08,2026-05-08,781,0.5573195119773482,-0.17121594493649617,2.7249510234327263,2.7780251996889005,85,170,True,0.00019884261176272844,-0.0058739764326593,-0.04134511455539336
higher_subb_from_A_5_15_15_65,1Y,2025-05-08,2026-05-08,260,0.19109391135628218,-0.17121594493649617,0.8893017690569055,0.19095135374229044,85,170,True,-0.014058556806382239,-0.0058739764326593,-0.08256541373348347
balanced_risk_5_20_20_55,full,2010-11-22,2026-05-08,4017,0.39713234910461015,-0.1828843752794489,2.659433587876195,174.82001166011705,279,170,True,0.01989860356984674,-0.01754240677561203,-0.01335463297315398
balanced_risk_5_20_20_55,10Y,2016-05-09,2026-05-08,2597,0.43053847560312364,-0.1828843752794489,2.4946558799141805,34.83907800794225,206,170,True,0.012048189346313798,-0.01754240677561214,-0.10368975047637008
balanced_risk_5_20_20_55,5Y,2021-05-10,2026-05-08,1300,0.46311093290953464,-0.1828843752794489,2.234933784828737,5.689106993408617,206,170,True,0.011314099515784548,-0.01754240677561192,-0.08949883930156721
balanced_risk_5_20_20_55,3Y,2023-05-08,2026-05-08,781,0.5637247312740419,-0.182884375279449,2.661362589386867,2.824844733852966,85,170,True,0.006604061908456416,-0.01754240677561214,-0.10493354860125281
balanced_risk_5_20_20_55,1Y,2025-05-08,2026-05-08,260,0.17630031035124927,-0.182884375279449,0.7967179061499303,0.17616958469196597,85,170,True,-0.028852157811415147,-0.01754240677561214,-0.17514927664045865
