sleeve,window,start,end,rows,annual_return,max_drawdown,sharpe,total_return,max_closed_underwater_days,open_underwater_days,is_currently_underwater
Sub-A,full_common,2010-11-22,2026-05-08,3755,0.33435704579579895,-0.30426670838465775,1.5565637431668438,85.38603983616717,1194,0,True
Sub-A-DK,full_common,2010-11-22,2026-05-08,3754,0.24482883341634865,-0.24991708648556754,1.2904339350521958,28.52540190639131,678,102,True
Sub-B,full_common,2010-11-22,2026-05-08,3888,0.21041654657976672,-0.14654993992492438,1.505597435790214,18.142519907616517,899,0,False
Microcap,full_common,2010-11-22,2026-05-08,3752,0.5378938616801454,-0.21299784859803594,2.7721880784444886,774.3362166892067,330,170,True
