strategy,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,cash_days,cash_ratio,avg_weight,held_avg_weight,held_median_weight,max_weight
formal_current_bias_momentum,FULL_COMMON,2010-09-29,2026-05-08,3788,75.06692495258554,0.3199122225564712,0.21663992779434812,1.396495142887715,-0.3067448723034619,2016-06-13,883.2687328589082,1356,0.3579725448785639,0.7423810893472325,1.1563073875194558,1.5,1.5
formal_current_bias_momentum,10Y,2016-05-09,2026-05-08,2428,13.648101508717833,0.30805507399166343,0.19311898715986933,1.493080066301234,-0.19395735765195965,2022-05-24,570.5893313071712,848,0.34925864909390447,0.7297533415381001,1.1214184261104474,1.5,1.5
formal_current_bias_momentum,5Y,2021-05-10,2026-05-08,1211,3.378146491967172,0.3440526170684932,0.1881942604639266,1.673815723367823,-0.19395735765195876,2022-05-24,255.2898397170543,447,0.36911643270024774,0.7196617404610038,1.1407203765684235,1.5,1.5
formal_current_bias_momentum,3Y,2023-05-08,2026-05-08,727,2.3764249137495845,0.5000722761641405,0.19574510136420356,2.182599704084381,-0.1264850441539661,2023-12-14,129.6648397170543,314,0.43191196698762035,0.6189963792273392,1.089613481109626,1.5,1.5
formal_current_bias_momentum,1Y,2025-05-08,2026-05-08,243,1.1510668537693793,1.1521956701390925,0.20568437009271778,3.8461072478319482,-0.06206826712435143,2026-04-28,43.875,97,0.3991769547325103,0.7445987654320988,1.2392979452054795,1.5,1.5
formal_weighted_slope_r2_legacy_overheat,FULL_COMMON,2010-09-29,2026-05-08,3788,25.41342238458935,0.23341444014292367,0.23244944607800197,1.021730570741701,-0.3654764093194123,2016-06-13,876.602704168766,1139,0.30068637803590287,0.8449449316665174,1.2082489245574812,1.5,1.5
formal_weighted_slope_r2_legacy_overheat,10Y,2016-05-09,2026-05-08,2428,10.614493737399266,0.2780380489589809,0.21844265944053054,1.233700838864182,-0.23006257940658248,2024-05-31,585.7899981584912,662,0.2726523887973641,0.8643979772679131,1.188424852098807,1.5,1.5
formal_weighted_slope_r2_legacy_overheat,5Y,2021-05-10,2026-05-08,1211,2.631177638574745,0.29463596832134753,0.2361497957257354,1.210889031811483,-0.23006257940658137,2024-05-31,287.1362107196245,343,0.2832369942196532,0.8474435962850613,1.1823205012686742,1.5,1.5
formal_weighted_slope_r2_legacy_overheat,3Y,2023-05-08,2026-05-08,727,2.107815901449648,0.45919831038816383,0.2627693171670232,1.5686837354634922,-0.17436142896261397,2024-05-31,152.8862107196245,210,0.28885832187070154,0.8323647800566839,1.1704626597702306,1.5,1.5
formal_weighted_slope_r2_legacy_overheat,1Y,2025-05-08,2026-05-08,243,0.9095763981905114,0.9104226606692281,0.1994721861381677,3.3585639086259795,-0.06206826712435143,2026-04-28,52.5,89,0.3662551440329218,0.7685185185185185,1.2126623376623376,1.5,1.5
formal_weighted_slope_r2_weighted_overheat,FULL_COMMON,2010-09-29,2026-05-08,3788,25.41342238458935,0.23341444014292367,0.23244944607800197,1.021730570741701,-0.3654764093194123,2016-06-13,876.602704168766,1139,0.30068637803590287,0.8449449316665174,1.2082489245574812,1.5,1.5
formal_weighted_slope_r2_weighted_overheat,10Y,2016-05-09,2026-05-08,2428,10.614493737399266,0.2780380489589809,0.21844265944053054,1.233700838864182,-0.23006257940658248,2024-05-31,585.7899981584912,662,0.2726523887973641,0.8643979772679131,1.188424852098807,1.5,1.5
formal_weighted_slope_r2_weighted_overheat,5Y,2021-05-10,2026-05-08,1211,2.631177638574745,0.29463596832134753,0.2361497957257354,1.210889031811483,-0.23006257940658137,2024-05-31,287.1362107196245,343,0.2832369942196532,0.8474435962850613,1.1823205012686742,1.5,1.5
formal_weighted_slope_r2_weighted_overheat,3Y,2023-05-08,2026-05-08,727,2.107815901449648,0.45919831038816383,0.2627693171670232,1.5686837354634922,-0.17436142896261397,2024-05-31,152.8862107196245,210,0.28885832187070154,0.8323647800566839,1.1704626597702306,1.5,1.5
formal_weighted_slope_r2_weighted_overheat,1Y,2025-05-08,2026-05-08,243,0.9095763981905114,0.9104226606692281,0.1994721861381677,3.3585639086259795,-0.06206826712435143,2026-04-28,52.5,89,0.3662551440329218,0.7685185185185185,1.2126623376623376,1.5,1.5
