version,candidate,official_weight,ema_weight,ema_half_life,ema_abs_threshold,recent_weighted_sharpe,mean_recent_cagr,worst_recent_maxdd,10y_cagr,10y_maxdd,10y_sharpe,10y_calmar,10y_annual_turnover,10y_total_trade_cost
V7.5,ow0.25_ema100_0.16,0.25,0.75,100,0.16,1.9105884552391976,0.39978740166679405,-0.12382459140979762,0.31533932621783745,-0.12382459140979762,1.7884290238013298,2.546661552665428,14.51090501670304,0.14476355242853747
V7.5,ow0.5_ema100_0.16,0.5,0.5,100,0.16,1.896910949063627,0.3897548086472406,-0.13865552820803628,0.3090327195092448,-0.13865552820803628,1.809671120604479,2.228780370340356,14.829099397506555,0.14793792017988686
V7.5,ow0.75_ema100_0.16,0.75,0.25,100,0.16,1.8376887378566822,0.3784679741420564,-0.16490026775616629,0.3012523985688227,-0.16490026775616629,1.7710587319331523,1.826876345733269,15.514971578969586,0.1547803117044823
V7.5,ow0.5_ema150_0.16,0.5,0.5,150,0.16,1.8287507439088628,0.3650586057339335,-0.17116976935644312,0.2806551785775713,-0.17116976935644312,1.7091917570905868,1.639630523735393,13.465565363777234,0.13433504493863474
V7.5,ow0.75_ema150_0.16,0.75,0.25,150,0.16,1.8049766997488808,0.366013209937457,-0.18087012706959282,0.28681594138135447,-0.18087012706959282,1.71984713148858,1.5857562883836378,15.03581647658869,0.15000016913549197
V7.5,ow0.25_ema150_0.16,0.25,0.75,150,0.16,1.8040505282731927,0.3628017200852236,-0.16419845380511555,0.27312363975935283,-0.16419845380511555,1.638846031495299,1.6633752232741412,12.197985541580794,0.12168942718862744
V7.5,ow0.75_ema60_0.16,0.75,0.25,60,0.16,1.7988117305098983,0.3667477709813375,-0.15336590929555705,0.29838881207406054,-0.15336590929555705,1.7619733525443368,1.9456006451800483,16.805870487366654,0.16765856510015784
V7.5,ow0.5_ema60_0.16,0.5,0.5,60,0.16,1.7825237090040873,0.3653310880096356,-0.11713384397835203,0.3026947589206759,-0.11713384397835203,1.7643613459302085,2.5841784802743955,17.4917403288227,0.1745009332803979
V7.5,ow0.5_ema100_0.08,0.5,0.5,100,0.08,1.7780243834537313,0.37143097545029174,-0.1958531707797384,0.3009589143885165,-0.1958531707797384,1.7291553651538674,1.5366558181842396,15.32100119112757,0.1528452261686298
V7.5,ow0.75_ema100_0.08,0.75,0.25,100,0.08,1.776311393529159,0.36920771677308734,-0.19302614406686947,0.2970304918647806,-0.19302614406686947,1.7278719350912974,1.5388096431221316,15.889217207415417,0.15851385737873952
V7.5,ow0.75_ema100_0.24,0.75,0.25,100,0.24,1.7501782519908078,0.35170663545389175,-0.1583864965562083,0.2833875220341713,-0.1583864965562083,1.710905730408611,1.7892151679332244,16.32045894608363,0.16281600710497715
V7.5,ow0.25_ema100_0.08,0.25,0.75,100,0.08,1.742348956387467,0.37246802371860993,-0.19885568361564987,0.3034916168893633,-0.19885568361564987,1.6816833603514796,1.5261903073183203,15.106297366799796,0.15070329992116943
V7.5,ow0.25_ema60_0.16,0.25,0.75,60,0.16,1.6949400556112146,0.3619694585272095,-0.13786084101433815,0.30507889546372846,-0.13786084101433815,1.6889269466085022,2.212948167289933,18.510249617215443,0.18466177594317312
V7.5,ow0.5_ema100_0.24,0.5,0.5,100,0.24,1.6939442500994994,0.3355541574301278,-0.13264189663863568,0.2727544535325648,-0.13264189663863568,1.6435910785125913,2.056322025277173,16.25435201530106,0.16215651177169388
V7.5,ow0.25_ema100_0.24,0.25,0.75,100,0.24,1.572351344705518,0.31779887872051277,-0.15618784296847332,0.2602043331882802,-0.15618784296847332,1.4900341047749908,1.6659704637882904,16.353672493067435,0.16314735177607753
V7.6,ow0.75_ema100_0.16,0.75,0.25,100,0.16,2.0091514427845785,0.4139813687051389,-0.17638410265860682,0.3235134100006982,-0.17638410265860682,1.8882137877529253,1.8341415418081166,14.64111707909122,0.14606257276521953
V7.6,ow0.5_ema100_0.16,0.5,0.5,100,0.16,2.008510999859662,0.41354097289631725,-0.14655018180812163,0.3237913538242261,-0.14655018180812163,1.8860887876920185,2.209423078356645,14.36076734341681,0.14326575040218198
V7.6,ow0.75_ema150_0.16,0.75,0.25,150,0.16,1.9676283135703458,0.4010172745791486,-0.19217352564535917,0.3086199796661284,-0.19217352564535917,1.8296031954496448,1.6059443080399214,14.216913236095353,0.1418306344267608
V7.6,ow0.75_ema60_0.16,0.75,0.25,60,0.16,1.9659197890243216,0.40217210656714536,-0.16501586981894012,0.320694770170987,-0.16501586981894012,1.876953542802299,1.943417748383001,15.88215055246549,0.15844335908292956
V7.6,ow0.25_ema100_0.16,0.25,0.75,100,0.16,1.9641855698438981,0.41190099620436527,-0.12110354546597335,0.3226848835534635,-0.12110354546597268,1.8245954349547822,2.664537048125734,14.353847582879107,0.14319671755300822
V7.6,ow0.75_ema100_0.08,0.75,0.25,100,0.08,1.9430724787863358,0.40433299137334994,-0.2042495332804639,0.3192240535269528,-0.2042495332804639,1.8428862997473425,1.5629120341176614,15.00868288529063,0.1497294792603994
V7.6,ow0.5_ema150_0.16,0.5,0.5,150,0.16,1.9287154490967118,0.3882009997031897,-0.17883111813156016,0.29486441338083114,-0.17883111813156016,1.7761488538466306,1.648842866172257,13.034612909598073,0.13003578116956174
V7.6,ow0.75_ema100_0.24,0.75,0.25,100,0.24,1.921436237470894,0.38639405159337264,-0.16994682080227164,0.30528545117038997,-0.16994682080227164,1.825628441947051,1.796358706383693,15.433242902155543,0.1539649708572184
V7.6,ow0.5_ema60_0.16,0.5,0.5,60,0.16,1.887695974341938,0.3893687298827702,-0.12437906168087698,0.3176138808088216,-0.12437906168087698,1.8373689383725917,2.553596051590523,16.91837443278176,0.16878092588894184
V7.6,ow0.5_ema100_0.08,0.5,0.5,100,0.08,1.884450008832107,0.3948015192409248,-0.20331540662011027,0.315725334731227,-0.20331540662011027,1.8035766158315936,1.5528844566174558,14.77417490810108,0.14738998301177028
V7.6,ow0.25_ema150_0.16,0.25,0.75,150,0.16,1.849658338551948,0.3744442893520401,-0.1686059536769099,0.2801013902553273,-0.1686059536769099,1.668835216837457,1.6612781704735637,12.040657575549954,0.12011989343227217
V7.6,ow0.5_ema100_0.24,0.5,0.5,100,0.24,1.804376349821995,0.3582960145112777,-0.1392829436120111,0.28709841642565714,-0.1392829436120111,1.71532498815268,2.0612604026046673,15.715553557088436,0.15678135572428703
V7.6,ow0.25_ema100_0.08,0.25,0.75,100,0.08,1.792801578432306,0.3842940936809733,-0.20280004833080711,0.31085309602460964,-0.20280004833080711,1.7167501196899402,1.5328058281206451,14.884738318291292,0.14849298465152502
V7.6,ow0.25_ema60_0.16,0.25,0.75,60,0.16,1.7452630595238765,0.374834238321606,-0.14388445845951991,0.31261446844275986,-0.14388445845951947,1.722658480261074,2.172677103487942,18.312298186622204,0.1826869747665406
V7.6,ow0.25_ema100_0.24,0.25,0.75,100,0.24,1.6247599319926702,0.32914433349029726,-0.14930812831644724,0.2672823735928991,-0.14930812831644724,1.5224058496821782,1.7901394693423145,16.11076364344252,0.16072404682386707
