rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,ma,days,scale,robust_pass,ridge_score
zz2000_dense:ma10:days2:scale0.50,19.335723385457683,15.48838785038758,1.2559209406350507,-32.47080884957052,0.5954801888377792,48589.95468690099,-0.6119634956149618,0.0,0.01885306422916755,23.397131134265138,17.5436184503078,1.3299048712221102,-21.628157209958697,1.0817903211602289,717.8537688760663,-0.5156595479512944,2.9383412929740444,0.08981492625930865,31.78984004276235,17.73230339355837,1.7059334856270396,-13.480051141897341,2.3582877919473435,296.8909187662633,0.7851764835139043,1.4193420242294543,0.16661670096945635,34.616434766749514,18.06645613667251,1.8008157850848034,-12.248410539348498,2.826198114077158,143.9959489747332,0.9776336993116317,0.9061354210002541,0.22248629762814254,78.62321541287758,19.365985648016423,3.203591140150045,-6.729234225180091,11.683828022909015,78.55230489332203,-2.374687660077953,1.5502555960752797,0.20630166201653521,10,2,0.5,False,0.12286969891094604
zz2000_dense:ma10:days3:scale0.50,19.180997561878566,15.659146184068614,1.2353599656069014,-32.47080884957052,0.5907151143274421,46428.067523016645,-0.7666893191940787,0.0,-0.0017079107989816933,22.90707572599966,17.989752782976716,1.2783658156851423,-20.075604512184984,1.1410403961731814,685.9609808496463,-1.0057149562167709,4.490893990747757,0.03827587072234073,29.883527031176406,17.820316929669588,1.6131916266992072,-14.424299455367496,2.071748934750263,269.03780281199477,-1.1211365280720393,0.4750937107592996,0.07387484204162398,32.84850791387144,18.448938094543802,1.6923689023515125,-12.30835913076177,2.668796674267858,134.50627923455448,-0.790293153566445,0.8461868295869817,0.11403941489485159,78.67274462639602,20.19965206691653,3.080562494448557,-7.206865268100026,10.91636123331286,78.60178055241047,-2.325158446559513,1.0726245531553449,0.0832730163150468,10,3,0.5,False,0.023797980818343552
zz2000_dense:ma10:days4:scale0.50,19.21932283237444,15.879081826258332,1.2225222490664858,-32.47080884957052,0.5918954135516907,46954.707969188334,-0.7283640486982037,0.0,-0.014545627339397349,23.11136360141579,18.5347420957606,1.255478699819437,-21.47475602152603,1.0762107647811805,699.1173911010427,-0.801427080800643,3.091742481406712,0.015388754856635378,29.80439454984505,18.48111355883336,1.5586615191749553,-15.945791689358114,1.8691072309527208,267.9163582832994,-1.2002690094033959,-1.0463985232313178,0.019344734517372064,31.926122997264518,18.964202433466298,1.613381473550093,-13.964259915313937,2.286273901436958,129.65439498664253,-1.7126780701733644,-0.8097139549651846,0.035051986093432186,79.68311530881012,20.92733635838885,3.0084982764439134,-7.949916373186127,10.023138806537549,79.61105670646758,-1.3147877641454215,0.3295734480692438,0.011208798310403445,10,4,0.5,False,-0.05280018184040022
zz2000_dense:ma10:days5:scale0.50,19.02395538996009,15.904427279550715,1.2101870105188284,-32.47080884957052,0.5858787034869849,44329.26931609284,-0.9237314911125551,0.0,-0.02688086588705474,22.145708829576872,18.58332571904288,1.2087406792977475,-24.943059862158425,0.8878505264373973,638.627294209058,-1.76708185263956,-0.3765613592256827,-0.03134926566505403,28.545352067507658,18.261921974664535,1.519640861832892,-16.503883766524254,1.7296142211936674,250.43710601965375,-2.459311491740788,-1.6044906003974582,-0.019675922824691217,30.482117373641326,18.94777991785268,1.5540866940411953,-14.511043381944312,2.1006151364394223,122.19387188191276,-3.1566836937965554,-1.3564974215955594,-0.024242793415465647,75.99065919347512,20.85881834966399,2.9143266944693305,-9.079773922404888,8.369223710070974,75.92258159777994,-5.007243879480413,-0.8002841011495168,-0.08296278366417953,10,5,0.5,False,-0.13893580110788056
zz2000_dense:ma10:days6:scale0.50,19.637194220362343,16.01650135558344,1.235942841466383,-32.47080884957052,0.6047645536437593,53086.00153182572,-0.31049266071030246,0.0,-0.0011250349395002246,23.23331395863708,18.847841880979985,1.2431687145474493,-24.36912528374825,0.9533913789729399,707.0653009818365,-0.6794767235793522,0.1973732191844917,0.0030787695846477003,29.51583025665525,18.7840586295552,1.5241287174383784,-17.710346912940032,1.6665867925539934,263.84996910550353,-1.4888333025931964,-2.8109537468132366,-0.015188067219204848,32.54276450338081,19.508286747029683,1.598483386222368,-15.632408689769639,2.081749853730338,132.89052612501723,-1.0960365640570728,-2.4778627294208864,0.020153898765707057,80.39127316248491,20.948365384227714,3.0252133252815474,-9.159820056601365,8.776512274883386,80.31844510036927,-0.6066299104706303,-0.8803302353459941,0.027923847148037417,10,6,0.5,False,-0.06504019706367584
zz2000_dense:ma10:days7:scale0.50,19.788896550700976,16.109486905364687,1.2378685265171343,-32.47080884957052,0.6094365139586819,55498.46637151707,-0.15879033037166934,0.0,0.0008006501112511888,23.77531474590553,19.123624936828403,1.2518047358359792,-24.62967877723764,0.9653116047895152,743.2570220509642,-0.13747593631090282,-0.06318027430489792,0.011714790873177616,31.394291456867762,19.00597310354031,1.5873389443419905,-15.616060156749324,2.0103848948929044,290.9777435996742,0.3896278976193166,-0.716666990622528,0.04802215968440726,35.24746135210488,19.69353194329713,1.692170185633919,-13.20565534256457,2.6691186796686255,147.4441090428266,1.6086602846669962,-0.0511093822158184,0.11384069817725817,87.78104312613746,21.586911842622598,3.135186348584565,-9.119122945512192,9.626040097347001,87.70007356290836,6.783140053181924,-0.8396331242568209,0.1378968704510548,10,7,0.5,False,0.03756883469308859
zz2000_dense:ma10:days8:scale0.50,19.80844590005335,16.13464573339596,1.2372303930797037,-32.47080884957052,0.6100385731633954,55816.98045158901,-0.13924098101929516,0.0,0.00016251667382061186,23.36557126162335,19.148225627576565,1.2324779627552045,-24.708836782889755,0.9456362299419704,715.7653005519323,-0.5472194205930805,-0.14233827995701276,-0.007611982207597068,31.14759291161313,19.060517555123383,1.5731081623519316,-14.879181359487436,2.093367380844003,287.32559505385433,0.1429293523646855,0.02021180663935951,0.03379137769434837,34.3396258906667,19.801927222152603,1.6485858425325655,-13.287851525145788,2.584287296233162,142.49352940799977,0.700824823228821,-0.1333055647970358,0.07025635507590455,83.37576393617465,21.874993445018728,2.984053359207764,-9.118233061782878,9.143850938141329,83.29967223173387,2.3778608632191123,-0.8387432405275064,-0.013236118925746165,10,8,0.5,False,0.019625454166589867
zz2000_dense:ma10:days9:scale0.50,19.93344814524123,16.162105503130235,1.2420640929703701,-32.47080884957052,0.6138882538340243,57895.925953092046,-0.014238735831415994,0.0,0.0049962165644870105,23.57581745583437,19.219713035639526,1.2377873350112083,-25.30027192100386,0.9318404770291074,729.7693136238769,-0.33697322638206373,-0.7337734180711166,-0.0023026099515932597,31.3351735010845,19.081679802749,1.5793685858982929,-15.007325096694867,2.0879919172261814,290.10005722636237,0.33050994183605553,-0.10793193056807127,0.04005180124070962,34.13344884505616,19.81726745145961,1.639392967367533,-13.904354246973739,2.4548747995603786,141.37849124439234,0.49464777761827605,-0.7498082866249867,0.06106347991087202,83.46884570647883,21.867679817201633,2.9873910736313376,-9.107939466313297,9.164404969444233,83.39265167708032,2.4709426335232934,-0.8284496450579262,-0.009898404502172387,10,9,0.5,False,0.025066299293406154
zz2000_dense:ma10:days10:scale0.50,19.813245188027384,16.224649942503707,1.2315146417534744,-32.47080884957052,0.6101863763177999,55895.44498447091,-0.134441693045261,0.0,-0.005553234652408756,23.30723245508861,19.410079963352143,1.2159071583589312,-25.583242651791128,0.9110351167097588,711.9173736057288,-0.6055582271278226,-1.0167441488583862,-0.02418278660387041,30.722811064312406,19.428212514017677,1.5295990991642665,-15.404821859077188,1.9943632808846274,281.10105251665357,-0.2818524949360395,-0.5054286929503924,-0.009717685493316752,33.2706151199049,20.366690505962872,1.567575010439819,-12.986939579655065,2.5618518447583765,136.7492341351025,-0.36818594753297873,0.16760638069368738,-0.010754477016841957,80.90675269433515,21.216791469002942,3.0037126867941906,-8.34337093312374,9.697130014096572,80.83336333425105,-0.09115037862038378,-0.06388111186836909,0.006423208660680579,10,10,0.5,False,-0.03243303975032708
zz2000_dense:ma11:days2:scale0.50,19.520452606282923,15.526907229215297,1.2634744967232368,-32.47080884957052,0.6011692747389357,51299.04795196047,-0.427234274789722,0.0,0.026406620317353635,24.15276250503744,17.543448327647695,1.366010747088114,-21.77710791212073,1.1090895357870025,769.3166872783663,0.23997182282100837,2.789390590812012,0.12592080212531243,33.43885477115809,17.65966222286267,1.7854312770169765,-12.928555708194988,2.5864339007304813,322.31817327218073,2.4341912119096456,1.9708374579318075,0.2461144923593932,37.12637340802032,17.97085411998994,1.9164096723504767,-10.957268983299418,3.3882871237903065,157.90325607857255,3.487572340582439,2.1972769770493343,0.33808018489381575,84.0386654669966,19.117276306348757,3.404860590996864,-6.750203174469849,12.449797923837584,83.9618443304908,3.0407623940410673,1.529286646785522,0.4075711128633541,11,2,0.5,True,0.2299038954245648
