component,size,ma_min,ma_max,days_min,days_max
1,49,11,43,2,4
2,31,50,60,6,10
3,8,49,54,3,4
4,6,31,36,6,6
5,5,56,60,3,3
6,4,56,59,10,10
7,3,44,46,6,6
8,1,45,45,3,3
9,1,47,47,3,3
10,1,23,23,6,6
11,1,27,27,6,6
