days,bands,cell_count,longest_width
2,10-60,51,51
3,10-60,51,51
4,10-60,51,51
5,12-60,49,49
6,10-27; 31-60,48,30
7,16-17; 50-60,13,11
8,50-60,11,11
9,50-60,11,11
10,50-60,11,11
