days,bands,cell_count,longest_width
2,,0,0
3,17-19; 26-32,10,7
4,,0,0
5,,0,0
6,,0,0
7,18; 27-28; 35,4,2
8,18-19; 27-28; 33; 35-36; 57-58,9,2
9,15-37,23,23
10,15-23; 25-29; 31-32,16,9
