date,baseline_return,v14_volume_return,baseline_nav,v14_volume_nav,hs300_amount_ratio_ma33,hs300_below_ma_streak,volume_signal_scale_t,volume_effective_scale,volume_rule_on
2023-04-17,0.005346561874032929,0.005346561874032929,1.0,1.0,1.2093172683595255,0.0,1.0,1.0,False
2023-04-18,0.0012656058255278158,0.0012656058255278158,1.0012656058255278,1.0012656058255278,1.163428809134594,0.0,1.0,1.0,False
2023-04-19,-0.002642790178511656,-0.002642790178511656,0.9986194709163705,0.9986194709163705,1.0867975281301108,0.0,1.0,1.0,False
2023-04-20,-0.008077610104175292,-0.008077610104175292,0.9905530121878703,0.9905530121878703,1.1435545643477343,0.0,1.0,1.0,False
2023-04-21,0.012451450864127356,0.012451450864127356,1.0028868343474409,1.0028868343474409,1.1894963222141732,0.0,1.0,1.0,False
2023-04-24,-0.00916476780662212,-0.00916476780662212,0.9936956093743283,0.9936956093743283,1.1164308296355143,0.0,1.0,1.0,False
2023-04-25,0.026643517661123717,0.026643517661123717,1.0201711558924742,1.0201711558924742,1.109785090668931,0.0,1.0,1.0,False
2023-04-26,-0.005324457041943509,-0.005324457041943509,1.014739298397495,1.014739298397495,1.0664266965899236,0.0,1.0,1.0,False
2023-04-27,0.01600992162896331,0.01600992162896331,1.030985195038668,1.030985195038668,1.0005923583709424,0.0,1.0,1.0,False
2023-04-28,-0.004743914943046934,-0.004743914943046934,1.0260942889658637,1.0260942889658637,1.0706454706878148,0.0,1.0,1.0,False
2023-05-04,0.005768395138114668,0.005768395138114668,1.0320132062735818,1.0320132062735818,1.1159192199829666,0.0,1.0,1.0,False
2023-05-05,0.013203493943594324,0.013203493943594324,1.0456393863923246,1.0456393863923246,0.9865347685311554,1.0,1.0,1.0,False
2023-05-08,0.008309499412296084,0.008309499412296084,1.0543281262590252,1.0543281262590252,1.140213703607569,0.0,1.0,1.0,False
2023-05-09,0.010888064963653354,0.010888064963653354,1.0658077193907403,1.0658077193907403,1.2462938255660692,0.0,1.0,1.0,False
2023-05-10,-0.019479425579119747,-0.019479425579119747,1.045046397239217,1.045046397239217,0.9739290022136343,1.0,1.0,1.0,False
2023-05-11,-0.003195392639908312,-0.003195392639908312,1.0417070636731163,1.0417070636731163,0.7593415402425214,2.0,1.0,1.0,False
2023-05-12,-0.0001410950365552388,-0.0001410950365552388,1.0415600839768873,1.0415600839768873,0.7238543594467707,3.0,1.0,1.0,False
2023-05-15,0.01427051002448021,0.01427051002448021,1.0564236775963778,1.0564236775963778,0.8850442808862139,4.0,1.0,1.0,False
2023-05-16,0.011723474354662144,0.011723474354662144,1.0688086334883369,1.0688086334883369,0.7479196926403212,5.0,1.0,1.0,False
2023-05-17,-0.01999966014798127,-0.01999966014798127,1.0474328240553419,1.0474328240553419,0.6605365405252779,6.0,1.0,1.0,False
2023-05-18,-0.009144224853648852,-0.009144224853648852,1.0378548627930873,1.0378548627930873,0.7390090502923718,7.0,1.0,1.0,False
2023-05-19,-0.009999743362637425,-0.009999743362637425,1.0274765805174912,1.0274765805174912,0.6716542788935422,8.0,1.0,1.0,False
2023-05-22,0.015329257720909206,0.015329257720909206,1.0432270338224423,1.0432270338224423,0.6607857382258912,9.0,1.0,1.0,False
2023-05-23,-0.0028907515958794816,-0.0028907515958794816,1.0402113236095556,1.0402113236095556,0.6263938705525149,10.0,1.0,1.0,False
2023-05-24,0.003165484010161368,0.003165484010161368,1.0435040959216304,1.0435040959216304,0.7104717484660638,11.0,1.0,1.0,False
2023-05-25,0.003679412437985974,0.003679412437985974,1.0473435778712537,1.0473435778712537,0.7290815499907368,12.0,1.0,1.0,False
2023-05-26,-0.009543238165477641,-0.009543238165477641,1.037348528666545,1.037348528666545,0.6641081804979435,13.0,1.0,1.0,False
2023-05-29,-0.0098607963152193,-0.0098607963152193,1.0271194461174717,1.0271194461174717,0.8025593329093245,14.0,1.0,1.0,False
2023-05-30,0.01654678382806729,0.01654678382806729,1.0441149695579817,1.0441149695579817,0.861799904817512,15.0,1.0,1.0,False
2023-05-31,0.007159691693957582,0.007159691693957582,1.051590510833063,1.051590510833063,0.8381547252663354,16.0,0.5,1.0,False
2023-06-01,0.004370958801007907,0.000786669630703507,1.0561869696314452,1.0524177651518714,0.8681174071828686,17.0,0.5,0.5,True
2023-06-02,-0.013667280336360887,-0.006833640168180444,1.0417517662298807,1.0452259208382229,0.841519572066029,18.0,0.5,0.5,True
2023-06-05,0.010080702498782346,0.005040351249391062,1.0522533558628253,1.0504942266142157,0.7716166091362886,19.0,0.5,0.5,True
2023-06-06,-0.025927519023661638,-0.012963759511830819,1.0249710369609801,1.0368758720918223,0.8225300072931049,20.0,0.5,0.5,True
