config_id,equity_lb,real_lb,bond_lb,btc_lb,btc_thr,oos_cagr,oos_worst_max_dd,oos_sharpe,full_cagr,full_max_dd,full_sharpe,sharpe_gap,robust_score
eq200_ra60_bd40_btc60_thr05,200,60,40,60,0.05,0.0536767879067162,-0.1180637826965551,1.8567701859887105,0.0772097054787186,-0.2123035069052783,0.5958303757814468,-1.2609398102072635,1.8224472225662767
eq200_ra60_bd40_btc120_thr00,200,60,40,120,0.0,0.0535580603931145,-0.1180637826965551,1.8295953237977336,0.0771263694416568,-0.2123035069052783,0.5895411119993975,-1.240054211798336,1.7950349053480965
eq200_ra60_bd40_btc120_thr05,200,60,40,120,0.05,0.0519433030220407,-0.1180637826965551,1.816030931248615,0.0759908145325996,-0.2123035069052783,0.5823823990235076,-1.2336485322251072,1.7782409980568303
eq200_ra60_bd40_btc60_thr00,200,60,40,60,0.0,0.0498519469983536,-0.1180637826965551,1.808047207435852,0.0745141335446024,-0.2123035069052783,0.5757594991172235,-1.2322877083186285,1.7660745621966931
eq200_ra60_bd100_btc60_thr05,200,60,100,60,0.05,0.065460787396394,-0.1180637826965547,0.7607033308868673,0.0866761910128059,-0.2067432332034441,0.6453230567105005,-0.11538027417636676,0.7499483664437896
eq200_ra60_bd100_btc120_thr00,200,60,100,120,0.0,0.06534457960273,-0.1180637826965547,0.745019030182898,0.0865921226212311,-0.2067432332034441,0.6388077986002542,-0.10621123158264378,0.7340316501524923
eq200_ra60_bd100_btc120_thr05,200,60,100,120,0.05,0.0637641050233633,-0.1275086768579156,0.731238075886952,0.0854465981182344,-0.2067432332034441,0.6318601408921447,-0.0993779349948073,0.7057558737041799
eq200_ra60_bd100_btc60_thr00,200,60,100,60,0.0,0.061717106807727,-0.1184715030980687,0.7177811555915877,0.0839569208617818,-0.2067432332034441,0.6256323725232638,-0.09214878306832397,0.6990495654893594
eq200_ra140_bd100_btc60_thr05,200,140,100,60,0.05,0.0817380578146255,-0.1179239307799748,0.6650738439707856,0.1078499890098618,-0.2067432332034441,0.712856737886687,0.0477828939159014,0.6488149275313457
eq200_ra140_bd100_btc120_thr00,200,140,100,120,0.0,0.0826726853781136,-0.1195053031726441,0.663704183080996,0.1085129063670211,-0.2067432332034441,0.7112932173903568,0.04758903430936079,0.6475719625825618
eq80_ra140_bd100_btc120_thr00,80,140,100,120,0.0,0.1180382360967191,-0.1695282368593727,0.691090419580373,0.1372297748469759,-0.2355154867691577,0.7978896795612039,0.10679925998083095,0.6382935995578991
eq80_ra140_bd100_btc60_thr05,80,140,100,60,0.05,0.1173570816556458,-0.1695282368593727,0.6928589115094366,0.1367541285317419,-0.2355154867691577,0.8002573834743962,0.10739847196495966,0.6382204130175132
eq200_ra140_bd100_btc120_thr05,200,140,100,120,0.05,0.0804458589434851,-0.1195053031726442,0.6517238038814361,0.1069312675086839,-0.2067432332034441,0.702939214474392,0.05121541059295587,0.6282368294868687
eq200_ra140_bd100_btc60_thr00,200,140,100,60,0.0,0.0792691557505572,-0.1179239307799748,0.647277533018463,0.1060924430697962,-0.2067432332034441,0.700239301441429,0.05296176842296596,0.6219377128452349
eq80_ra140_bd100_btc120_thr05,80,140,100,120,0.05,0.1153330563729135,-0.1894190100765919,0.6801854812052279,0.1353368335927385,-0.2355154867691577,0.7892437091718633,0.10905822796663533,0.5963021994858363
