window,variant,start,end,annual_return,max_drawdown,total_return,amount_annual_return,amount_max_drawdown,annual_delta_vs_amount,max_dd_delta_vs_amount
full,amount_overlay_current,2010-09-29,2026-05-28,0.3629132071497212,-0.25499061653416244,126.59689934913223,0.3629132071497212,-0.25499061653416244,0.0,0.0
last_10y,amount_overlay_current,2016-05-30,2026-05-28,0.3579631244906736,-0.25499061653416255,20.27993022848259,0.3579631244906736,-0.25499061653416255,0.0,0.0
last_5y,amount_overlay_current,2021-05-28,2026-05-28,0.4993076908755112,-0.15065310584449998,6.574142176729817,0.4993076908755112,-0.15065310584449998,0.0,0.0
last_3y,amount_overlay_current,2023-05-29,2026-05-28,0.760030462078197,-0.10636936140127962,4.445733763895731,0.760030462078197,-0.10636936140127962,0.0,0.0
last_1y,amount_overlay_current,2025-05-28,2026-05-28,1.2763269305082292,-0.10636936140127973,1.2750456877662328,1.2763269305082292,-0.10636936140127973,0.0,0.0
full,volume_overlay_candidate,2010-09-29,2026-05-28,0.3308852041929009,-0.25609937228125434,86.92343064423969,0.3629132071497212,-0.25499061653416244,-0.03202800295682029,-0.0011087557470919052
last_10y,volume_overlay_candidate,2016-05-30,2026-05-28,0.32654202634959173,-0.25609937228125534,15.841088388296221,0.3579631244906736,-0.25499061653416255,-0.03142109814108185,-0.0011087557470927933
last_5y,volume_overlay_candidate,2021-05-28,2026-05-28,0.38943597858533496,-0.13930565260671557,4.177199907025449,0.4993076908755112,-0.15065310584449998,-0.10987171229017623,0.01134745323778441
last_3y,volume_overlay_candidate,2023-05-29,2026-05-28,0.5618793469493366,-0.11795186879701347,2.8066663503921436,0.760030462078197,-0.10636936140127962,-0.1981511151288604,-0.011582507395733854
last_1y,volume_overlay_candidate,2025-05-28,2026-05-28,0.8004864314959632,-0.11795186879701314,0.7997618761517999,1.2763269305082292,-0.10636936140127973,-0.475840499012266,-0.01158250739573341
full,no_overlay_reference,2010-09-29,2026-05-28,0.3533787493380638,-0.32007873723728986,113.31247589228335,0.3629132071497212,-0.25499061653416244,-0.009534457811657404,-0.06508812070312742
last_10y,no_overlay_reference,2016-05-30,2026-05-28,0.2799894826002409,-0.32007873723729086,10.785017282690244,0.3579631244906736,-0.25499061653416255,-0.07797364189043265,-0.0650881207031283
last_5y,no_overlay_reference,2021-05-28,2026-05-28,0.40635760338648796,-0.1856762069789658,4.500187079596453,0.4993076908755112,-0.15065310584449998,-0.09295008748902323,-0.03502310113446583
last_3y,no_overlay_reference,2023-05-29,2026-05-28,0.6579051216542093,-0.16712425847172718,3.5522717370618677,0.760030462078197,-0.10636936140127962,-0.10212534042398769,-0.06075489707044757
last_1y,no_overlay_reference,2025-05-28,2026-05-28,1.1153672584882215,-0.12654519327726677,1.1142827362408818,1.2763269305082292,-0.10636936140127973,-0.16095967202000772,-0.020175831875987038
