rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,score_3_5_10
broad_consec_below:zz2000:ma20:days3:scale0.0,19.370727194029634,15.567179730875038,1.2522332861107879,-32.47080884957052,0.5965581973571886,49092.40862627561,-0.5769596870430114,0.0,0.015165409704904764,25.47007043327667,17.710913677684207,1.416436445207753,-16.425546411540324,1.5506376345192274,866.0436175428695,1.5572797510602392,8.140952091392418,0.17634650024495135,35.0679666526849,17.877810479625897,1.8362609821832856,-12.959525896901269,2.70596061396582,348.701566436059,4.063303093436456,1.9398672692255268,0.29694419752570234,43.76993747257565,18.42026995807597,2.1413409332665423,-8.990421288613504,4.868507945007082,197.2433652209106,10.131136405137767,4.164124671735248,0.5630114458098814,96.96513107224777,20.62200090554795,3.512643675778289,-8.49458288099888,11.4149373113004,96.87376684811015,15.967227999292234,-0.21509305974350923,0.5153541976447791,0.3898983202802257
broad_consec_below:cyb:ma10:days3:scale0.0,18.593833374650014,15.436289111965761,1.2178861411439224,-32.47080884957052,0.5726322821458126,39040.82612810883,-1.353853506422631,0.0,-0.019181735261960764,24.722949127800796,17.619264841095937,1.3878058809887157,-18.47590810514864,1.33811821249053,810.0592820228296,0.8101584455843636,6.090590397784101,0.14771593602591415,33.40770129659951,17.737736201700162,1.7768732129924207,-12.535647167635267,2.6650160817266815,321.826024857375,2.4030377373510667,2.363745998491529,0.23755642833483748,38.43518159293395,18.79991953298329,1.8923573595606324,-7.981742200022901,4.815387496832919,165.3603932631751,4.796380525496069,5.172803760325851,0.31402787210397154,78.99202592167074,20.399171085120443,3.0615417787086714,-7.259470134624024,10.881238500440752,78.92071639335508,-2.0058771512847926,1.020019686631347,0.0642523005751614,0.29280395196235803
broad_consec_below:zz2000:ma60:days3:scale0.0,18.92399991129732,15.58475442858645,1.226183582256448,-32.47080884957052,0.5828003853851526,43041.620049234094,-1.0236869697753264,0.0,-0.010884294149435148,22.92855594369079,17.557254120554152,1.3065049107273057,-17.588918635829366,1.3035796241040287,687.3351044837185,-0.9842347385256431,6.977579867103376,0.06641496576450412,32.20863000127861,17.91973416471493,1.7081152926226741,-15.122971543356956,2.129781829512656,303.2292650857422,1.2039664420301612,-0.22357837723015983,0.16879850796509088,41.556070251698564,18.237835243040085,2.0723090096691728,-9.872784421517522,4.209154021547153,183.7192465668358,7.917269184260682,3.28176153883123,0.49397952221251185,95.218387474433,20.06087566848798,3.5591137299345506,-6.317229548429559,15.072807904867721,95.12902320981522,14.220484401477464,1.9622602728258123,0.5618242518010406,0.291160978509305
broad_consec_below:zz1000:ma20:days3:scale0.0,18.630343544987916,15.468942250320506,1.2177184411867237,-34.96477566476756,0.53283177686053,39464.86073367844,-1.317343336084729,-2.493966815197041,-0.01934943521915944,23.954005241377764,17.766500270573875,1.3416466778778038,-14.116610035814448,1.6968666826246117,755.5051803243907,0.04121455916133243,10.449888467118294,0.10155673291500222,32.7205391713501,17.643938823976477,1.7549879364575598,-12.5051037248057,2.6165747914944624,311.0866444647494,1.7158756121016516,2.394289441321096,0.21567115179997653,38.46458387438154,18.386623204461976,1.9320893673062272,-9.454851663893427,4.0682376880931574,165.52954764627148,4.825782806943657,3.699694296455325,0.35375987984956625,95.47505280481097,20.52843205049955,3.4892744211847555,-6.275925979101881,15.212902944160275,95.38539533490153,14.477149731855434,2.00356384215349,0.4919849430512455,0.2700297854614202
broad_low_amount:zz1000:ma60:lt1.00:scale0.0,17.848674525925247,14.921607577659143,1.2110337103536228,-31.805712606608537,0.5611782621156137,31290.913286038387,-2.099012355147398,0.6650962429619796,-0.026034166052260277,22.540972069507536,16.897516840098863,1.3312544043771601,-18.30640586718497,1.2313160886437686,662.8702157529107,-1.3718186127088963,6.260092635747771,0.09116445941435858,31.32184161625242,17.20086202984658,1.7315119616939434,-11.019692010004789,2.84235181780174,289.9023451989382,0.31717805700397506,3.8797011561220067,0.19219517703636013,36.55062473112023,18.162024225973443,1.8736765754286548,-9.449348523793654,3.8680576379509133,154.6675895761888,2.9118236636823482,3.705197436555098,0.29534708797199394,78.82484742239433,18.937945170246245,3.2775002660598034,-6.470053200319892,12.1830292552304,78.75371882561977,-2.17305565056121,1.8094366209354789,0.2802107879262934,0.23989242321340418
broad_consec_below:zz2000:ma60:days8:scale0.0,19.78871717010864,15.979268357053266,1.2466302864859322,-32.47080884957052,0.6094309895939158,55495.5519315145,-0.15896971096400492,0.0,0.0095624100800491,24.626235174832267,18.732559635338767,1.3117927882495983,-21.887555098829004,1.125124988315839,803.0298571606877,0.7134444926158352,2.6789434041037374,0.07170284328679677,34.22330189196692,18.819177567970918,1.7187796256716934,-13.847034536560853,2.4715257119931224,334.86269227306735,3.2186383327184735,1.0523586295659424,0.17946284101411014,38.25974798266063,19.34459562811974,1.8374790753446042,-8.520843999720295,4.490135951780896,164.35259852053315,4.620946915222746,4.633701960628457,0.2591495878879433,85.530794649788,21.285993505733916,3.117790210713436,-8.376994171372587,10.210201045869132,85.45232566604189,4.532891576832469,-0.09750435011721592,0.12050073257992588,0.23377530601816507
broad_consec_below:zz1000:ma10:days3:scale0.0,17.584728577895703,15.113370116408511,1.1822665183264975,-35.70845411127112,0.49245281028128324,28921.216216756256,-2.362958303176942,-3.2376452617005995,-0.054801358079385576,24.70775119049795,17.255507793612107,1.4125796462252873,-16.164483588463785,1.528520911619552,808.9514050178047,0.7949605082815197,8.402014914468957,0.17248970126248575,32.40121632714577,17.391157059490954,1.763519548238512,-10.101116851562752,3.2076865165789017,306.1710817729983,1.3965527678973224,4.798276314564044,0.22420276358092872,32.84272657526144,18.31483069873552,1.7032236128583491,-8.152520968921351,4.028536289629049,134.4756576524909,-0.7960744921764444,5.002024991427401,0.1248941254016882,78.61354681212904,20.583864262661354,3.025025277322499,-6.535536528350427,12.028629397313024,78.54264674584164,-2.384356260826493,1.7439532929049442,0.027735799188989052,0.2230877412046998
broad_consec_below:zz2000:ma20:days3:scale0.5,19.834202389123078,15.806634373842138,1.2609770971775198,-32.47080884957052,0.6108317929808952,56239.333622069535,-0.113484491949567,0.0,0.023909220771636708,25.04035287735902,18.377126813762356,1.352309862530748,-19.934524235598474,1.2561299472922816,833.476400677471,1.1275621951425876,4.631974267334268,0.11221991756794636,33.21677526118874,18.39627576997882,1.711521854604256,-13.953960528177046,2.380455010899203,318.8198719399769,2.212111701940291,0.9454326379497502,0.17220506994667284,38.74960323979239,19.076155262260563,1.8799780506118695,-10.686400170795318,3.626067021679623,167.17302154928424,5.110802172354511,2.468145789553434,0.3016485631552086,88.84727289767716,20.87470032618783,3.2631387647462713,-8.70643200336525,10.204785710533947,88.76511203987532,7.84936982472162,-0.42694218210987955,0.2658492866127613,0.21970394606415194
broad_consec_below:broad_amount_sum:ma20:days3:scale0.0,18.592251321982545,15.522665162320079,1.211909344639425,-25.38974510875849,0.7322740438055414,39022.55207894759,-1.3554355590901004,7.081063740812027,-0.025158531766458214,23.863742214425066,18.108823012541542,1.3155389125472206,-21.236267403316987,1.1237258300249922,749.2983263664858,-0.049048467791365624,3.330231099615755,0.07544896758441899,30.71817764307525,17.81684718429455,1.6509016204236733,-12.664574959503394,2.425519825284352,281.0336005798047,-0.28648591617319497,2.2348182066234017,0.11158483576609002,38.204757339753705,18.92495909890298,1.871945899293263,-9.475595300818117,4.0319110437795,164.03722578501828,4.565956272315823,3.678950659530635,0.29361641183660203,84.60787186069003,20.873213886149298,3.150391744327132,-7.955863855609103,10.634655569305545,84.53042308780363,3.6099687877344877,0.32362596564626855,0.15310226619362188,0.2083220416915646
broad_consec_below:zz500:ma10:days3:scale0.0,17.873247087063014,15.090756203760247,1.2006133069507439,-31.144442786679292,0.5738823843946739,31520.853354716495,-2.0744397940096313,1.3263660628912248,-0.03645456945513925,22.9386895614182,17.394596539473135,1.3176121873267623,-20.327081380171308,1.12847925053296,687.9841183834512,-0.9741011207982311,4.239417122761434,0.07752224236396077,29.4171176054016,17.449608141966454,1.6224183984130858,-13.187899647567747,2.2306143048963083,262.46721191963803,-1.5875459538468455,1.711493518559049,0.08310161375550251,34.85398471039207,18.211535557062465,1.7978263578110079,-7.84230066221755,4.444357110447291,145.29022290745706,1.2151836429541873,5.312245298131202,0.21949687035434695,83.42988810885777,20.957695239349526,3.1066555395596502,-6.563852838935336,12.7105055759279,83.35373690954624,2.4319850359022297,1.715636982320035,0.10936606142614025,0.19722148526500946
