window,scenario,start,end,years,total_return_pct,annual_pct,vol_pct,sharpe,max_drawdown_pct,ulcer_index_pct,terminal_drawdown_pct
5Y,current_10_15_15_40_20,2021-04-27,2026-04-27,4.999315537303217,252.40848846218267,28.654283806529147,8.927668778436828,2.7830104129527027,-6.302552696157937,1.7455955833645806,-1.6178076709749356
5Y,no_C_prorata_to_momentum,2021-04-27,2026-04-27,4.999315537303217,295.1212970122975,31.632287216635156,9.181618335443115,2.950469638283173,-5.146169744688322,1.4916329649205926,-1.2070108558572379
5Y,C_10_prorata_cut,2021-04-27,2026-04-27,4.999315537303217,273.76489273724,30.17733616794258,9.01337225913328,2.884144194393459,-5.531169526988188,1.598930586417392,-1.383446382099629
5Y,replace_C_with_cash,2021-04-27,2026-04-27,4.999315537303217,236.097037609838,27.440466547170473,8.088584325385824,2.949110799384999,-4.611858823177983,1.3141474443569132,-1.1360016496405168
5Y,C_to_B_only,2021-04-27,2026-04-27,4.999315537303217,274.0664460129292,30.198337665807973,9.774099283532104,2.6685819225924967,-6.470490192809775,1.8467231174797163,-0.8613696837287299
5Y,C_to_microcap_only,2021-04-27,2026-04-27,4.999315537303217,346.03011491182025,34.86231722117299,8.880354873650592,3.312574424144905,-6.0552335581525725,1.5483466875430814,-0.9886096753203066
10Y,current_10_15_15_40_20,2016-04-27,2026-04-27,9.998631074606434,1218.4719792524259,29.42626710031575,8.864167885510591,2.8711286027455176,-8.473735002288263,1.888301998712495,-1.3259141444044387
10Y,no_C_prorata_to_momentum,2016-04-27,2026-04-27,9.998631074606434,1457.1444453515317,31.597977397640832,9.136897016686582,2.965107636169973,-7.707575425620117,1.7412127786715743,-1.1071303482036887
10Y,C_10_prorata_cut,2016-04-27,2026-04-27,9.998631074606434,1337.8082123019785,30.552726510030137,8.981647342146692,2.928507579139025,-8.054809699514365,1.8046754230971846,-1.193974791375585
10Y,replace_C_with_cash,2016-04-27,2026-04-27,9.998631074606434,1165.7155562812252,28.89874947166804,8.48968843190213,2.9471777793385137,-6.893994752295008,1.6065419313733473,-1.0898268626167384
10Y,C_to_B_only,2016-04-27,2026-04-27,9.998631074606434,1373.662741392418,30.874732503378553,9.858673948181892,2.700651281487461,-10.391879250066637,2.3439569926160657,-0.7770105747457623
10Y,C_to_microcap_only,2016-04-27,2026-04-27,9.998631074606434,1688.769667551906,33.43586984721225,8.347510042797616,3.398758668614606,-6.314611271023995,1.4434518680708017,-0.9624394996196495
15Y,current_10_15_15_40_20,2011-04-27,2026-04-27,15.000684462696784,4607.067886972771,29.274125650714545,8.356645337216872,3.0252321854592417,-8.574942623088798,1.8568388595353733,-2.0277100795256797
15Y,no_C_prorata_to_momentum,2011-04-27,2026-04-27,15.000684462696784,5663.549288874922,31.030976693892008,8.584359562383408,3.0999848486229977,-9.166626371660335,1.9346172669386725,-2.0314829383987654
15Y,C_10_prorata_cut,2011-04-27,2026-04-27,15.000684462696784,5135.308587923847,30.193985998741812,8.455554080987083,3.0722864629427207,-8.870784497374572,1.8814180704022312,-2.029786884948448
15Y,replace_C_with_cash,2011-04-27,2026-04-27,15.000684462696784,4530.839431099938,29.133497775794016,8.034912561439937,3.129915339475849,-7.33330109732826,1.705313269015892,-2.022886707112004
15Y,C_to_B_only,2011-04-27,2026-04-27,15.000684462696784,4822.660806021988,29.66064567106126,8.460392168471598,3.0234461944092628,-9.203416191698954,1.8804705527263037,-1.609897083296985
15Y,C_to_microcap_only,2011-04-27,2026-04-27,15.000684462696784,7872.714129158474,33.89611052753689,8.640349568804384,3.323678604452508,-7.6451384256301935,1.985774856347507,-2.5656057868557736
MAX_COMMON,current_10_15_15_40_20,2010-11-22,2026-04-27,15.427789185489392,4908.739085888096,28.87633229501183,8.332761257767567,2.9969275469440597,-8.62534483566203,1.8370050458196037,-1.9328578434597898
MAX_COMMON,no_C_prorata_to_momentum,2010-11-22,2026-04-27,15.427789185489392,6024.797388852338,30.56774160582445,8.526084603707309,3.0794036978896506,-9.21305487465849,1.8919237545836087,-1.934773457294714
MAX_COMMON,C_10_prorata_cut,2010-11-22,2026-04-27,15.427789185489392,5466.768237370217,29.76174612424527,8.412852584762446,3.048229658351806,-8.906490116037858,1.8513901304539762,-1.9339116730086148
MAX_COMMON,replace_C_with_cash,2010-11-22,2026-04-27,15.427789185489392,4819.837911081871,28.726819098676472,7.9862152036057,3.10930330489625,-7.515428762200993,1.682638624096792,-1.9270598323767874
MAX_COMMON,C_to_B_only,2010-11-22,2026-04-27,15.427789185489392,5164.064660937207,29.292333163643058,8.490819268800372,2.979566998475964,-9.294707384657707,1.8666877930966066,-1.4799380186799271
MAX_COMMON,C_to_microcap_only,2010-11-22,2026-04-27,15.427789185489392,8315.683928259565,33.28480486885261,8.54008340686348,3.308737909009893,-7.635363686705743,1.940474703024173,-2.493403998176502
