,current_10_15_15_40_20,no_C_prorata_to_momentum,C_10_prorata_cut,replace_C_with_cash,C_to_B_only,C_to_microcap_only
2010-11-22,1.0,1.0,1.0,1.0,1.0,1.0
2010-11-23,0.9930000453283785,0.9942817783822183,0.9936409118552985,0.9954254227057746,0.9918721099175518,0.9959795258121719
2010-11-24,1.0009285743483083,1.0016552372474135,1.0012919057978609,1.0013241897979308,1.0012814442187903,1.0005211863395607
2010-11-25,0.9981661723611696,0.99820223476349,0.9981842035623297,0.998561787810792,0.9985190422316514,0.9977022659552115
2010-11-26,0.9924660334117346,0.9929445837918229,0.9927053086017787,0.9943556670334583,0.9913998313587504,0.9937887754890421
2010-11-29,0.9950838257036742,0.996791754332074,0.9959377900178741,0.9974334034656591,0.9947911441838163,0.9980258109993363
2010-11-30,0.9899185280298235,0.9914649890788613,0.9906917585543424,0.993171991263089,0.9893673674311683,0.9925892626585022
2010-12-01,1.0014835124844024,1.0017139251440552,1.0015987188142288,1.001371140115244,1.001743223256714,1.0010962978871862
2010-12-02,1.0093855941267509,1.009222217469298,1.0093039057980242,1.0073777739754384,1.0101738785408023,1.0092058999653992
2010-12-03,1.0128964063006756,1.0118453479771174,1.0123708771388964,1.0094762783816937,1.0140723200474588,1.0112418708495634
2010-12-06,1.0103043981224977,1.00823549209914,1.009269945110819,1.006588393679312,1.0114004966578518,1.0067644855788496
2010-12-07,1.0078579087903825,1.0064466851633371,1.0071522969768598,1.0051573481306697,1.00869705075242,1.0054031432082677
2010-12-08,1.0064486998536994,1.0050262119884816,1.0057374559210905,1.0040209695907854,1.0069353977306816,1.0036469197450297
2010-12-09,1.0063527309823441,1.0042663184310128,1.0053095247066783,1.0034130547448101,1.0065417724326182,1.0021463310599954
2010-12-10,1.0094545655806544,1.007354966701174,1.0084047661409143,1.0058839733609393,1.0099797551221492,1.0046172496761245
2010-12-13,1.0127194234447017,1.0101747818313345,1.011447102638018,1.0081398254650673,1.0127389193043377,1.0068731017802526
2010-12-14,1.0114347717952494,1.008821181029899,1.0101279764125743,1.0070569448239193,1.0120073736996007,1.0057902211391045
2010-12-15,1.0044741616657324,1.0026588644375414,1.0035665130516371,1.002127091550033,1.0048497889072499,1.0008603678652184
2010-12-16,1.0055921432111379,1.0029857065627807,1.0042889248869593,1.0023885652502245,1.005743568933957,1.0005256417364643
2010-12-17,1.0066631163843145,1.0039229489837163,1.0052930326840155,1.0031383591869731,1.0067063239284044,1.0021351368385918
2010-12-20,1.0077903558802581,1.0043337991622803,1.0060620775212692,1.0034670393298242,1.007397510413014,1.002412473058122
2010-12-21,1.0150500653663719,1.011734898474671,1.0133924819205216,1.0093879187797368,1.0150008483447728,1.0096108630307172
2010-12-22,1.015193333546243,1.011468432238998,1.0133308828926206,1.0091747457911984,1.0148430254001708,1.009683605963624
2010-12-23,1.016299934356738,1.013604312553727,1.0149521234552326,1.0108834500429817,1.016001446026697,1.0121076981880557
2010-12-24,1.0180806874281247,1.0158302538929607,1.0169554706605428,1.0126642031143684,1.0177821990980838,1.0138634253941508
2010-12-27,1.0189925150218817,1.0165679220158337,1.0177802185188578,1.013254337612667,1.0183995409651072,1.0140502774747007
2010-12-28,1.0209026441205715,1.0186040124862155,1.0197533283033937,1.0148832099889724,1.0210906216139004,1.0151726209398557
2010-12-29,1.022268900510825,1.0185369842975405,1.0204029424041827,1.0148295874380322,1.022126133488361,1.014874230090232
2010-12-30,1.0196899633607752,1.0161184315392187,1.017904197449997,1.012894745231375,1.0194153880878227,1.0133538538270535
2010-12-31,1.0217164734819304,1.0172643354470776,1.0194904044645041,1.0138114683576622,1.0209818256635463,1.0140729613709172
2011-01-03,1.0285194264856545,1.0239729470854373,1.0262461867855457,1.0191783576683497,1.029032159629578,1.019439850681605
2011-01-04,1.0252538316034654,1.021683287413574,1.0234685595085198,1.0173466299308591,1.0260484669787042,1.0177197076385478
2011-01-05,1.0263992253612284,1.0234601369092529,1.0249296811352409,1.0187681095274024,1.0287035749863933,1.0190447947613217
2011-01-06,1.0262186257499626,1.0239428032864013,1.025080714518182,1.0191542426291211,1.0285920045411592,1.019649846263814
2011-01-07,1.0275009773487904,1.0257255491486892,1.02661326324874,1.0205804393189513,1.0292711251078883,1.0220614440072546
2011-01-10,1.0305116079894612,1.0291198630075118,1.0298157354984867,1.0232958904060094,1.0322820204132028,1.025394780939926
2011-01-11,1.0375704896879814,1.0368356032734276,1.0372030464807045,1.0294684826187421,1.039843213678677,1.0318550635354402
2011-01-12,1.0461934059717162,1.044380623557236,1.0452870147644762,1.0355044988457889,1.0484718629158722,1.0393034046051546
2011-01-13,1.0435853656306384,1.0412348465017263,1.0424101060661823,1.0329878772013812,1.0448448842113938,1.0372482323232972
2011-01-14,1.0478462367633925,1.0458171997362518,1.0468317182498221,1.0366537597890013,1.049406743647311,1.042007081004948
2011-01-17,1.0490792668122952,1.04735848729738,1.0482188770548377,1.037886789837904,1.0506397736962136,1.0441450857734171
2011-01-18,1.052358273103661,1.0502988276899914,1.0513285503968262,1.0402390621519932,1.0537359021705033,1.0466939469399372
2011-01-19,1.0441505538369649,1.0420379390420047,1.0430942464394848,1.0336303512336038,1.0448409211391236,1.0389355203676385
2011-01-20,1.0357155363186945,1.0345294953263426,1.0351225158225186,1.027623596261074,1.0356373314900484,1.0341000230472448
2011-01-21,1.0344780296014504,1.0323979167096977,1.033437973155574,1.0259183333677582,1.032055175245412,1.03240475663426
2011-01-24,1.0443673677849459,1.043255159570899,1.0438112636779227,1.0346041276567193,1.0431260384141283,1.041478871283927
2011-01-25,1.0456685165101274,1.0445122348757807,1.045090375692954,1.0356097879006245,1.0436323085508301,1.0415191342104977
2011-01-26,1.0501943293491631,1.0488018512245256,1.0494980902868443,1.0390414809796205,1.0495828869020885,1.044980975568953
2011-01-27,1.0465506465599401,1.0446448897786875,1.0455977681693138,1.0357159118229502,1.04515711158436,1.041346909131178
2011-01-28,1.0326911304002167,1.0309253595410879,1.0318082449706523,1.0247402876328702,1.0291517880922583,1.0314213114500281
2011-01-31,1.0366801082906054,1.0345685434154641,1.0356243258530347,1.0276548347323713,1.033549636352688,1.0338561269845175
2011-02-01,1.0508760640723243,1.04752925741667,1.049202660744497,1.038023405933336,1.0493436702341148,1.0438047899897107
2011-02-02,1.0489687949025257,1.045884670991878,1.0474267329472018,1.0367077367935025,1.0473701665243644,1.0424891208498772
2011-02-03,1.0521467497784367,1.0488701194542078,1.0505084346163223,1.0390960955633664,1.0509527046791605,1.044877479619741
